,index_left,code,name,latitude,longitude,start,close,type,sez_id,origin ,inv2000,inv2001,inv2002,inv2003,inv2004,inv2005,inv2006,inv2007,inv2008,inv2009,inv2010,inv2011,inv2012,inv2013,inv2014,inv2015,inv2016,ob_f_2000,tec_f_2000,adm_f_2000,ob_f_2001,tec_f_2001,adm_f_2001,ob_f_2002,tec_f_2002,adm_f_2002,ob_f_2003,tec_f_2003,adm_f_2003,ob_f_2004,tec_f_2004,adm_f_2004,ob_f_2005,tec_f_2005,adm_f_2005,ob_f_2006,tec_f_2006,adm_f_2006,ob_f_2007,tec_f_2007,adm_f_2007,ob_f_2008,tec_f_2008,adm_f_2008,ob_f_2009,tec_f_2009,adm_f_2009,ob_f_2010,tec_f_2010,adm_f_2010,ob_f_2011,tec_f_2011,adm_f_2011,ob_f_2012,tec_f_2012,adm_f_2012,ob_f_2014,tec_f_2014,adm_f_2014,ob_f_2015,tec_f_2015,adm_f_2015,ob_f_2016,tec_f_2016,adm_f_2016,ob_m_2000,tec_m_2000,adm_m_2000,ob_m_2001,tec_m_2001,adm_m_2001,ob_m_2002,tec_m_2002,adm_m_2002,ob_m_2003,tec_m_2003,adm_m_2003,ob_m_2004,tec_m_2004,adm_m_2004,ob_m_2005,tec_m_2005,adm_m_2005,ob_m_2006,tec_m_2006,adm_m_2006,ob_m_2007,tec_m_2007,adm_m_2007,ob_m_2008,tec_m_2008,adm_m_2008,ob_m_2009,tec_m_2009,adm_m_2009,ob_m_2010,tec_m_2010,adm_m_2010,ob_m_2011,tec_m_2011,adm_m_2011,ob_m_2012,tec_m_2012,adm_m_2012,ob_m_2014,tec_m_2014,adm_m_2014,ob_m_2015,tec_m_2015,adm_m_2015,ob_m_2016,tec_m_2016,adm_m_2016,ent2000,ent2001,ent2002,ent2003,ent2004,ent2005,ent2006,ent2007,ent2008,ent2009,ent2010,ent2011,ent2012,ent2013,ent2014,ent2015,ent2016,ele2000,ele2001,ele2002,ele2003,ele2004,ele2005,ele2006,ele2007,ele2008,ele2009,ele2010,ele2011,ele2012,ele2013,ele2014,ele2015,ele2016,com2000,com2001,com2002,com2003,com2004,com2005,com2006,com2007,com2008,com2009,com2010,com2011,com2012,com2013,com2014,com2015,com2016,inf2000,inf2001,inf2002,inf2003,inf2004,inf2005,inf2006,inf2007,inf2008,inf2009,inf2010,inf2011,inf2012,inf2013,inf2014,inf2015,inf2016,wat2000,wat2001,wat2002,wat2003,wat2004,wat2005,wat2006,wat2007,wat2008,wat2009,wat2010,wat2011,wat2012,wat2013,wat2014,wat2015,wat2016,tss2000,tss2001,tss2002,tss2003,tss2004,tss2005,tss2006,tss2007,tss2008,tss2009,tss2010,tss2011,tss2012,tss2013,tss2014,tss2015,tss2016,buiilt2000,buiilt2001,buiilt2002,buiilt2003,buiilt2004,buiilt2005,buiilt2006,buiilt2007,buiilt2008,buiilt2009,buiilt2010,buiilt2011,buiilt2012,buiilt2013,buiilt2014,buiilt2015,buiilt2016,ocu2000,ocu2001,ocu2002,ocu2003,ocu2004,ocu2005,ocu2006,ocu2007,ocu2008,ocu2009,ocu2010,ocu2011,ocu2012,ocu2013,ocu2014,ocu2015,ocu2016,sal_op2000,sal_op2001,sal_op2002,sal_op2003,sal_op2004,sal_op2005,sal_op2006,sal_op2007,sal_op2008,sal_op2009,sal_op2010,sal_op2011,sal_op2012,sal_op2013,sal_op2014,sal_op2015,sal_op2016,sal_tec2000,sal_tec2001,sal_tec2002,sal_tec2003,sal_tec2004,sal_tec2005,sal_tec2006,sal_tec2007,sal_tec2008,sal_tec2009,sal_tec2010,sal_tec2011,sal_tec2012,sal_tec2013,sal_tec2014,sal_tec2015,sal_tec2016,len2000,len2001,len2002,len2003,len2004,len2005,len2006,len2007,len2008,len2009,len2010,len2011,len2012,len2013,len2014,len2015,len2016,id,shapeName
92,11,DOM-CAD,Los Candelones ,19.55066181,-70.85609369,2017,0,private,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,BisonÃ³
92,62,DOM-NAV,Navarrete ,19.56817155,-70.87355309,1996,0,private,62,1,2364156,5700000,5604925,6707000,5890000,3000000,3050000,3000000,3300000,4050000,3665907.2,3179000,1000000,2969340,2974785,2963405,9649330,756,24,12,389,5,2,485,6,4,659,4,1,1004,27,3,770,82,38,668,80,35,398,15,9,391,3,7,376,8,6,331,6,6,476,15,10,484,17,7,452,32,24,523,46,33,746,74,46,897,43,12,752,12,5,490,20,4,767,6,5,978,34,5,573,59,23,342,55,20,185,35,6,432,31,10,367,17,10,489,17,6,609,19,10,482,18,9,509,37,18,596,51,29,697,89,41,4,2,2,2,2,2,2,1,1,2,2,2,1,4,5,4,6,2383800,2833561.7,2148851.4,5050331,5612278.31,10131215.85,8259877.55,4609725.13,4011440.3,4158602.92,6391340.08,7352062.5,4680867.9,8551796.1,9489340.72,9602851.91,11226.56,0,0,0,0,1044087.52,514232.94,380517.52,391405.44,332611.03,241825.23,432678.25,533040,378499.86,449669.88,722361.93,727174.3,1282.08,0,149321,200000,230950.96,586616.15,314749.31,345666.04,288897.66,511487.64,476657,554109,583592,621971,711516,1031468.04,1007316.75,1048.31,200956.34,216175.25,0,96000,0,64961.28,64941.6,59141.6,57922.5,73084.56,69292.8,115765,54135,67866,75088.3,138421,197.03,2085723,2534621,2256000,1418276.5,3470640,5438136.55,3025883.81,7451357.93,11475305.68,10788036.3,12463877.29,12388848.18,13897324.72,15279826.03,19473611.16,20681558.04,18457.54,300000,300000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,240002.63,289806.15,328056.65,328056.65,328056.65,186591,186591,200000,200000,111265,111265,31500,30000,30000,47670,108203.43,108203.43,136241.5,145576.7,219040.63,219040.63,249040.63,816.67,650,700,900,1000,1322.5,1600,1650,1550,1562.5,1387.66,1800,1825,1966.07,2200,2733.33,2523.03,1791.67,1100,1200,1600,1700,1922.5,2000,2500,3000,3050,2367,3200,3300,3600,3715.25,4350.75,4500,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,92,BisonÃ³
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,Villa Los AlmÃ¡cigos
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Peralvillo
95,95,DOM-ZOF,Zofinma (Mao),19.5539567,-71.09162809,1993,2006,private,95,1,413004,593364,593364,593364,610000,610000,549000,0,0,0,0,0,0,0,0,0,0,82,2,3,151,6,2,135,6,2,128,2,5,127,1,5,243,15,9,223,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,8,2,323,22,1,285,20,1,280,16,4,258,19,2,122,4,5,107,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,30000,420000,420000,1697505.69,2400000,2240217.31,2302379.65,0,0,0,0,0,0,0,0,0,0,0,0,0,276210.84,456000,463374.94,349726.58,0,0,0,0,0,0,0,0,0,0,0,26000,26000,84503.15,189731.16,296186.09,397886.67,0,0,0,0,0,0,0,0,0,0,7500,9000,9000,36716.4,36672,53510,55044,0,0,0,0,0,0,0,0,0,0,33729.37,540000,540000,914262.81,1683150,1371528.13,1068000,0,0,0,0,0,0,0,0,0,0,38000,38000,38000,38000,38000,38000,38000,0,0,0,0,0,0,0,0,0,0,38000,38000,38000,22000,22500,22500,22500,0,0,0,0,0,0,0,0,0,0,765,802,802,1050,1319,1450,1250,0,0,0,0,0,0,0,0,0,0,2000,2778,2778,1900,2500,4000,4000,0,0,0,0,0,0,0,0,0,0,7,8,9,10,11,12,13,0,0,0,0,0,0,0,0,0,0,95,Mao
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Tamayo
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,Villa Riva
98,25,DOM-ESP,Esperanza ,19.59381238,-70.97901224,1988,0,public,26,1,25175096,18349267,12978335.35,12821702.37,16494059.37,16458862.26,15128216.15,26105748.75,28691078,25574506,28160673,22456491.7,21562882,13765140,22563480,21882449,19795843.72,2277,103,169,2357,67,171,2299,96,136,2456,122,176,2483,174,100,2081,134,95,1977,91,105,1260,194,47,1134,78,52,1177,66,83,1457,102,87,824,61,46,579,64,54,727,90,49,993,88,54,1055,92,52,4412,173,328,3672,121,309,3105,266,274,3775,285,357,3510,455,159,2639,225,156,2673,175,244,2398,296,68,1561,226,63,1780,217,118,1766,140,109,1087,92,83,1008,125,160,1662,188,138,1770,192,140,1757,222,112,10,9,9,10,10,9,6,6,6,8,8,6,4,5,6,6,6,10290123.02,23236495.09,11383978.96,21276192.5,40428423.28,28562158.58,905161.66,32366169.94,27035862.11,24216673.43,29460537.51,22457580.01,14917069.85,7783729.34,12163312,28329627.02,28788.4,0,0,0,2264735.88,2235950.78,3163163.26,271998.48,2138450.21,2089375.6,1518836.68,1609078.23,2061739.49,2096991.52,597288.45,1150624.84,4242648.8,5126.37,1403431,1751138.77,1818471.18,2666631.66,3719079.72,3998300.23,33096,3934617.92,2189339.07,2354881,3674774,2454459.5,2067027,829491.3,1421702.34,2938003.2,4187.29,235384,259157,600361.59,1646453.79,1502703.85,1204814.09,43152,1555832.35,1321031.1,1527619.28,1296558.94,1346949.2,1070635.68,259071.2,316144.6,1690076.12,2006.3,8541176.67,14099855.7,9721779.74,15483501.07,11827736.77,10306497.5,259060.45,47197889.84,55337825.15,56081496.45,78520783.23,54124216.8,44572745.02,36741950.52,53087174.97,68525580.21,91748.26,679713,679713,312487,313705,388483.88,531487.34,486506.57,528342.42,545494.34,545494.34,545494.34,545494.34,545494.34,545494.34,545494.34,548530.94,548530.94,679713,679713,312487,313705,388483.88,446614.83,441821.91,415988.28,507133,367372.34,454746.12,299993.51,373076.21,466714.26,545494.34,548530.94,548530.94,794.85,797,777.31,843.71,1082.56,1376.5,1373.76,1485.54,1737.17,1869.03,1917.25,1616.67,1900,2125.48,2251.63,2351.49,2302.99,1830,1593,1612.8,2035,2148.08,3300,3470.25,3300,3550,3853.29,3441.63,3312.5,3700,4437.5,4885.71,5225.38,5021.32,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,98,Esperanza
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,Guayacanes
100,42,DOM-INT,Interexport Free Zone ,18.21182991,-71.11042584,2010,0,private,43,1,0,0,0,0,0,0,0,0,0,0,45300000,46400000,46400000,15267843,5700000,5700000,7300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,8,0,0,13,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,47,19,157,47,21,141,40,19,95,104,22,135,42,35,157,41,36,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,746966.74,3535691.11,3400000,11200000,10511630.69,9318612.86,10632.05,0,0,0,0,0,0,0,0,0,0,1076580,600000,600000,2552689,2342975.73,2184808.93,2082.57,0,0,0,0,0,0,0,0,0,0,171005,245035,230000,340000,355468,337506.37,394.7,0,0,0,0,0,0,0,0,0,0,134412,134563.2,130000,144000,131632.4,14856.23,16.39,0,0,0,0,0,0,0,0,0,0,3808915.65,5137158.94,5703169.51,6629143.57,7601807.78,7497175.6,8950.48,0,0,0,0,0,0,0,0,0,0,73382,73382,73382,73382.93,73382,73382,73382,0,0,0,0,0,0,0,0,0,0,73382,73382,73382,73382.93,73382,73382,73382,0,0,0,0,0,0,0,0,0,0,1475,1500,1550,3610,3700,2000,2078,0,0,0,0,0,0,0,0,0,0,3600,3700,3700,10000,10200,4119,4119,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,100,Barahona
100,8,DOM-BAR,Barahona ,18.22153648,-71.10145235,1989,0,public,8,1,6064000,15789255,14750000,18400000,13000000,26000000,25800000,33000000,33000000,5000000,8000000,8000000,8000000,10125453.56,14978000,14978000,17700000,656,42,23,1031,59,25,731,45,0,541,25,1,550,60,25,690,17,18,265,25,10,200,28,7,60,10,30,42,1,7,43,1,1,15,0,5,16,0,5,523,157,10,734,70,31,734,71,31,473,80,32,787,164,26,650,61,3,623,48,21,750,155,25,485,27,8,670,20,10,610,30,10,460,20,20,210,20,20,195,3,2,85,15,5,91,16,5,420,53,52,559,52,42,559,52,43,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,7226794,321000,12840215.64,30269420.79,42455245.6,45337430,45337430,40000000,38500000,23000000,30478185,35949048.84,25813861.28,34848904.4,985525.441,40383864.63,40948.45,0,0,0,0,1840320.55,360000,360000,700000,1200000,600000,657411,663464.04,546066.47,2402409.67,355560,2268129.5,1915.2,234224.39,38400,496800,735581.9,0,360000,360000,600000,720000,68000,734039,413347.5,413347.5,939695.82,60000,631268.87,1258.52,36750,53400,0,0,58860,113000,113000,400000,264000,172000,128552,128552.4,128552.4,228688.4,67802,605755.5,1728.01,1126650,330000,3256070,1630382.78,2887882.12,3000000,0,10000000,6291685.04,0,4678962.73,0,14523197.8,14998964.24,8284397.51,51883452.6,30089.5,235592,498249,498249,498249,498249,276405,276405,276405,276405,276405,276405,276405,276405,275197.87,275197.87,275197.87,299420.14,235592,498249,498249,498249,276405,276405,276405,226157,226157,223116,221117,239978,276405,275197.87,275197.87,275197.87,299420.14,800,738.21,800,975,1000,998,1125,1175.5,1130.4,1247,1700,1467,1467,1467,1666.6,1700,1856.12,3166.67,1266.67,1566.67,2150,2250,1550,1500,2100,1500,1500,4000,2500,2500,2500,3500,2500,2510,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,100,Barahona
101,21,DOM-DOS,Dos Rios  ,18.91241012,-70.37486281,2006,0,private,21,1,0,0,0,0,0,0,70000000,70000000,110000000,110000000,110000000,65161871.9,96729338.25,208986256,208986256,208986256,211987405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,18,12,94,3,36,206,11,44,298,25,24,296,42,1,297,45,29,205,71,50,204,40,72,248,45,60,243,42,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,27,51,1158,31,81,1154,240,89,1397,56,43,1342,63,16,1320,63,16,991,383,61,1446,445,73,1482,449,74,1454,438,72,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,128144640,128144640,34057156.07,19095998.4,242431456.2,262569413.9,320066304,328948693,327002713,202952.73,0,0,0,0,0,0,0,3151994.17,2656806,2664237,3787776,5023155.79,2989781.58,1901730,2312752.42,3370867.01,2818.88,0,0,0,0,0,0,0,1148196,2158061.73,2730700,2474246,2954679,2931445,3870226,4591614.25,5666808,5076.13,0,0,0,0,0,0,0,944179,600257,673403,487800,505504.23,810266.35,1648006.5,3098246.58,2619207.74,2335.96,0,0,0,0,0,0,0,9285912.29,46075854.77,50358358.07,60523386.64,67755357.39,65687494.28,81418614.27,100373200.1,120924376.8,124631.26,0,0,0,0,0,0,624080,629460,629460,1716800,1716800,1716800,1716800,1716800,1716800,1716800,1716800,0,0,0,0,0,0,624080,629460,629460,1716800,1716800,1716800,1716800,1716800,1716800,1716800,1716800,0,0,0,0,0,0,2878.26,3000,3210,3272,3509,2758,3203.64,3100,5091,3820,3252.51,0,0,0,0,0,0,5551.75,6301.75,6743,6742.75,8074,6627,7868.56,5600,9300,9000,8127.89,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,101,Bonao
101,37,DOM-HIS,La Hispaniola  ,18.92390206,-70.40485331,2005,0,private,38,1,0,0,0,0,0,1599051.22,2000000,1200000,3679944.94,3679944.94,3500000,2968677,2828048.7,3545762.3,3605100,4065900,4930475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,10,0,0,3,0,0,8,1,1,6,3,1,3,0,3,3,2,1,0,0,1,3,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,1,66,4,5,52,2,3,81,5,2,81,5,2,13,0,3,10,1,1,3,3,2,73,1,2,51,2,2,50,8,5,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,8586570,7393166,3254154.21,11465044.6,11465044.6,1276002,0,12316294.49,12269100,9265149,22182095.37,5209.76,0,0,0,0,0,216787,324599,245254.36,143092.91,143092.91,144198.16,168705,422057.97,225300,2716639,514220.67,217.94,0,0,0,0,0,102900,68104,48254.65,43415.6,43415.6,0,148138,0,0,541522,146936.25,0,0,0,0,0,0,0,0,0,64912,64912,12444,0,55000,0,55000,50000,24.21,0,0,0,0,0,358513,297845.86,882409.67,3392724.46,2994391.88,2178303.41,0,0,0,2944687.58,0,0,0,0,0,0,0,77635,117247,117247,86968.35,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,0,0,0,0,0,72635,72635,72635,86968.35,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,86968.4,0,0,0,0,0,1322,1575,0,0,2551,1172.48,1458.46,1620.95,3800,3980,3250,4900,0,0,0,0,0,4275,1800,0,0,4852,0,2538.75,6167,5000,4500,4200,5100,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,101,Bonao
101,10,DOM-BON,Bonao ,18.92425177,-70.40416473,1988,0,public,10,1,7371588.75,6199952,8030856,6515255.25,9978904.25,12456822.73,16068093.86,7902683.75,5229793.4,3090140.81,2710115,2502840,2674382,3091531.17,3326537,3198062,3087012.18,1918,13,23,1539,23,24,1111,5,20,1595,8,31,1538,6,28,1484,13,21,1067,6,18,713,4,9,431,12,15,189,1,10,171,1,12,277,4,11,172,6,12,185,6,10,180,3,13,194,4,9,1667,74,27,1137,75,20,966,29,18,1334,73,11,1335,55,16,1142,51,12,811,34,12,502,20,4,160,39,3,114,11,5,109,26,4,153,16,3,64,14,3,97,19,4,85,20,5,94,13,4,9,7,6,6,6,8,8,5,3,4,3,2,2,3,3,3,3,3027130.25,3240635.45,4772521.11,10371273.48,10814822.07,15053601.87,15897982.83,13822918.11,2941251.94,1467699.06,2349687.03,3432219.23,2683090.4,3943415.64,4563323.95,4423760.38,4327.98,0,0,0,1750786.35,1602793.17,1596498.92,3040014.45,992152.02,1012608.13,754759.94,905668.81,993399.75,995619.77,1264464.94,1518616.94,1064010.82,1215.18,648183.09,835232.49,307111.23,319901.72,606118.14,568509.3,719034.68,571084.69,203004.2,55754.6,65550,271250,108817,312119.4,353728,333767,387.6,35432,28432,32522,907728.78,234589.08,556297.8,371096.2,262747.91,120057.21,33491.2,44658.4,66988,61405,84987,85987.6,144000,144,5771109.01,8682549.77,4979754.66,4459479.29,5068724.17,30696905.61,5974542.8,12613973.54,7995323.93,1645550.85,1246678.79,5410301.48,4733357.13,3795391.45,6256241.56,6975466.02,7887.88,390593,278577,392327,392327,500155,500155,500155,500155,500155,500155,500155,350390,350390,363183.27,431539.12,400634.95,411800.22,331615,278577,312735.59,312735,500155,444411,422047,365030,365030,363553,81802,82850,53022.03,752840.15,69372.93,179274.59,253706.18,579,667,657.5,782.19,982,1021.5,1218.71,1149.94,1399.5,1590.62,1453.71,1320.5,1474.34,1875.01,1846,2148.67,2251.67,1075,2096,1256,1295.83,1629.17,2033.57,2066.67,2264.08,2597.67,3657.67,2247.73,2642,3338.34,3486.58,3493.67,3796.08,3897.67,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,101,Bonao
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,Pepillo Salcedo
