gqid,modis_lst_mod11c3_061_night_annual_mean.2000.mean,modis_lst_mod11c3_061_night_annual_mean.2001.mean,modis_lst_mod11c3_061_night_annual_mean.2002.mean,modis_lst_mod11c3_061_night_annual_mean.2003.mean,modis_lst_mod11c3_061_night_annual_mean.2004.mean,modis_lst_mod11c3_061_night_annual_mean.2005.mean,modis_lst_mod11c3_061_night_annual_mean.2006.mean,modis_lst_mod11c3_061_night_annual_mean.2007.mean,modis_lst_mod11c3_061_night_annual_mean.2008.mean,modis_lst_mod11c3_061_night_annual_mean.2009.mean,modis_lst_mod11c3_061_night_annual_mean.2010.mean,modis_lst_mod11c3_061_night_annual_mean.2011.mean,modis_lst_mod11c3_061_night_annual_mean.2012.mean,modis_lst_mod11c3_061_night_annual_mean.2013.mean,modis_lst_mod11c3_061_night_annual_mean.2014.mean,modis_lst_mod11c3_061_night_annual_mean.2015.mean,modis_lst_mod11c3_061_night_annual_mean.2016.mean,modis_lst_mod11c3_061_night_annual_mean.2017.mean,modis_lst_mod11c3_061_night_annual_mean.2018.mean,modis_lst_mod11c3_061_night_annual_mean.2019.mean,modis_lst_mod11c3_061_night_annual_mean.2020.mean,modis_lst_mod11c3_061_night_annual_mean.2021.mean,modis_lst_mod11c3_061_night_annual_mean.2022.mean,modis_lst_mod11c3_061_night_annual_mean.2023.mean
17,293.3208277,293.9610522,294.2439317,294.2133578,293.639002,293.8169918,293.8332484,294.0890803,293.466416,293.6414526,294.0083268,293.4470542,293.7818974,293.9792422,294.0356823,294.5251168,294.3743213,294.0125762,293.9371177,294.2728346,294.5321044,294.4656886,294.2617353,295.0751403
18,292.1738525,292.6173109,292.8945337,293.0677615,292.5667533,292.9662435,292.8880341,292.8876595,292.7370982,292.7339311,293.1558275,293.145256,293.1339988,293.1784466,293.534541,293.6771122,293.8036936,293.4850316,293.1607801,293.526377,293.6892196,293.2571648,293.3648173,294.2611591
19,292.3349552,293.2156041,293.6680057,292.921748,292.3661278,292.6218263,292.9598494,292.8477445,292.8115831,292.8328834,292.6134164,292.2621384,292.6017643,292.957576,293.3605169,293.8515022,292.9478968,292.9218878,292.9841952,293.6731224,293.4480997,293.0849958,292.9498663,294.1619951
20,288.9901292,289.3758902,289.8734989,289.8875078,289.6409114,289.9476261,289.755059,289.6499523,289.4463118,289.5551923,289.8661577,289.486851,289.7551521,289.9028547,290.2197193,290.4960851,290.4444472,290.1064574,289.9252396,290.2443369,290.4758407,290.2542136,289.9874256,290.5691293
21,290.0599412,290.3829132,290.3320886,290.7879072,290.4274559,290.7056692,290.2932382,290.4741513,290.3639772,290.1019953,290.7982935,290.5146593,290.478833,290.6794227,290.9134988,291.0175294,291.2658269,290.9016223,290.5079465,290.7109402,291.1040268,290.771998,290.7161483,291.3276173
22,293.2230806,293.6232646,294.0072072,294.0796453,293.5346793,294.0596261,293.8370548,293.9606768,293.6050044,293.6815127,294.0410551,293.8281375,293.9490163,293.9889831,294.5619011,294.844476,294.7210679,294.3879256,294.1139369,294.7056266,294.7658371,294.3945519,294.3031225,295.2731816
23,291.9352858,292.4586202,292.5686001,292.6200771,291.9447379,292.2562968,292.5792969,292.4331328,292.1841487,292.3311753,292.2852178,292.0899781,292.2483232,292.5262562,292.7631978,292.8661485,292.8777297,292.7117686,292.2111678,292.8683571,293.1216455,292.4672131,292.6078194,293.303459
24,293.1933816,293.7325789,294.1245181,294.1513394,293.1753384,293.5526774,293.8737135,294.0034644,293.5309922,293.5319683,293.7676254,293.582989,293.9269767,294.0170691,294.3614671,294.7447919,294.392346,293.9578841,294.0665715,294.9833518,294.6791487,294.2077841,294.341295,295.0967219
25,293.3812621,293.9590939,294.2609671,294.2454073,293.4725085,293.7266712,293.9905607,294.0204831,293.6399243,293.7438676,293.9079264,293.8819956,294.0114714,294.1139392,294.4152767,294.8241027,294.7098868,294.2115539,294.0981829,294.851843,294.8212062,294.4124142,294.4251989,295.1686976
26,294.5189325,294.8745733,295.3828514,295.2253901,294.9457916,294.7795918,294.8011486,295.0392719,294.5918925,295.0597917,295.3138597,294.835559,294.943134,295.2478795,295.3327589,295.6643618,295.4806136,294.8792949,294.9568414,295.2281161,295.687611,295.4986269,295.3520034,295.9392128
27,294.4539792,295.073363,295.6029193,295.5489162,294.6070872,294.8746815,294.8408364,295.1494615,294.9070337,294.9240459,294.8286987,294.9092349,295.2884722,295.7185318,296.1236378,296.2191491,296.0421189,295.4794202,295.7169806,296.0111811,296.2610677,296.1884365,296.1847678,296.7721595
28,287.8311156,288.4995796,288.7690683,288.3993213,287.8486717,288.4600045,288.4168945,288.209341,287.980963,288.1933718,288.1922378,287.7394929,288.0002231,288.1105902,288.406754,288.5306623,288.3016871,288.2443766,287.9827186,288.9741434,288.8155656,288.0503329,288.1450766,289.1412837
29,292.0306427,292.2939622,292.7958631,292.5837448,291.8283441,292.5137795,292.6868894,292.5689743,292.0504827,292.5478443,292.2052538,292.1850236,292.4934275,292.5262053,292.5065887,293.2050352,292.7683336,292.6251195,292.1851028,293.0730443,292.9719347,292.0708788,292.3812216,293.3062906
30,292.3998222,293.0814742,293.2618326,293.3268654,292.9046042,293.2475779,293.1504497,293.2501585,292.8138053,293.1453462,293.2631901,292.7930103,293.1789561,293.1694911,293.2021701,293.5227567,293.7500116,293.3566131,292.9347915,293.6089848,293.8029785,293.1867931,293.3763116,293.9634903
31,291.9975545,292.5811931,292.7577467,292.8935039,292.342598,292.8396858,292.8414311,292.8841299,292.376966,292.5228057,292.7959942,292.3924108,292.5857521,292.6976897,292.8269587,293.1909088,293.1635226,292.7340617,292.3374837,293.0558852,293.1090825,292.8673373,292.6823616,293.7892755
32,292.0384913,292.690224,293.22766,292.4504167,291.7542525,291.6936645,292.2894243,292.2989583,292.2149318,292.4216969,291.8120675,291.7659553,291.8985343,292.3530363,292.5415532,293.0525895,292.232102,292.2525804,292.5904549,293.2354787,292.9405493,292.8232034,292.3723166,293.47587
33,293.6664538,294.4094966,294.9689369,294.7970979,294.1437059,294.2229553,294.3308608,294.4504502,294.1680399,294.1465109,293.9981423,294.099809,294.4840689,294.6765588,295.1136605,295.5550076,295.0626395,294.5996956,294.6264946,295.4467885,295.3164977,295.6150926,295.3505027,295.9097635
34,289.5196486,289.8395394,290.0457997,290.0785435,289.8673088,290.1188224,290.0359538,290.1148436,289.8305058,290.1002023,290.4167927,289.9565839,290.0484298,290.1220595,290.2402243,290.3753674,290.6728359,290.1084364,289.7537533,290.2631741,290.4594389,290.1053058,290.0172544,290.7192025
35,294.211303,295.1222742,295.0288632,295.2500355,295.1859168,295.5177605,295.1584604,295.4447388,294.9053158,295.0377066,295.2032737,294.931635,295.0685181,295.5058853,295.27305,295.3714109,295.3065983,295.4284126,295.2197215,295.30452,295.3654861,295.3587745,295.4662731,296.3038202
36,292.0624068,292.6045802,293.1585063,292.9449538,292.3003066,292.758639,292.9925641,292.9179109,292.3905173,292.750279,292.8000031,292.5231091,292.7866831,292.8081277,292.9905999,293.5248517,293.2692103,292.8188184,292.7019095,293.4300166,293.4326039,292.6350328,292.9410247,293.7211302
37,292.2922134,292.8964624,293.3643012,293.0244011,292.3768414,292.5849226,293.0577552,292.9359713,292.8070937,292.7527811,292.8161947,292.678308,292.9057929,293.2739185,293.5174899,293.9103604,293.6553811,293.3708122,293.268286,293.9102105,293.8589175,293.5078174,293.3808825,294.1307835
38,292.569283,292.9168481,293.1316427,293.2909984,292.9077077,293.3020407,293.1169255,293.1374735,292.9978618,293.0928728,293.3485366,293.2131268,293.2691501,293.3209262,293.6061443,293.9455065,294.1339127,293.7638777,293.5138071,293.8421571,293.9960164,293.689713,293.5826129,294.4183531
39,291.3654383,292.0914703,292.3494205,292.1478709,291.4492011,291.7936327,292.082498,291.9418736,291.8102425,291.9093681,291.9429636,291.5553629,291.9017281,292.2001877,292.5507197,292.6824416,292.3601519,292.2705169,292.1893553,292.6754929,292.6914737,292.1110827,292.0926322,293.065579
40,293.1468339,293.6205614,293.8120458,293.4648369,293.0779662,293.7163058,293.636114,293.6566027,293.402182,293.396056,293.711982,293.4940453,293.4995943,293.4251821,293.8900445,294.2372651,294.4287735,294.0535782,293.7271232,294.015093,293.8538917,293.527241,293.4188328,294.4964519
41,292.306288,292.9519424,293.1709105,293.5352574,292.9791488,293.3910663,293.3144094,293.3207092,292.9481097,293.0970165,293.4152401,292.9571499,292.9819164,293.1853625,293.3391099,293.6157105,293.8199597,293.443657,292.9862043,293.5729375,293.7797107,293.5913285,293.3990153,294.3803293
42,294.4190079,295.1789619,295.4680436,295.1711207,294.8740281,295.0290002,295.2582586,295.3398861,294.9210292,295.089747,295.3049082,294.7370797,295.1659757,295.3662517,295.4976534,295.8226628,295.5291353,295.2672287,295.2038178,295.4324105,295.4404093,295.4148311,295.1584354,295.7504931
43,289.8078139,290.2578399,290.7379524,290.7458371,290.530992,290.8740169,290.6084734,290.673325,290.3108467,290.2754251,290.8008078,290.4016055,290.6713925,290.8989429,291.0985271,291.4523642,291.2820354,290.9723713,290.8559496,291.0496369,291.3313607,291.1221717,290.974865,291.6325623
44,292.5946332,292.9741277,293.3989422,293.3126843,292.7467333,293.1738315,293.0806829,293.2530453,293.0201894,293.0808908,293.3405786,293.1728426,293.370257,293.3029401,293.6062598,293.9467368,293.9129501,293.7048137,293.4606861,293.6425858,293.7346855,293.5414331,293.2564808,294.2902524
45,292.8479536,293.5449586,293.9123087,293.8092133,292.9652426,293.1653864,293.6331421,293.5003834,293.381944,293.2915281,293.4539238,293.3337297,293.3983258,293.90184,294.1397845,294.4883911,294.2254709,293.8423505,293.8508342,294.5258458,294.4952382,294.1789809,294.1484173,294.8593273
46,291.1535891,292.1419865,292.0207851,292.3745687,291.4052954,292.0207328,292.0661544,292.2456196,291.38791,291.7447472,292.049305,291.5336194,292.095563,291.8370238,292.2063312,292.6453515,292.5022047,292.0142461,291.654488,292.6138641,292.4024932,292.0283352,292.2135147,293.0177165
47,292.8698178,293.4357445,293.518463,293.4354281,293.1911077,293.5466306,293.4163088,293.3565703,292.8736899,293.2003057,293.5856072,293.3431425,293.4212937,293.5491164,293.7160609,294.2845512,294.0534704,293.9002786,293.5949394,293.9723295,294.0856307,293.9854877,293.9557129,294.4430168
48,292.3552108,292.9773813,293.7257701,293.4577726,292.8225514,292.8163363,293.1579088,292.9553738,293.0128007,293.0724516,292.7800232,292.9173431,293.0259101,293.6983734,293.8795468,294.3523503,293.3717481,293.2994183,293.0737469,294.1351453,293.8485522,294.2632697,294.0753904,294.1788359
49,294.9665088,295.3638777,295.9556895,295.8164213,294.9158857,295.2749352,295.2225535,295.4923818,295.2564409,295.1456621,294.9906083,295.3001162,295.5737548,295.9509382,296.2749905,296.5817265,296.1313842,295.8002454,295.9215125,296.4000826,296.5557043,296.5441186,296.5132505,297.0545595
50,292.2505543,292.5727061,292.4652327,292.6921644,292.3710159,292.7820855,292.5647281,292.5789095,292.2417493,292.2870473,292.7658841,292.3548847,292.6836092,292.5948591,292.7697886,293.2040794,293.4344115,292.9514221,292.5973291,292.8045062,293.2415076,292.969302,292.9117367,293.554387
51,292.1195043,292.5328359,292.9239024,292.9544396,292.6708323,292.9611114,292.8548673,292.8755399,292.5111974,292.4485853,292.6561924,292.4609566,292.7022834,292.6750965,292.9902978,293.2133961,293.5203734,293.0581935,292.4310525,293.3339217,293.2800968,293.0451251,292.8370323,293.8503463
52,291.7397302,292.3844296,292.6435829,292.6543137,292.0966356,292.2034211,292.0890683,292.221152,291.7989231,292.1584685,292.2710021,291.8216771,292.0820629,292.3057842,292.3825985,292.5456554,292.6020629,292.2793717,292.1040451,292.2827102,292.6690277,292.5360299,292.4025214,292.8561752
53,292.4627153,293.3113503,293.5717508,293.2659462,292.4375841,292.9436492,293.0824094,293.3419928,292.9787,293.0354932,292.9076116,292.4899198,292.8862617,293.339907,293.6598895,293.9197428,293.3272906,293.3151658,293.2396516,293.8282221,293.5796606,293.2650284,293.2165881,294.377731
54,292.2364865,292.9909135,293.3535448,293.2723988,292.8535953,293.1053097,293.1759962,292.9850932,292.8551053,293.126456,293.3651622,292.6474284,293.1050839,293.1646097,293.1268841,293.5921461,293.6317964,293.2777977,292.8934739,293.7457295,293.8364557,293.1536214,293.317419,294.0921876
55,293.1563294,293.7345663,293.7055022,293.6640365,293.28184,293.4489477,293.4560021,293.4293297,292.9476135,293.3286573,293.787041,293.4025494,293.4457629,293.6972683,293.7154158,294.3100837,294.0702102,293.9373969,293.599856,294.17401,294.2367799,294.1711386,293.9392605,294.4713694
56,294.1291346,294.8330599,294.6882664,295.0227617,294.8242148,294.9166386,294.9981332,294.8295362,294.5707189,294.7343624,295.0914685,294.7702642,294.858038,294.9673755,295.1907731,295.4337656,295.2312592,294.8026468,294.5925986,295.1815798,295.3074137,294.9992538,295.2041023,295.9603632
57,292.3951266,293.0227123,293.117491,293.2310044,292.9231485,293.2545094,293.1914505,293.3330573,292.8974921,293.0324814,293.0964856,292.7892895,292.9495597,292.9917831,293.0404129,293.4795073,293.7474431,293.3370964,292.8223324,293.4132131,293.6646219,293.3853915,293.1397514,293.8331188
58,292.2622785,292.7585761,292.907693,293.0970689,292.6386208,293.09616,292.9369718,293.0870918,292.6888817,292.6136843,292.6714914,292.333511,292.7907662,292.9160613,293.2230662,293.4374428,293.4423219,293.1827496,292.575304,293.4189484,293.4686625,293.135509,293.1039035,293.7699579
59,294.1241968,294.6868965,294.772067,294.8760496,294.6759539,295.276879,294.8286173,294.940773,294.3541193,294.6713061,294.9765892,294.6730589,294.7090137,294.9970683,294.7934303,295.3122518,295.2058434,295.1275385,295.0852607,295.0886953,295.3838349,295.2207116,295.256394,296.1219974
60,287.6006151,287.9747654,288.4341686,288.4345107,288.2639606,288.4601273,288.2642563,288.2288996,288.1389459,288.1077607,288.5498661,288.159267,288.3971782,288.635565,288.7274969,288.9685725,289.0595737,288.7624026,288.4811214,288.7933095,288.9944687,288.6865672,288.5712747,289.0948941
61,292.9881572,293.8660309,294.2690759,293.9962351,293.1962964,293.3755608,293.9192084,293.6490623,293.6507976,293.6421993,293.6244308,293.6357617,293.7778617,294.2452734,294.4773026,294.8522211,294.5090772,294.1715309,294.3023992,295.1249587,294.8881386,294.4809647,294.3786177,295.1731822
62,291.8562026,292.278541,292.2994925,292.3486722,292.3638645,292.5317454,292.5076078,292.5649564,292.235968,292.0006827,292.7497368,292.3226232,292.5796204,292.241047,292.3345271,292.9014725,293.1773096,292.9442037,292.5892029,292.5002248,292.8967018,292.7293476,292.6738311,293.1126565
63,291.1738348,291.295393,291.1874658,291.5401315,291.1587509,291.6207952,291.2758965,291.3317306,291.3216288,291.3929395,291.5697271,291.628531,291.5541626,291.1652722,291.539937,291.9452594,292.29162,292.0813051,291.5630617,291.799902,292.1237026,291.6856855,291.6348126,292.085241
64,288.6268716,289.0990546,289.548969,289.4268216,289.1683115,289.4357832,289.3276793,289.1591499,289.0014735,289.2351096,289.5104789,289.0528822,289.3473199,289.4296797,289.4079552,289.5566863,289.7042619,289.5110678,289.0391802,289.4659647,289.9436511,289.4646191,289.4672928,289.9625215
65,290.9247555,291.4122165,291.2804245,291.3608689,291.4941097,291.8446219,291.846889,291.9092271,291.5785228,291.33515,291.9386852,291.4941901,291.7284424,291.5910074,291.6198759,291.7653251,292.148864,291.9170713,291.5461076,291.5868327,291.9375074,291.790791,291.8105267,292.1361413
66,292.5940359,292.9835407,293.0389389,293.1601812,292.6927689,293.3409456,293.3313398,293.2521374,292.7950336,292.9592736,293.4083353,293.0442025,292.9573554,293.1117724,293.209165,293.4970377,293.5772198,293.1795878,292.670964,293.2379169,293.6043063,293.3364765,293.0702999,294.1205299
67,289.2952702,289.6700007,290.1578036,289.8766983,289.7831506,290.0131247,289.9857256,289.7697839,289.6304956,289.8022511,290.1818,289.7748389,290.0401306,289.9550044,290.1562207,290.347624,290.4747172,290.1523356,290.0034052,290.3500478,290.6026139,290.3817085,290.2963241,290.6416629
68,289.9603259,290.2665232,290.129636,290.4591258,290.0633982,290.4929425,290.1926091,290.2895534,290.233382,290.1549346,290.5942715,290.4445336,290.3484703,290.1535679,290.5519929,290.7261206,291.0321214,290.7316678,290.2429217,290.5769057,290.9178782,290.526402,290.4036293,291.103503
69,294.7525759,294.9011393,295.787794,295.3451763,295.1711222,295.4319258,295.1317149,295.3900661,295.0777525,295.1988556,295.1853619,295.0663069,295.1914928,295.4152458,295.78039,296.1192601,295.6063588,295.360093,295.4334895,295.6313719,295.8911221,296.0136134,295.7453012,296.3839406
70,294.5722422,294.716129,294.9011393,294.7454879,294.6218821,294.8259438,294.6899283,294.9134084,294.3415688,294.5896354,295.118775,294.9405846,294.7097936,294.9663839,294.9266626,295.3423202,295.2838817,294.8081357,294.7674722,295.0362915,295.6053523,295.5056313,295.4851296,295.7560447
71,288.9468535,289.4399285,289.9248314,289.7160568,289.3821822,289.8145289,289.5284306,289.254864,289.2166046,289.4470677,289.7462215,289.0965374,289.4022326,289.6654264,289.5675109,289.8981893,289.940782,289.7033808,289.269749,289.7106417,290.0492016,289.7023846,289.6932481,290.3228214
72,292.8793908,293.4993688,293.7976884,293.9305889,293.2036335,293.60955,293.6669512,293.7295231,293.691909,293.6426467,293.9611672,293.8710497,293.816202,293.9475106,294.5602576,294.7149442,294.564966,294.2659904,294.001387,294.4793609,294.6438817,294.1294768,294.1902583,295.1694761
73,293.4207036,294.0175085,294.3524236,294.2362192,294.0088561,294.2777317,294.1865107,294.3671352,294.1240252,294.0961296,294.3144835,294.112959,294.2241884,294.3235716,294.4588466,294.8892599,294.9317666,294.5730191,294.4687452,294.6838343,294.7820989,294.7043924,294.4563075,295.1900991
74,294.8085765,295.5621238,295.5024941,295.8115993,295.2028355,295.6350719,295.6090003,295.3752428,294.9734136,295.2145377,295.620326,295.2499652,295.3864856,295.5151623,295.9280372,295.7518849,295.4999686,295.7225178,295.1198381,296.0039829,295.8558745,295.7867033,295.7562618,296.6617371
75,291.3110975,291.7872711,291.8033113,291.8553709,291.4061793,291.9683726,291.9226664,291.950376,291.4939989,291.7508878,292.1693067,291.7323507,291.8398597,291.8610489,292.0138962,292.191969,292.3491931,292.0101776,291.3228846,292.0787775,292.2701598,291.8432693,291.7828701,292.7765993
76,293.3137408,293.7794736,294.3323063,294.060439,293.7998317,294.0527176,293.9072786,294.0619059,293.6139038,293.9515649,294.025854,293.6637793,293.8481328,294.1052082,294.3739756,294.7090025,294.3659199,294.0568163,294.0449784,294.298394,294.5828558,294.6142953,294.4046191,294.9299927
77,287.7022899,288.0965435,288.3532291,288.3680625,287.7883831,288.1187291,288.1941349,287.8877813,287.6698028,288.1963272,288.3622028,288.0409624,288.1868317,288.0809837,288.4607079,288.5801262,288.6027559,288.2573066,287.9542925,288.4461253,288.7476725,288.2963142,288.3534082,289.0019276
78,293.2275616,293.7423104,294.0551556,294.1196078,293.7720534,293.9026082,293.9036917,294.0945122,293.4211657,293.464358,293.620609,293.5561401,293.7038435,293.8117875,294.0277422,294.1663734,294.2949049,294.010629,293.5732964,294.3657049,294.3558473,294.0114925,294.0216886,294.8600283
79,289.0024352,289.6900742,290.1502789,289.7946318,289.2268587,289.5053899,289.6933698,289.5817815,289.5326727,289.6163255,289.5686907,289.3462414,289.5448188,289.9319798,290.1840432,290.4321971,289.7418691,289.7850824,289.7495114,290.5461541,290.4155228,290.2033291,290.0761923,290.6013979
80,294.0721,294.657471,295.16846,294.9659866,293.8122135,294.2411185,294.5549239,294.3633096,294.3718776,294.2509874,294.3141457,294.4324643,294.5477185,295.069497,295.447374,295.6328977,295.2252448,294.9653591,294.949702,295.8039361,295.7054078,295.3574366,295.3747203,296.0323871
81,291.8973435,292.4188862,293.1659156,293.0365853,292.546142,293.1176088,292.8071101,292.7005346,292.3350627,292.3502159,292.7632981,292.5249004,292.722414,293.0194735,293.2768641,293.6886625,293.4661679,292.9970919,292.8594674,293.3627297,293.4711562,293.2727838,293.1999032,293.9227414
82,292.4157634,292.7390661,293.1065106,293.4391025,292.9324426,293.5344353,293.0609561,293.191346,293.0042123,293.1118994,293.3923649,293.2712871,293.3580179,293.4259022,293.6284078,293.9393756,294.1555749,293.6659091,293.4662811,293.8082889,294.0618401,293.6995869,293.6658624,294.5507138
83,290.417155,291.3155249,291.2708851,291.4720124,290.7716236,291.2205347,291.3191711,291.3696533,290.8432783,290.8921432,291.3574966,290.8210596,291.3159671,291.1584643,291.5139656,291.642139,291.6894141,291.2787086,290.8535158,291.7243706,291.5041767,291.1208989,291.0517259,292.2141098
84,294.3330679,294.8423739,295.5036364,295.1990791,294.4950851,294.3649846,294.5550995,294.5154894,294.4862893,294.5329904,294.3819192,294.3939455,294.7063277,295.2197311,295.7068795,295.9064739,295.4823703,294.9660948,295.115413,295.8272771,295.8648663,295.8884597,295.7518453,296.3946919
85,293.6839058,294.283133,294.3840932,294.7460379,294.0737822,294.8115818,294.6113018,294.6630516,294.1654571,294.3932429,294.7797136,294.564103,294.5895376,294.7762449,295.1964154,295.2061718,295.147073,295.0387552,294.6361776,295.3764654,295.2700148,295.1256959,295.1392275,296.0392638
86,292.9340913,293.5817329,293.7732107,294.0463335,293.6584251,294.1012472,293.9633954,293.9634773,293.4976768,293.6955058,294.1433678,293.760786,293.6190182,293.9851104,294.0139236,294.1238506,294.1492085,293.8949888,293.3833021,294.0799224,294.3609484,294.2098782,293.8973562,294.9551186
