gqid,modis_lst_mod11c3_006_night_annual_mean.2000.mean,modis_lst_mod11c3_006_night_annual_mean.2001.mean,modis_lst_mod11c3_006_night_annual_mean.2002.mean,modis_lst_mod11c3_006_night_annual_mean.2003.mean,modis_lst_mod11c3_006_night_annual_mean.2004.mean,modis_lst_mod11c3_006_night_annual_mean.2005.mean,modis_lst_mod11c3_006_night_annual_mean.2006.mean,modis_lst_mod11c3_006_night_annual_mean.2007.mean,modis_lst_mod11c3_006_night_annual_mean.2008.mean,modis_lst_mod11c3_006_night_annual_mean.2009.mean,modis_lst_mod11c3_006_night_annual_mean.2010.mean,modis_lst_mod11c3_006_night_annual_mean.2011.mean,modis_lst_mod11c3_006_night_annual_mean.2012.mean,modis_lst_mod11c3_006_night_annual_mean.2013.mean,modis_lst_mod11c3_006_night_annual_mean.2014.mean,modis_lst_mod11c3_006_night_annual_mean.2015.mean,modis_lst_mod11c3_006_night_annual_mean.2016.mean,modis_lst_mod11c3_006_night_annual_mean.2017.mean,modis_lst_mod11c3_006_night_annual_mean.2018.mean,modis_lst_mod11c3_006_night_annual_mean.2019.mean,modis_lst_mod11c3_006_night_annual_mean.2020.mean
125,292.4310623,292.9626849,293.2169019,293.1961349,292.5260811,292.923201,293.1507081,293.0671393,292.6667749,293.0014468,293.0252124,292.5625062,293.0496448,293.0547553,293.2689998,293.6746747,293.0016521,292.7912753,292.505556,293.1939435,293.1846964
126,290.6172796,291.0811781,291.8572418,291.7921871,291.1915859,291.6983166,291.442523,291.1562932,291.0736027,291.2490937,291.3780255,291.0393813,291.2389833,291.503136,291.8620598,292.2854376,292.1257368,291.5549726,291.1556208,291.6614156,291.7955336
127,293.1358551,293.6331232,294.0524877,294.1622296,293.7227291,293.9260735,293.8968474,294.1234335,293.6628445,293.513393,293.6891618,293.5423845,293.5378904,293.7990889,294.1168664,294.3418378,293.6960554,293.2259849,293.0825505,293.8974061,293.6403758
128,292.0875853,292.578811,293.2402579,293.1843632,292.598204,292.7096818,292.8015501,292.8403469,292.6713311,292.7230059,292.3862908,292.5084576,292.8936662,293.2384202,293.6882352,293.9603083,293.1869493,292.8906703,292.6315029,293.5297129,293.1889598
129,292.834112,293.4050977,293.528372,293.9958037,293.4582549,293.5321357,293.710648,293.6000947,293.151318,293.2997673,293.4296921,293.1929158,293.4378263,293.4615967,293.6180584,294.0746835,293.575179,293.1794208,292.7524785,293.681433,293.6731631
130,293.3151419,293.7898462,294.5203253,294.3395561,293.7278705,293.7627814,293.7560431,293.8841935,293.8025924,293.5622918,293.3369955,293.5234196,294.0497184,294.4432696,294.9018737,295.3257252,294.5046745,293.7745378,293.7975205,294.7995529,294.4194147
131,289.4282314,289.8427512,290.44695,290.3244534,289.9564651,290.2595337,290.2117349,290.0421032,289.9358505,289.9841937,290.234537,289.9690766,290.1601957,290.4745147,290.8162388,291.0008979,290.7763426,290.3842065,290.095236,290.6040821,290.8596071
132,290.4077456,290.7941549,290.8141728,290.9943896,290.8053048,291.0463416,290.8036593,290.6968378,290.4785245,290.7426593,291.0021338,290.8709953,291.0046358,290.9870285,291.3181489,291.7131333,291.4794416,291.1992202,290.8900646,291.0993477,291.4636277
133,293.9615737,294.4353962,294.8485531,294.7918426,294.2112521,294.5349855,294.4347251,294.5664297,294.1837004,294.5159199,294.4942751,294.0206233,294.3193319,294.7567228,295.1161064,295.5948665,294.7491663,294.4237501,294.3958978,294.8114241,294.9125792
134,293.153974,293.8911864,293.9114655,293.7963926,293.421716,293.8017707,293.7738435,294.1073499,293.5470641,293.3321852,293.4952518,293.5409501,293.5250854,293.5819014,293.8842163,294.5323568,294.0696602,293.5459196,293.1387035,293.8097935,293.5817864
135,293.4122667,293.8792546,293.9401797,294.1540364,293.9748885,294.3823472,294.2072339,294.2092524,293.7055563,293.8531344,294.4904816,294.1448188,294.0760505,294.1675485,294.4516514,295.0847818,294.1350525,293.8544097,293.2781299,294.0041124,294.3021654
136,294.5872217,294.8112859,294.959631,294.8501488,294.7927252,294.9135185,294.7795857,295.0468018,294.5765256,294.7803831,295.3431887,295.0521569,294.9485486,295.1378099,295.0781037,295.7097383,295.0942852,294.4525692,294.4313075,294.624039,295.0303077
137,289.8843198,290.307081,290.4495915,290.3898485,290.2224865,290.2998486,290.3882139,290.360835,290.1140567,290.2341274,290.4661449,290.2229224,290.4343319,290.4521251,290.6153801,290.7716554,290.4335279,290.5132669,289.9541895,290.1767929,290.4666688
