gqid,modis_lst_mod11c3_061_day_annual_mean.2001.mean,modis_lst_mod11c3_061_day_annual_mean.2002.mean,modis_lst_mod11c3_061_day_annual_mean.2003.mean,modis_lst_mod11c3_061_day_annual_mean.2004.mean,modis_lst_mod11c3_061_day_annual_mean.2005.mean,modis_lst_mod11c3_061_day_annual_mean.2006.mean,modis_lst_mod11c3_061_day_annual_mean.2007.mean,modis_lst_mod11c3_061_day_annual_mean.2008.mean,modis_lst_mod11c3_061_day_annual_mean.2009.mean,modis_lst_mod11c3_061_day_annual_mean.2010.mean,modis_lst_mod11c3_061_day_annual_mean.2011.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2013.mean,modis_lst_mod11c3_061_day_annual_mean.2014.mean,modis_lst_mod11c3_061_day_annual_mean.2015.mean,modis_lst_mod11c3_061_day_annual_mean.2016.mean,modis_lst_mod11c3_061_day_annual_mean.2017.mean,modis_lst_mod11c3_061_day_annual_mean.2018.mean,modis_lst_mod11c3_061_day_annual_mean.2019.mean,modis_lst_mod11c3_061_day_annual_mean.2020.mean,modis_lst_mod11c3_061_day_annual_mean.2021.mean,modis_lst_mod11c3_061_day_annual_mean.2022.mean,modis_lst_mod11c3_061_day_annual_mean.2023.mean
39,302.0915143,302.5273721,301.3411368,300.529392,300.5433512,300.8658314,300.5788585,300.689226,301.0389864,300.8460955,300.8991997,300.7986716,301.406777,301.7912577,302.6397124,301.3517123,300.582289,301.0917449,302.5813602,301.7385076,301.2029746,300.8666369,301.4406722
40,299.3530415,299.8063093,299.6908754,299.2330969,299.5770205,299.5252147,299.6813944,299.5751118,299.5638559,299.5768074,299.5804926,299.4758477,299.4197984,300.139451,300.6161326,299.6630158,299.3723591,299.4212511,300.4402496,300.2573436,299.5426349,299.368402,300.1847276
41,301.3923317,301.5030679,301.6443849,301.106867,301.6964798,301.3939817,301.3029834,301.5035527,301.3975756,302.1837114,301.9840899,301.2083234,301.9110557,301.7994987,302.1140495,301.2128041,300.8670892,300.6080459,302.0565237,302.2432674,301.3512351,300.7022111,301.6516766
42,303.385953,303.2245171,302.3678198,302.0287989,301.9046648,301.6293711,302.3713713,301.5627261,302.4387467,301.9134538,301.4243543,301.7161231,302.2309031,302.2417508,302.8403308,301.8968072,301.737113,301.3462864,302.4680484,302.4188017,302.2728314,302.1162171,301.9992182
43,301.9753652,302.4052061,301.7530092,301.9587075,302.048717,301.9521081,301.43289,301.897754,301.5305791,301.2658541,302.0030924,301.9749956,302.2136745,302.9791048,303.1233335,302.2316065,301.7317087,302.1258615,302.5435342,302.7466443,302.1942882,301.1656896,301.8380217
44,304.8003709,305.1021173,303.6643836,303.5983391,303.5737433,304.124406,303.9217193,303.8889609,304.1648522,304.5052457,303.4070506,303.7414075,304.6592609,305.1053735,305.8420702,303.5266528,303.4007874,304.1873851,305.0760299,304.6606788,303.9385064,303.9827553,304.1411841
45,302.0827209,302.4029288,301.9743756,300.9425399,300.702036,301.2479272,301.2308331,301.9716028,301.5008796,300.9345114,301.7621623,302.2431173,302.5763969,303.0160383,304.0654273,302.2745225,301.2586314,302.3610338,304.3791254,302.9815414,303.2484923,302.6739553,303.1609781
46,301.3092122,300.819074,300.5396255,300.0522646,300.8009862,300.6172418,301.1574512,300.6167663,300.8769341,300.8927231,300.9661461,300.6747045,300.8399205,301.0880412,301.0989991,300.7286741,300.3796875,300.2144184,302.0161306,301.3931995,300.5638321,300.34322,301.1295076
47,306.803607,306.2539302,305.2530015,304.5287544,303.9962487,303.6484177,304.1696361,303.1217819,304.1427938,304.1152901,303.3401022,303.1611106,304.0521704,304.9318332,305.2908379,303.898914,304.1866703,304.0542515,304.9346047,305.9303552,305.3967288,305.1672681,304.2423245
48,302.1304062,303.1560419,302.2103501,301.9562837,301.1736887,301.7626313,301.3989561,302.5582142,301.4156531,300.8338909,301.7281729,301.8566965,302.8116481,303.4136534,303.9476076,302.6880458,301.1010375,302.4138405,303.4189769,303.0494556,303.1110964,302.5433833,302.2445949
