code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-MOI,,,1400000,727777,200000,1000000,600000,,,,,,,,,,,,,,
DOM-MUL,,,,1103830.66,1211975,98458000,8818000,10050000,10050000,15925000,15815800,16115800,20499000,20435709.36,20842858.13,20844020.9,10264020.9,10459806.19,11406052.5,0,25461108.92
DOM-MUT,,,,,,,,,17400000,17400000,17900000,17900000,18250000,18250000,18405634,18681840.1,18681840.1,18776756.54,19482572,0,44037319.06
DOM-NAV,Navarrete,2364156,5700000,5604925,6707000,5890000,3000000,3050000,3000000,3300000,4050000,3665907.2,3179000,1000000,2969340,2974785,2963405,9649330,11101805.8,0,48914163.35
DOM-NIG,Nigua,40102872.35,42304221,48719440,45382984,49377353.6,61298975.2,64785080.84,95595446.6,64419418.85,65395527.47,60612832.47,65181742.5,64887479.8,68094863.96,68666906.5,78101109.8,84454679.9,85117028.6,0,44602073.48
DOM-NII,,,,,,,,,,,,,,,,,,,,1,15000000
DOM-NOR,,,,,,,,,,,,,,,,,,451139.59,732947.5,0,5545357.95
DOM-PAB,Palmar Abajo,6899833,0,0,0,100000,100000,100000,75000,100000,N/D,0,ND,,0,ND,N/D,0,0,0,
DOM-PAL,,,,,,1000000,1214000,4164166,4556000,5836575,2483896.54,3424002,5359568,5833873.04,4224751.57,5393078.7,6212990.1,5417113.82,5267075.4,0,15134277.04
DOM-PAM,Palmarejo,23426111,21816691,25313062,5976065,30828690.65,90639471.75,45223430.67,57949101.84,66846200.86,75855965.24,80389236.4,79196505.2,39204030.99,34233001.47,38544393.1,48741389.4,49619554.78,48623409.3,0,86022347.81
DOM-PED,Pedernales,182000,182000,150000,266000,300000,300000,550000,600000,2050000,2050000,28000000,17000000,17000000,11500000,9000000,11829180.1,12000000,13750000,0,12000000
DOM-PER,,,,,,,,,,,,39308186.17,43123873,54986741.08,70975499.21,71677360.9,70122135.8,73831661.01,105462288.5,0,114371241.5
DOM-PEV,,,,,,15000000,,,,,,,,,,,,,,,
DOM-PIS,PISANO,24824949,29449717,31358261,34727911.99,51031152.32,51906663.2,291202879.9,292936282.9,46345306.82,34759834.05,39089445.76,38503009.9,44936043.66,55441461.3,61922862.3,84258181.2,103649145.3,104077258.9,0,105278147.3
DOM-PON,Pontezuela,2463125,1760987,1567020,1078360,1165689.57,1219390.29,847381.58,,,,,3000000,2352350,,,,,,,
DOM-PUE,Puerto Plata,7084891.3,7702847,7908010,6737670,7243739.7,5577664.02,3957960.35,3939774,3893221.55,4699014.8,2893421.81,4141555.4,6387900.94,8095878.26,8553756.2,12873522.6,13735084.78,12773110.8,0,9376993.83
DOM-QUI,,,172030,800000,800000,200000,,350000,500000,3350000,,,,,2119000,200000,225000,213750,2387506.6,0,2461179.34
DOM-RAF,,,,2000000,95000,90000,,,,,,,,,,,,,,,
DOM-RIE,,,,,,,,,,,,,,,5676067,5600000,13000000,12147579,13785219,0,17500000
DOM-RII,La Romana II,8380289,8748879,9024669.41,6396839.41,6113989.41,3964157,4690000,5483987.29,5014887.93,3984599.93,25974000,25939379.3,22007694.58,130033620.4,153641645.4,199692125.6,26320202.75,28177298.9,0,57458416.87
DOM-RIO,,,,,,,,,,,,,,,,,,,956631.6,0,29076505
DOM-ROB,,,,,,,,,,,,,,,16653346.41,5345716.1,5276188,,,,
