,code,name,latitude,longitude,start,close,type,year,Administrativos (femeninos),Administrativos (masculinos),Gastos: Agua,Gastos: Electricidad,Gastos: Infotep,Gastos: TSS,Gastos: Telecomunicaciones,Inversion Acumulada,Naves Construidas,Naves Ocupadas,Numero de Empresas,Obreros (femeninos),Obreros (masculinos),Salario Operarios,Salario Tecnicos,Tecnicos (femeninos),Tecnicos (masculinos)
1385,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2008,102.0,145.0,730458.8,33532284.52,2729242.54,61850187.69,3004730.52,142417240.5,639252.0,446054.0,7.0,2682.0,1262.0,1489.58,3370.72,56.0,205.0
1386,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2009,105.0,155.0,1383983.0,27220317.22,3121031.46,48362444.22,3531332.78,149027694.1,787190.0,714628.0,7.0,2473.0,1059.0,1431.89,3077.28,43.0,194.0
1387,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2010,107.0,167.0,863915.65,28893398.31,3278119.18,76010121.76,3221721.58,117961569.5,787190.0,463390.0,6.0,3012.0,1394.0,1728.7,3043.14,49.0,291.0
1388,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2011,108.0,169.0,1117443.0,38452319.51,3456330.72,87869159.07,3122093.57,96090446.4,787190.0,643236.0,7.0,3150.0,1366.0,1705.13,2826.77,61.0,323.0
1389,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2012,101.0,165.0,971957.19,38473255.24,4133658.15,90844829.43,2310621.26,109348909.2,787190.0,643826.0,7.0,2950.0,1475.0,1941.81,4025.13,82.0,325.0
1390,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2013,,,1070666.0,65639346.42,5463234.0,118273570.9,4992213.38,23976243.91,658062.0,593029.0,6.0,,,1914.09,3292.3,,
1391,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2014,121.0,202.0,848204.35,90106211.87,7308210.71,114852182.7,10748793.01,22350938.8,694804.0,623433.0,6.0,2926.0,1357.0,2764.25,5566.3,71.0,198.0
1392,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2015,146.0,237.0,946506.25,89889901.15,7541434.38,135021535.5,8125120.12,27487893.6,694804.0,638819.78,7.0,3066.0,1427.0,2946.08,4752.2,87.0,188.0
1393,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,2016,155.0,239.0,1521.43,85530.98,7220.9,156109.18,14004.5,190093144.4,787190.0,751803.0,6.0,2922.0,1288.0,2735.42,4190.25,136.0,173.0
1394,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2000,569.0,673.0,13636879.0,101656845.0,13441979.47,93401094.0,0.0,225923451.6,3595618.0,3437048.0,77.0,20499.0,19463.0,819.91,1819.77,1279.0,2296.0
1395,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2001,610.0,720.0,12194254.78,94383489.6,10063519.18,71771272.25,0.0,204519706.0,3615811.0,3575811.0,79.0,17786.0,15975.0,885.23,1778.07,1625.0,2471.0
1396,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,2002,657.0,871.0,17540323.43,102560173.3,14482969.58,80801193.62,0.0,224106287.1,3639349.0,3577607.2,84.0,18297.0,18429.0,848.04,1852.0,1123.0,2493.0
