,code,name,latitude,longitude,start,close,type,variable,value,category,year,category_full
21183,DOM-NIG,Nigua ,18.39069362,-70.04615509,1989.0,0.0,private,buiilt_2005,546436.0,buiilt,2005,Naves Construidas
21184,DOM-NII,Nigua II,18.49893041,-69.79093729,2018.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21185,DOM-NOR,Zona Franca Industrial del Norte,19.54010463,-70.79206329,2016.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21186,DOM-PAB,Palmar Abajo,0.0,0.0,1996.0,2008.0,private,buiilt_2005,121886.0,buiilt,2005,Naves Construidas
21187,DOM-PAL,La Palma ,19.47951791,-70.59727463,2004.0,0.0,private,buiilt_2005,63400.0,buiilt,2005,Naves Construidas
21188,DOM-PAM,Palmarejo ,19.53965534,-70.79354494,1997.0,0.0,private,buiilt_2005,134278.0,buiilt,2005,Naves Construidas
21189,DOM-PED,Pedernales ,18.03212506,-71.7361763,1991.0,0.0,public,buiilt_2005,30401.0,buiilt,2005,Naves Construidas
21190,DOM-PER,PERLAV,18.52899686,-69.99851177,2010.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21191,DOM-PEV,PEVISA,0.0,0.0,2004.0,2005.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21192,DOM-PIS,Santiago-Navarrete (PISANO) ,19.50852054,-70.75994998,1993.0,0.0,private,buiilt_2005,940057.72,buiilt,2005,Naves Construidas
21193,DOM-PON,Pontezuela,0.0,0.0,1997.0,2012.0,private,buiilt_2005,21000.0,buiilt,2005,Naves Construidas
21194,DOM-PUE,Puerto Plata ,19.80291323,-70.72350803,1983.0,0.0,mix,buiilt_2005,444629.0,buiilt,2005,Naves Construidas
21195,DOM-QUI,Quisqueya ,19.48858161,-70.65855914,2001.0,0.0,public,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21196,DOM-RAF,Don Rafael ,0.0,0.0,2002.0,2004.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21197,DOM-RIE,Los Rieles,19.48858161,-70.65855914,2013.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21198,DOM-RII,La Romana II ,18.44349389,-68.97852859,1987.0,0.0,private,buiilt_2005,385000.0,buiilt,2005,Naves Construidas
21199,DOM-RIO,Riosur ,18.5195064,-69.64306985,2017.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21200,DOM-ROB,Los Robles,0.0,0.0,2013.0,2015.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21201,DOM-ROM,La Romana I ,18.41862181,-68.9476164,1969.0,0.0,private,buiilt_2005,1128599.49,buiilt,2005,Naves Construidas
21202,DOM-S12,Santiago ,19.47670339,-70.72489004,1974.0,0.0,mix,buiilt_2005,3705996.68,buiilt,2005,Naves Construidas
21203,DOM-SAG,Zona Franca Ind. SAG,19.43723474,-70.61735952,2012.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21204,DOM-SAL,Salcedo,0.0,0.0,1999.0,2012.0,public,buiilt_2005,48563.0,buiilt,2005,Naves Construidas
21205,DOM-SEI,El Seibo ,18.76891317,-69.05392215,2000.0,0.0,public,buiilt_2005,48563.0,buiilt,2005,Naves Construidas
21206,DOM-SLI,Parque Tecnologico de Santiago ,19.4462542,-70.639953,1993.0,0.0,private,buiilt_2005,162000.0,buiilt,2005,Naves Construidas
21207,DOM-SUN,Parque Industrial Zona Franca Sunsea,0.0,0.0,2016.0,2019.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21208,DOM-SUR,Zona Franca Ind. Del Sur,0.0,0.0,2014.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21209,DOM-TAL,Intercontinental ,18.56054395,-70.07035003,2015.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21210,DOM-TAM,Tamboril ,19.48142597,-70.63333181,1997.0,0.0,private,buiilt_2005,216000.0,buiilt,2005,Naves Construidas
21211,DOM-VEG,La Vega ,19.24673204,-70.55649026,1987.0,0.0,public,buiilt_2005,1208176.0,buiilt,2005,Naves Construidas
21212,DOM-VER,Luperon Verde ,19.79325036,-70.68090459,2019.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
21213,DOM-VIS,Bella Vista ,18.61321459,-69.70844704,2004.0,0.0,private,buiilt_2005,506796.0,buiilt,2005,Naves Construidas
21214,DOM-YAQ,Parque Industrial y de Servicios Yaque,19.46972418,-70.71437329,2010.0,0.0,private,buiilt_2005,0.0,buiilt,2005,Naves Construidas
