cityCode,city,agr_2001,agr_2002,agr_2003,agr_2004,agr_2005,agr_2006,agr_2007,agr_2008,agr_2009,agr_2010,agr_2011,agr_2012,agr_2013,agr_2014,agr_2015,agr_2016,agr_2017,agr_2018,agr_2019,agr_2020,agr_2021,agr_2022
53,Licey Al Medio,0.0,5.862802505493164,4.305362010469624,0.0,0.0,0.0,0.0,0.0,4.564182500278249,4.94151398340861,13.049940311207491,5.329961001639273,52.96511544713787,33.75578816264284,22.96360860712388,6.717710554833506,22.56686593317518,29.866235130908446,54.19204040602142,31.961411244261495,98.08423402823654,151.31517480214436
54,Las Guáranas,44.66576445102692,34.34189188480377,21.230348229408264,11.961121797561646,12.569180965423584,13.512861967086792,7.318040132522583,5.253007292747498,4.867665767669678,3.747902274131775,11.303481698036194,2.410744587112875,68.79855387117348,80.68424969093472,89.27486875805201,101.49199329825008,157.35127162045126,141.0108231488396,167.60270706438553,168.5825668241463,181.81033256801905,204.55376594814592
55,Las Salinas,0.0,0.0,0.0,0.0,0.0,0.0,1.140124797821045,0.0,0.0,0.0,0.0,0.0,0.0,1.0581849813461304,0.0,0.0,0.0,0.0,0.0,1.3600000143051147,8.566666452089946,4.0430980327082615
56,Bajos de Haina,60.44752914952297,78.32059293588003,71.0803566460516,17.89817393433814,51.16522414263557,57.053897311640725,45.24321055973277,43.06954467764088,23.0598410283818,69.27837263135349,26.821727932200716,143.99049913322224,220.3582290097779,93.72351439419914,38.54660177230835,96.11809287538716,111.29856710246966,110.1804299765942,105.17937280991498,148.4488636708727,181.0457459524566,229.44911648432415
57,Castillo,0.9847432781668268,5.145659600987154,2.048373898337869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534462760476505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8583529752843521
58,Cevicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.900000095367432,9.609999656677246,8.576470816836638,13.088235273080713,17.46717703482684
59,Cristóbal,0.0,0.0,1.129190444946289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1956021785736084,1.1956021785736084,5.043798327445984,3.675900816917419,1.8630621433258057,1.5564844608306885,1.5593948364257812,1.1100000143051147,1.2000000476837158,9.24500012397766,27.591666522680544,41.13558858188927
60,Hondo Valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95801842212677,3.95801842212677,20.98780357837677,23.373751163482662,20.415828704833984,21.233160734176636,34.15239465236664,49.06999957561493,44.91500008106232,60.88000023365021,69.16000008583069,56.3549998998642
61,Imbert,4.164455533027649,6.323868036270142,5.829089879989624,6.171314716339111,3.05197811126709,1.218228816986084,0.0,0.0,0.0,0.0,0.0,0.0,3.817647933959961,1.1547486782073977,1.4842250347137451,0.0,2.5590925216674805,12.860000014305117,3.509999990463257,2.990000009536743,1.2899999618530271,0.0
62,La Ciénaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.483439803123474,3.6692826747894287,5.6680987993876135,7.172512179729985,4.9633094647351435,8.65015682145661,9.538980534497428,9.406901986458722,20.44586251763737,32.10770626488854
63,Los Ríos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.40349280834198,11.879327416419985,12.54648983478546,19.372869968414307,18.27975904941559,18.313549041748047,24.708549976348877,23.229999542236328,18.59499967098236,20.25499999523163,35.88499987125397,25.33999991416931
64,Padre Las Casas,1.2348577976226809,2.3787025213241577,2.3787025213241577,2.3787025213241577,2.3787025213241577,2.3787025213241577,1.2348577976226809,2.3787025213241577,3.3808446757933672,3.0273818880903955,3.0273818880903955,1.3035712980756573,1.2348577976226809,1.4355510473251345,1.4246919575859518,1.5234590768814087,3.467539072036743,11.104313770929972,8.337470543618295,11.725137155196249,25.10564691786672,23.588431741677077
65,Paraíso,0.0,2.6112651156444175,2.6112651156444175,1.3929794358272178,1.3929794358272178,0.0,0.0,0.0,0.0,0.0,0.0,0.8709877378800337,8.013223146457298,4.465636229515075,4.647451448440552,4.5851051807403564,4.30934196359971,4.219999933242798,3.2600001096725464,7.687862731896195,16.24776490763122,33.84713664989845
66,Pedro Brand,143.42939798878692,117.5172288057851,240.9505128402336,74.40684347386454,88.53948939173829,94.9359140031478,88.92440963212181,74.42861569442002,67.67135555744171,113.96814045719071,114.28181372670566,303.4107252677283,304.45540664336255,193.0921111326591,132.2165377841276,163.35104334401152,183.29414409936643,203.65788265490067,262.1309789489297,294.82113831043245,393.9614678392223,497.0112320750368
67,Peralta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.397514581680298,4.292211294174194,1.1298719644546509,2.3389039039611816,1.305739402770996,2.259999990463257,4.924999713897705,3.4897057939978207,7.916470731005949,5.264921494091259
