cityCode,city,urb_2001,urb_2002,urb_2003,urb_2004,urb_2005,urb_2006,urb_2007,urb_2008,urb_2009,urb_2010,urb_2011,urb_2012,urb_2013,urb_2014,urb_2015,urb_2016,urb_2017,urb_2018,urb_2019,urb_2020,urb_2021,urb_2022
16,Tábara Arriba,3.6552381852093863,0.5964189851985258,6.102788493212532,0.1291306173100191,0.1291306173100191,1.6776531588797474,1.0936562949535893,0.1155926596884634,0.0,0.0,2.8107901881722843,4.401897298588472,36.72766768137614,42.28588121732077,52.17136637323043,59.91735068676519,62.34212123132219,72.14576386330174,73.55478410393584,96.8752543182934,119.19541284009522,90.26388154170093
17,Vicente Noble,31.681451826937057,47.90216782934525,41.744510444472816,36.37043206411249,38.87955205253526,29.496198579844307,39.481842946071254,15.77341449541204,39.07601033519296,40.319363891377165,65.49834101153354,53.85083062555276,166.97718456445955,171.53871413165447,181.42832838320265,144.1128158718932,123.94836846286177,124.68423465653964,193.3298045055539,208.09246978432523,276.23937351610147,311.81627098485535
18,Consuelo,25.33395767211914,27.51704633235931,25.034555077552795,25.017573595046997,38.45235311985016,32.520627617836,34.317463755607605,54.49592578411102,8.957785487174988,6.124736309051514,12.655930995941162,63.91840381949555,141.05457748478534,219.6223606736052,234.70228788712444,199.57451266681448,177.9654781294804,138.07874417678983,139.74015469738083,179.0986072549633,247.29168511184992,270.24007685044234
19,Puñal,99.32959790977776,123.87640771024368,96.2681568108353,95.34119423323988,70.90542687949012,99.06798936993468,53.07210469105664,62.63436192484463,85.71500000486188,77.45081617691939,123.74505366016837,107.55679607110864,221.01012001598585,233.1665603768592,243.9619002650766,236.1094864658281,265.7457720438639,309.60525798984605,338.55062355901674,342.64253051234226,389.40895592184626,555.7446670120838
20,Juan Santiago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,La Descubierta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4053804874420166,12.849612474441528,12.849612474441528,13.87362027168274,28.135951161384583,30.19987392425537,35.2305748462677,52.99766778945923,42.57000017166138,41.46999931335449,39.06500053405762,44.545000076293945,45.19499897956848
22,Boca Chica,457.84518195881554,550.8272056836709,565.8902846995521,545.8267935383553,585.8791300652074,719.8700183036282,555.5809849266913,436.5042912081177,386.4553588736291,299.97986002996856,727.2506493026136,883.6994857133604,1472.2357760317184,1592.433333304349,2006.5330458276412,1876.3423063212751,1931.3716024744745,2051.7290617643616,2002.6933125383716,2011.7094106001016,2438.75346734851,2693.803665531383
23,Tenares,6.077235817909241,19.622042894363403,15.619712352752686,10.210599899291992,10.127671480178831,11.340179681777954,20.37465274333954,15.944459199905396,7.485211491584778,3.183725357055664,7.16732382774353,30.55186676979065,133.33617877960205,135.12871265411377,126.56385564804076,134.10805797576904,117.21884727478027,111.58999967575072,146.05000114440918,130.17499923706055,169.43499946594238,168.39000129699707
24,Villa Montellano,0.0,5.216241240501404,5.216241240501404,0.0,4.198338150978088,0.0,0.0,0.0,1.0586504936218262,0.0,7.103193759918213,7.103193759918213,21.016371965408325,20.210978746414185,22.624510288238525,35.234519720077515,35.544772148132324,37.3799991607666,39.559998989105225,37.87000000476837,45.3949990272522,67.68999767303467
25,Sosúa,101.84021659411636,95.78862277713476,105.06754789632907,28.119114931891943,29.998428849145476,51.480606784072585,33.51031105985828,33.00217515534045,40.937044992166406,7.261528512543323,84.81710058006585,162.370602423537,156.18588977421032,162.03215903674857,169.7520955179252,159.83126863077578,158.05550365634994,168.02635177584256,188.3785332548852,158.86568606040058,194.14710014567655,215.6815700446858
26,Las Charcas,0.9343705934636732,10.127647254981246,5.171965479850769,4.655047742058249,3.7758595943450928,0.1475271860758463,1.0808994770050049,0.0,0.0,0.0,0.0,0.0,34.645644319758695,50.99944542623034,57.30545746999629,62.746110197609546,58.57786264980541,61.46772569862066,70.06805931727091,119.57404036101173,149.17515800045982,116.70076524136114
