code,op00,op01,op02,op03,op04,op05,op06,op07,op08,op09,op10,op11,op12,op13,op14,op15,op16
DOM-ALC,620.42,680.92,653.39,810.29,954.82,1177.06,1510.24,1781.92,1479.66,1779.23,1741.88,1986.42,1801.43,1790.85,2095.67,2491.69,2746.32
DOM-MOC,692.37,744.25,820.12,1110.63,1122.05,1259.27,1269.16,1237.83,1222.86,1286.37,1345.69,1603.33,1742.84,2043.0,2316.78,2597.49,2540.5
DOM-NAV,816.67,650,700.0,900.0,1000.0,1322.5,1600.0,1650.0,1550.0,1562.5,1387.66,1800.0,1825.0,1966.07,2200.0,2733.33,2523.03
DOM-NIG,631.31,761.68,745.92,826.2,1474.65,1123.96,1290.84,1248.9,1235.28,1426.27,1673.94,1960.52,1566.84,1915.05,2013.51,2218.46,2251.98
DOM-CHE,694.67,719.36,704.56,852.46,1000.91,1140.96,1202.65,1270.09,1283.75,1262.56,1450.51,1678.95,1677.81,2641.23,2628.74,2541.47,2926.96
DOM-PAM,1066.67,736.33,986.33,1056.28,1359.37,1368.2,1514.75,1893.56,2061.92,1980.75,1960.2,2325.4,2604.39,3003.77,2952.04,2724.33,2692.55
DOM-PED,600.0,575,575.0,847.0,900.0,936.0,1000.0,1000.0,1000.0,1000.0,1154.0,1300.0,1425.0,1580.0,1805.0,1800.0,1743.6
DOM-PIS,787.59,963.88,952.32,1096.9,1558.12,1483.17,1805.97,2020.01,2009.72,2399.19,2128.84,2207.89,2264.59,2224.72,2367.0,2569.48,2750.85
DOM-PUE,616.94,617,806.06,878.92,1131.67,1146.74,1187.66,1458.16,1569.34,1496.51,1836.5,1660.5,1823.72,1784.86,1910.4,2260.84,2371.13
DOM-FRA,547.18,764.92,733.6,805.8,907.15,1135.27,1180.46,1026.92,1078.85,1247.0,1246.15,1246.15,1479.23,1589.23,1796.58,1930.35,1910.43
DOM-ISI,687.24,721.14,743.91,1116.47,1307.96,1437.19,1539.45,1563.31,1647.71,1926.93,2235.0,2079.84,1945.32,2202.15,2219.47,2388.04,2485.39
DOM-MAC,679.22,730.36,738.79,881.92,1128.62,1219.91,1262.41,1393.5,1526.47,1525.7,1676.7,1696.06,1931.32,2064.54,2145.03,2329.66,2417.01
DOM-S12,819.91,885.23,848.04,1028.91,1167.37,1414.48,1575.32,1630.31,1774.77,1724.54,1835.03,1953.6,2054.16,2302.97,2262.25,2533.83,2771.93
DOM-JAN,705.0,704.87,818.75,1217.98,1225.0,1394.47,1072.54,1322.66,1350.0,1630.0,1615.0,1965.0,2149.29,2204.03,1882.38,2190.05,2231.2
DOM-SLI,862.0,838.82,919.38,1184.29,1348.65,1591.77,1336.05,1347.71,1851.89,1627.6,1546.42,2001.05,2101.45,2208.2,2209.8,2433.42,3106.92
DOM-TAM,650.0,700,725.0,1288.25,883.75,1362.83,1499.25,1130.78,1420.51,2533.26,1986.5,1671.2,2065.5,2221.74,2189.5,2305.13,2393.55
DOM-ALT,702.0,743.43,629.28,815.62,957.67,1324.23,1289.14,1485.51,1524.72,1379.75,1506.13,2140.53,2308.81,2322.83,3041.68,2906.62,3321.4
DOM-MEL,825.0,1303,742.33,1134.67,1200.0,1775.0,1442.92,1419.69,1724.56,1652.5,1223.33,1561.7,1906.67,2053.33,2120.0,2477.01,2734.5
