asdf_id,viirs_ntl_annual_v20_avg_masked.2019.mean,viirs_ntl_annual_v20_avg_masked.2014.mean,viirs_ntl_annual_v20_avg_masked.2012.mean,viirs_ntl_annual_v20_avg_masked.2016.mean,viirs_ntl_annual_v20_avg_masked.2015.mean,viirs_ntl_annual_v20_avg_masked.2013.mean,viirs_ntl_annual_v20_avg_masked.2017.mean,viirs_ntl_annual_v20_avg_masked.2020.mean,viirs_ntl_annual_v20_avg_masked.2018.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
33,0.681480323674,0.345370916019,0.260591588634,0.402866376687,0.430209344505,0.2883309825,0.506677297623,0.670361437562,0.554918067719,ADM2,33,33,DOM,DOM-ADM2-62336421B46473536,Dajabón,ADM2
34,0.0371094290265,0.0318964032877,0.0340056697729,0.0215824091435,0.0348285369724,0.0317049968615,0.0238059384226,0.0247978301386,0.0306515052369,ADM2,34,34,DOM,DOM-ADM2-62336421B618112,Los Cacaos,ADM2
35,0.167833868967,0.132401008453,0.0856475388502,0.132326684476,0.149442782277,0.168890775901,0.169667367283,0.197140488913,0.14346185833,ADM2,35,35,DOM,DOM-ADM2-62336421B67134057,El Peñón,ADM2
36,1.31875167875,0.356054169305,0.362636283453,0.631474846076,0.47189744331,0.442519559882,0.995279114378,1.25114778497,1.20458983075,ADM2,36,36,DOM,DOM-ADM2-62336421B12424065,Fantino,ADM2
37,0.526595549143,0.217853997569,0.1396059416,0.365553765652,0.309981714438,0.249946761665,0.435960997577,0.531532400113,0.460283403516,ADM2,37,37,DOM,DOM-ADM2-62336421B71651036,Guananico,ADM2
38,0.380155437397,0.27421158013,0.219093779042,0.28160380114,0.301565695193,0.25208467556,0.361692908783,0.407925796527,0.385028217301,ADM2,38,38,DOM,DOM-ADM2-62336421B71472193,Hato Mayor,ADM2
39,4.78267344254,3.7408248592,2.4105773116,3.71632638117,3.94253398139,3.29660010612,3.98277334676,4.69212573412,4.4011733121,ADM2,39,39,DOM,DOM-ADM2-62336421B7563156,Tamboril,ADM2
40,0.17632016766,0.0940109191213,0.0647804749153,0.0767041035972,0.109597189023,0.072126072459,0.107990794705,0.210536992362,0.136151997426,ADM2,40,40,DOM,DOM-ADM2-62336421B22801617,Miches,ADM2
41,0.293650103378,0.148626714903,0.145138514602,0.163697482291,0.169548995938,0.162919032685,0.240595054896,0.331815414966,0.278005342597,ADM2,41,41,DOM,DOM-ADM2-62336421B83921061,Monte Plata,ADM2
42,0.0415545276098,0.0520774602635,0.0279548464491,0.0378572589007,0.0455542330352,0.0579291599413,0.0509671114774,0.0508169572702,0.0507144161069,ADM2,42,42,DOM,DOM-ADM2-62336421B71031867,Oviedo,ADM2
43,0.295386334371,0.118179809919,0.100121514377,0.180779804599,0.156919928529,0.141200997992,0.249066851382,0.291207864523,0.291510891828,ADM2,43,43,DOM,DOM-ADM2-62336421B38565369,El Llano,ADM2
44,0.236756619923,0.11147554447,0.113634244743,0.139050902747,0.1519304623,0.118284499895,0.17726501651,0.191706097289,0.1845554488,ADM2,44,44,DOM,DOM-ADM2-62336421B83331563,Guaymate,ADM2
45,0.636838491676,0.143758674112,0.100144394174,0.320210393557,0.202330960535,0.12698432248,0.448409710176,0.685607970157,0.53831879042,ADM2,45,45,DOM,DOM-ADM2-62336421B97636919,Los Hidalgos,ADM2
46,2.51413862482,1.71652322829,1.81116058216,1.87786811179,1.72200852009,1.84233425579,2.05169910981,2.28678456404,2.27452087912,ADM2,46,46,DOM,DOM-ADM2-62336421B48034223,Maimón,ADM2
47,0.0703566188195,0.0554820355262,0.0446480827024,0.0443270624175,0.0625442933064,0.0490601475599,0.0637695808868,0.0835872231284,0.0621086345442,ADM2,47,47,DOM,DOM-ADM2-62336421B24482481,Mella,ADM2
48,0.566786427533,0.316392111863,0.303568573435,0.333382734327,0.339580633656,0.318757799429,0.438618912602,0.659976389515,0.508694305746,ADM2,48,48,DOM,DOM-ADM2-62336421B3277749,Monción,ADM2
49,0.437092317337,0.180472438015,0.177642014668,0.16933548649,0.179933043711,0.186677458316,0.497916565324,0.411864829362,0.469626278598,ADM2,49,49,DOM,DOM-ADM2-62336421B67264769,Monte Cristi,ADM2
50,0.442059264633,0.390113854437,0.232655919748,0.565109544484,0.459800293108,0.313113708554,0.566825349918,0.494237903409,0.470947697311,ADM2,50,50,DOM,DOM-ADM2-62336421B31478267,Neiba,ADM2
51,0.148743611397,0.0667839671662,0.0631799045769,0.040003360898,0.0635016904661,0.0989531284729,0.0733254429983,0.162168949015,0.107937238912,ADM2,51,51,DOM,DOM-ADM2-62336421B67620032,Sabana Grande De Boyá,ADM2
52,0.140352297289,0.107783968868,0.0973590155912,0.104095466398,0.100906434631,0.101959247881,0.0904482674516,0.183484864869,0.102819170253,ADM2,52,52,DOM,DOM-ADM2-62336421B31312192,Las Yayas De Viajama,ADM2
53,9.46148470561,6.10419886675,4.81770583498,6.1253935366,6.48502291507,5.42757356898,7.28536732485,9.68841539946,8.48976231682,ADM2,53,53,DOM,DOM-ADM2-62336421B48449332,Licey Al Medio,ADM2
54,0.977729501097,0.529884633978,0.229174286279,0.613812006552,0.581585934675,0.424836541561,0.881556173726,1.02795229391,0.852167217264,ADM2,54,54,DOM,DOM-ADM2-62336421B3088937,Las Guáranas,ADM2
55,0.0904561175454,0.0957226171347,0.0596030845646,0.0796068350532,0.0832229280737,0.0804116097581,0.0735829771419,0.137028220435,0.0825774313257,ADM2,55,55,DOM,DOM-ADM2-62336421B53971586,Las Salinas,ADM2
56,16.5183695884,10.5763542889,9.39306013391,11.6807687894,11.340005623,10.1148818334,13.5236315199,17.1397298821,14.2407006555,ADM2,56,56,DOM,DOM-ADM2-62336421B48097933,Bajos de Haina,ADM2
57,0.466253134027,0.177163870066,0.170208355522,0.232085420718,0.212089598882,0.203336261933,0.361707036138,0.636293448085,0.382506291458,ADM2,57,57,DOM,DOM-ADM2-62336421B43959533,Castillo,ADM2
58,0.111790697622,0.0560166979312,0.050492064413,0.0679878223618,0.0704487655702,0.0760731597637,0.101761218159,0.114814824478,0.10746225828,ADM2,58,58,DOM,DOM-ADM2-62336421B92876991,Cevicos,ADM2
59,0.0782536803739,0.0924612635022,0.041087718451,0.0812017243623,0.11192175766,0.0646989110572,0.101280494264,0.129189779546,0.092981859839,ADM2,59,59,DOM,DOM-ADM2-62336421B74273481,Cristóbal,ADM2
60,0.195483613558,0.082675933956,0.0791141806613,0.0999220764446,0.0879985215395,0.0847054697923,0.159376764426,0.236181046256,0.202124754288,ADM2,60,60,DOM,DOM-ADM2-62336421B49862125,Hondo Valle,ADM2
61,0.823036404837,0.415344061357,0.197609137214,0.555532351477,0.510048355162,0.254897821698,0.660334193544,0.842101780741,0.720218488382,ADM2,61,61,DOM,DOM-ADM2-62336421B73173831,Imbert,ADM2
62,0.0939080021078,0.0686790709321,0.0462908068461,0.0751953800478,0.0857251995661,0.0472408030387,0.0909936038476,0.108225754696,0.100775768432,ADM2,62,62,DOM,DOM-ADM2-62336421B38325088,La Ciénaga,ADM2
63,0.162162577467,0.119435807763,0.0615433504012,0.13779884432,0.124177655214,0.0757440730023,0.1707213177,0.200025076488,0.173464789988,ADM2,63,63,DOM,DOM-ADM2-62336421B14853515,Los Ríos,ADM2
64,0.110562349767,0.0553080174195,0.0475861199238,0.0598416747017,0.0467460651166,0.0517185698079,0.065508326641,0.120314401627,0.107730623795,ADM2,64,64,DOM,DOM-ADM2-62336421B78011927,Padre Las Casas,ADM2
65,0.0595694815004,0.0604739833138,0.0576429210949,0.0627946709632,0.0690133849879,0.0552583837688,0.0717381736709,0.0952943757716,0.0733731841133,ADM2,65,65,DOM,DOM-ADM2-62336421B74605063,Paraíso,ADM2
66,2.1505864371,1.48100077078,1.39293658975,1.76974305425,1.65404911109,1.50435081602,1.8797951781,2.24389410747,1.87509784291,ADM2,66,66,DOM,DOM-ADM2-62336421B97197265,Pedro Brand,ADM2
