id,shapeName,ntl_2000,ntl_2001,ntl_2002,ntl_2003,ntl_2004,ntl_2005,ntl_2006,ntl_2007,ntl_2008,ntl_2009,ntl_2010,ntl_2011,ntl_2012,ntl_2013,ntl_2014,ntl_2015,ntl_2016,ntl_2017,ntl_2018,ntl_2019,ntl_2020,ntl_2021,ntl_2022
66,Pedro Brand,0.437423332710422,0.4021987825105491,0.4365356147274623,0.5758568180265837,0.2193650367851393,0.2692778786175607,0.379773521152352,0.3928006852579018,0.3321167075672197,0.2381252855048701,0.4212197133999324,0.4840845970640546,1.095993498382583,1.2704479491375718,1.272915476109989,1.4376637093309277,1.5383231936055295,1.6667639854753051,1.667644743963899,1.9027140955923307,2.097407732874172,2.3709260849074383,2.7784212332777147
67,Peralta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575538165716927,0.0575538165716927,0.0703075150487721,0.051907593949888,0.0343222655419829,0.0456623418406802,0.0619032165326344,0.0640133653430341,0.0530424522775933,0.0733671020897475,0.1328907962123826,0.1452894703394397
68,Postrer Río,0.0047085821101366,0.0047085821101366,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0021624970078514,0.0043852878463465,0.0043852878463465,0.0198043132344815,0.0198084954876893,0.0281463950719349,0.0581983141652503,0.0875315692038933,0.1114312765895666,0.0779114852041545,0.0582905937074256,0.0798973100996402,0.0929273129587189,0.1022550039921049
69,Pueblo Viejo,0.0076751807357406,0.0246651124541906,0.0394091619019313,0.0066162430555488,0.0003763200716690802,0.0,0.0021095165108806,0.0,0.0,0.0,0.00282614889899,0.0603160423568183,0.0679508523475828,0.6406830354416503,0.7980077991002144,0.7630506858380776,0.6981133687082984,0.817695327642441,0.7114998371194236,0.7748990750161094,1.092941164363557,1.5161834545294213,1.7022961441654467
70,Sabana Grande de Palenque,0.0,0.0,0.0,0.0,0.0,0.3303063452467493,0.6344789795770432,0.619798247825983,0.2844146169563946,0.399868509101681,0.6107750615106969,0.8565730647071728,0.9846554077646432,1.6743126711772458,1.826894101784602,1.9344206429394204,1.8836238662772848,2.4423838053905707,3.0704463314396384,4.789539967342633,5.156947893532349,5.916158787386659,6.071310005257929
71,San Juan,0.0286016177972204,0.0352387704036317,0.0587095621924933,0.0563746271519458,0.0363489753091554,0.0272275021219754,0.0381623647819036,0.0321669956019328,0.0163712728527894,0.0321365328889921,0.0570201787823552,0.0981550455578973,0.0873306936605957,0.3048632776351749,0.3344027467348255,0.3289696058758364,0.3338428338156846,0.3375441043894853,0.3471869358710491,0.3363550855963865,0.3500822363334017,0.3902227428312007,0.3954602461253383
72,San Pedro De Macorís,2.080296745383262,2.0353264515402367,1.7047058255452912,1.5764052484115578,1.3454652303775338,1.613358351149568,1.5253503022149526,1.3188638944824762,1.382711369182,1.1775402057254496,0.6194960843081834,1.3434730621438642,2.8831412100337896,5.413088528581607,5.570682621057601,6.013469966281372,5.99155777691481,5.6878526050088976,6.053110192024285,6.509215590355072,6.749319845779153,7.964852277174309,8.866395840735384
73,San Rafael Del Yuma,0.0060667113043835,0.0063971856218311,0.0163478505386363,0.0113797926984708,0.0257618805203751,0.0208650439034614,0.0150720121877644,0.015551839550041,0.0160040760809311,0.0167158668686995,0.005406251729161,0.0447262517721937,0.0450379212595338,0.0524998471296033,0.0544448224102181,0.0606880461137828,0.0613379066704134,0.0950743171294829,0.1068667450162601,0.1189456353431073,0.1415481999831833,0.1766371959786583,0.2400059763005741
74,Santo Domingo De Guzmán,24.587887147993115,25.08227193141927,24.5567745531411,22.12733012385258,17.954364391797178,20.866313424654983,23.69325057294025,22.50766179624231,21.451840566036825,20.330438968554223,16.49229901399375,28.37207022877823,31.180267366130863,37.419354150580105,38.14192473780578,37.88962519830397,38.176513767665014,41.10241693701832,45.04006326910887,52.66838389314629,49.45114142619186,50.37046669164513,55.98827655377739
75,Villa Altagracia,0.0515245934386003,0.0439908671072165,0.0918034597424607,0.042586578218252,0.0659740473024711,0.0450207300073721,0.0539480338576225,0.0460011397907148,0.0278368079444272,0.0304848419240875,0.0192369066879904,0.153967751472753,0.1800875185571562,0.2102146576911843,0.2222999342816893,0.2229745146876003,0.1916500186365956,0.1735096365411223,0.2125935742067672,0.2276227559268579,0.3143723823694602,0.4173620427960685,0.6114246242280214
76,Azua,0.1231514980775711,0.2018919475173662,0.4005205257634399,0.2555368797751486,0.1817914829398461,0.0771080501400826,0.1259082118998376,0.0992350816928275,0.0380419364917396,0.0623624777984406,0.0489041141272289,0.1264583216367403,0.2235167447579435,0.5956607416871149,0.699863702089006,0.6944505711124694,0.6814993126413111,0.7219892970571905,0.8199906641066276,0.8904870313131202,1.052952612660952,1.2813867707516389,1.3800143154024855
77,Sabana Larga,0.0023810495927228,0.0038414179530887,0.0090844074806029,0.0121366034743051,0.0079796697323945,0.0079751578728951,0.0065844909909104,0.0075656196996144,0.007278369317816,4.663599852264798e-05,0.0,0.00021465417049170696,0.0690660321139436,0.0792628422975829,0.1333222096830323,0.1381783250715919,0.0984258300206996,0.1177909992654655,0.1116132836110083,0.1298439212049421,0.1256419735081779,0.165336055498005,0.2187839164271992
78,Sánchez,0.0086558455584899,0.0202243338397926,0.0232169476209838,0.0192006535077702,0.0157646278449655,0.0151932734729559,0.0100587094374263,0.0333580122195398,0.0093777645033814,0.016249500666684,0.011565277942603,0.054368286617439,0.0795093695709105,0.1062058862240249,0.1098561705633623,0.1494794801783386,0.1249737125237383,0.1538915380588966,0.1522915252109218,0.1934058386530177,0.2987203457888311,0.3445184498298572,0.4313922669713997
79,San José De Las Matas,0.0032136166865476,0.007623075363129,0.0081951931871844,0.0046245165955058,0.0019718609348888,0.0014515625320684,0.0018282106166787,0.0,0.0021271377548675,0.0151077026920743,0.0065014648554186,0.0330070300981332,0.0211019661410219,0.0361414898609264,0.0394467607086824,0.0502322059798134,0.0428289442971211,0.0533428479172785,0.0667868043117732,0.0754364548619491,0.0939371870788749,0.128382357204296,0.1541428862231116
80,Luperón,0.0042843978177323,0.0138910654715881,0.0350828879701966,0.0181946416720698,0.0177408308920063,0.0098075263900566,0.010402121547082,0.0081562942881555,0.0023081771416017,0.0023081771416017,0.0023081771416017,0.0104932121916979,0.0104870896205868,0.0280670345649311,0.0263551554669467,0.0378755818971521,0.0670291254321515,0.0726524032813176,0.0920064185133936,0.1333455024050454,0.170252179490725,0.2966261077363732,0.3605817130095917
81,Comendador,0.0046781075945243,0.0216532497300055,0.0,0.0137090528357681,0.0142195331529386,0.0114013992645962,0.0,0.0019511515978926,0.0256303113014301,0.0187345535836383,0.0074447433664764,0.0273528453675821,0.0180124224284678,0.2134557509292403,0.2364298980203324,0.2130899017515117,0.2702006236133059,0.2858953058424535,0.28332145777215,0.2910597433456987,0.2832639054885215,0.2658174083906909,0.2861261727573538
82,Los Llanos,0.0246274081707172,0.0179504711868405,0.0181447644159829,0.0113681654760645,0.0053729807155649,0.0015726528856238,0.0015726528856238,0.0092735971860621,0.0056657806759782,0.009333300886133,0.0053808043106593,0.0094589937359706,0.0315856675303576,0.0704622560889571,0.144480980881956,0.2230521663822502,0.1965534057167236,0.1423779680451395,0.1938160762021964,0.1762754098863281,0.2538981457875597,0.3304360253846514,0.3734408488450379
