id,shapeName,egdp2000,egdp2001,egdp2002,egdp2003,egdp2004,egdp2005,egdp2006,egdp2007,egdp2008,egdp2009,egdp2010,egdp2011,egdp2012,egdp2013,egdp2014,egdp2015,egdp2016
42,Oviedo,162.50656630250757,164.50390536551382,171.2946520476365,173.9966419044079,175.51051975663972,186.29153920610753,199.474728548293,210.6852594022073,215.1694799873175,216.51956021721455,228.4941773841194,234.14455705483755,238.7109299805235,259.7680420545971,273.3804643611113,287.32774912037104,300.016386422924
43,El Llano,19.76842174138509,20.00332999398896,20.720266775290177,20.965588764641794,21.10728855016184,22.34241122977406,23.85338817636171,25.15057608292384,25.80743639813919,25.98711783301596,27.417033358824025,28.007198868779582,28.518013527989403,29.4486455674265,30.753634903243952,32.11664644806992,33.48929370980638
44,Guaymate,131.0563507587302,133.39108205887618,144.51351681193887,151.0194775110951,152.33400908965694,161.69137402054136,173.15510662496084,183.12025723159311,187.2469103567741,188.47010387585448,199.5578711113509,204.29622265398513,210.05768368699967,217.162347818239,232.73316749497957,245.01839981336215,255.83861691659564
45,Los Hidalgos,34.0428913202356,34.45134720586095,36.17855219817629,37.398710819202336,37.72410239770132,40.04136718856352,42.87495241258659,45.28453577768569,46.248371147232895,46.53855598475421,49.11237100018004,50.13290007278032,51.03631421333433,52.68633247263291,54.80004716012993,58.67120704124957,61.26217685832696
46,Maimón,158.952425258183,162.11376832332098,171.3175803363323,177.42715908090273,179.1379419872574,190.14178142518384,203.60405285615545,215.38553728706705,220.69896180875168,224.7572972545437,237.23135470560956,262.8070565083448,272.4813165907767,281.29212518240905,284.8686624563208,299.119470578549,312.3288363379591
47,Mella,85.01562012159351,87.34205366039983,92.3089434605019,98.682480677787,99.54107869594704,105.65555197701734,113.13241925438248,119.4904899119162,122.0548293279667,122.82066171660132,129.6132599091997,132.30655388703536,135.14403608920526,139.51327991544028,144.4975135071605,151.13529200624,157.88498334195108
48,Monción,69.3332672085248,70.26189798034872,78.80971858226785,82.5109888277217,83.22888522989611,88.34135482433966,94.74279624095146,100.2611511762236,102.65715245692164,109.25095332744078,115.5125085260938,120.54967492666904,123.01451482533236,126.99160824231072,133.10242021376013,139.43638823675172,145.594015976845
49,Monte Cristi,183.41382337557343,185.64948958725327,199.1473132124136,203.16289639227523,204.94320292484537,217.53217308100537,232.92615003498156,246.0166587890947,252.0695332727011,253.6611796871705,267.7271625778255,289.48331542844863,297.0315505801465,307.5623645402637,324.35239538456904,340.45824775824366,355.49511351830836
50,Neiba,201.53249867190328,204.0916685183259,217.93959821965177,227.95405174850256,229.93739154689464,244.2169759211587,261.49933976472596,276.58894133275624,294.02282696360464,296.732954968658,313.37654643076314,319.9727539520638,326.3303855704911,337.8538250659027,354.5636466759092,375.8037457399508,405.9322688578392
51,Sabana Grande De Boyá,146.34954547338629,148.2664623258745,158.94274625135407,161.17953574458758,162.5818965161549,172.5687543631184,184.7808305082951,195.16555995362637,199.31945988360573,200.57008857294625,211.66262077408672,216.06304765659212,220.0092042479446,227.12216130927484,238.2016648429281,249.19873839675216,260.2035637382199
52,Las Yayas De Viajama,87.20427039341597,88.2591960696613,91.86245391357178,95.26054661566134,96.08937162529016,101.9918184174042,109.2094172510446,115.34701386620014,117.8036049118229,118.54276338663756,125.09877191735248,127.69877041321176,130.12273988992558,134.345445125477,140.24769617178865,146.69025099335929,153.1682174677943
53,Licey Al Medio,389.8123547189376,395.4130206482083,438.6299789092119,438.967652128257,442.78693608302694,470.0055210281821,503.266135853412,531.5498131939008,544.6999149135514,548.1176269624748,578.4312837021025,593.679288996902,604.6235143698898,625.2796726451201,647.6246984781004,677.374615048427,707.4957097296622
