shapeName,id,year,total_sol
Partido,130,1993,24.806142599588522
Pedro Santana,131,1993,73.87595582922884
Duvergé,132,1993,86.97725429952736
Sabana Yegua,133,1993,31.907777400227147
Samaná,134,1993,101.56767744156076
Los Alcarrizos,135,1993,822.6725381028418
Nizao,136,1993,49.80940952675016
Polo,137,1993,28.12377117714461
Quisqueya,138,1993,152.63412016314615
Bánica,139,1993,37.26108734327203
Cotuí,140,1993,425.3819560984479
San Antonio De Guerra,141,1993,262.9664978158826
San Cristóbal,142,1993,1140.371886039832
El Pino,143,1993,13.89121829843988
Cambita Garabitos,144,1993,91.01589795193252
Villa Jaragua,145,1993,31.025769521500557
Ramón Santana,146,1993,52.908662750791095
Fundación,147,1993,66.996522890119
Cabrera,148,1993,50.4235249021474
Cabral,149,1993,22.98254851418384
El Valle,150,1993,28.5772881620655
Enriquillo,151,1993,62.478239151251074
Santiago,152,1993,3905.122620841364
Baitoa,153,1993,29.70055978783206
Pedernales,154,1993,155.79686700532244
Isla Beata,155,1993,3.0954758097143733
La Romana,156,1993,974.2519542938354
Isla Saona,157,1993,7.907830072150511
Isla Catalina,158,1993,0.20558764040470123
San Luis,159,1993,299.85908311278206
San Victor,160,1993,290.753868972963
Matanzas,161,1993,134.0961239830536
Constanza,0,1994,452.4751520683952
Sabana De La Mar,1,1994,87.2567552198966
Moca,2,1994,478.12391168545275
Bayaguana,3,1994,221.49263857719936
El Factor,4,1994,54.930321489420585
San Francisco De Macorís,5,1994,932.362471394942
Puerto Plata,6,1994,680.8618164000557
Jamao Al Norte,7,1994,19.977995992875567
Las Matas de Santa Cruz,8,1994,14.71160451699706
Jimaní,9,1994,90.35066207206134
Baní,10,1994,680.4749208907286
Villa Hermosa,11,1994,497.05247477287173
El Cercado,12,1994,49.003638662427086
Eugenio María De Hostos,13,1994,15.933238116140464
Bohechío,14,1994,78.85336153708833
Arenoso,15,1994,27.435055074095725
Tábara Arriba,16,1994,52.3073470588116
Vicente Noble,17,1994,75.15331717121838
Consuelo,18,1994,120.6051042830827
Puñal,19,1994,578.0711198916623
Juan Santiago,20,1994,15.882640762481035
La Descubierta,21,1994,31.153308788292538
Boca Chica,22,1994,1008.4562159473405
Tenares,23,1994,91.37690186611576
Villa Montellano,24,1994,79.90340385203271
Sosúa,25,1994,243.4117086495546
Las Charcas,26,1994,45.08515912256405
Castañuelas,27,1994,40.40745080399747
Jarabacoa,28,1994,499.6558175399023
Jima Abajo,29,1994,65.78644528441569
Pimentel,30,1994,65.26730661140938
Yamasá,31,1994,85.18456744726969
Sabana Iglesia,32,1994,39.87469396819087
Dajabón,33,1994,122.12163077435073
Los Cacaos,34,1994,27.963230870956288
El Peñón,35,1994,15.948900312828087
Fantino,36,1994,50.19312952190055
Guananico,37,1994,12.056104647295147
Hato Mayor,38,1994,373.8919041616369
Tamboril,39,1994,371.6693888085731
Miches,40,1994,67.70164506061403
Monte Plata,41,1994,185.83768200380547
Oviedo,42,1994,125.02587679817397
El Llano,43,1994,15.347709697718711
Guaymate,44,1994,90.31810939785315
Los Hidalgos,45,1994,24.32194674555577
Maimón,46,1994,106.35846111803663
Mella,47,1994,65.2339996777913
Monción,48,1994,47.86714257112907
Monte Cristi,49,1994,124.7152602321669
Neiba,50,1994,126.55733430169377
Sabana Grande De Boyá,51,1994,102.77224114543078
Las Yayas De Viajama,52,1994,67.19244818108923
Licey Al Medio,53,1994,264.9595137184741
Las Guáranas,54,1994,41.458183734381905
Las Salinas,55,1994,22.105728535500234
Bajos de Haina,56,1994,727.337693306044
Castillo,57,1994,39.79326457641289
Cevicos,58,1994,36.98916294700375
Cristóbal,59,1994,37.60721697716737
Hondo Valle,60,1994,16.68679666630193
Imbert,61,1994,64.76412857005408
La Ciénaga,62,1994,17.52894902170873
Los Ríos,63,1994,25.00019081760855
Padre Las Casas,64,1994,92.29254566980339
Paraíso,65,1994,21.86945358751451
Pedro Brand,66,1994,637.7986622202629
Peralta,67,1994,19.998082559658037
Postrer Río,68,1994,18.2057558225066
Pueblo Viejo,69,1994,33.59386349285351
Sabana Grande de Palenque,70,1994,40.53682470111286
San Juan,71,1994,659.6222639861644
San Pedro De Macorís,72,1994,996.681841357841
San Rafael Del Yuma,73,1994,219.70297020071862
Santo Domingo De Guzmán,74,1994,2513.049410270242
Villa Altagracia,75,1994,164.83122040597257
Azua,76,1994,408.2954597657218
Sabana Larga,77,1994,60.57167467460328
Sánchez,78,1994,60.011999490769476
San José De Las Matas,79,1994,269.5019857492079
Luperón,80,1994,49.64445423457554
Comendador,81,1994,73.73358126326522
Los Llanos,82,1994,173.88656628505856
Piedra Blanca,83,1994,70.50200143304527
Guayubín,84,1994,132.11343740157636
Santo Domingo Este,85,1994,2311.8500115763914
Santo Domingo Norte,86,1994,2824.767573126683
Santo Domingo Oeste,87,1994,1304.1476030592823
Villa Vásquez,88,1994,85.94298814681231
Estebanía,89,1994,40.53238669522836
Higüey,90,1994,2241.219787341122
Río San Juan,91,1994,35.318688885312454
Bisonó,92,1994,186.45668461655873
Villa Los Almácigos,93,1994,29.517788755572308
Peralvillo,94,1994,21.54937631610561
Mao,95,1994,393.35328495568217
Tamayo,96,1994,142.07582087195388
Villa Riva,97,1994,74.30430580281158
Esperanza,98,1994,214.73263226838085
