code,ob_f_00,tec_f_00,adm_f_00,ob_f_01,tec_f_01,adm_f_01,ob_f_02,tec_f_02,adm_f_02,ob_f_03,tec_f_03,adm_f_03,ob_f_04,tec_f_04,adm_f_04,ob_f_05,tec_f_05,adm_f_05,ob_f_06,tec_f_06,adm_f_06,ob_f_07,tec_f_07,adm_f_07,ob_f_08,tec_f_08,adm_f_08,ob_f_09,tec_f_09,adm_f_09,ob_f_10,tec_f_10,adm_f_10,ob_f_11,tec_f_11,adm_f_11,ob_f_12,tec_f_12,adm_f_12,ob_f_14,tec_f_14,adm_f_14,ob_f_15,tec_f_15,adm_f_15,ob_f_16,tec_f_16,adm_f_16
DOM-FRA,514.0,24.0,11.0,395.0,22.0,20.0,641.0,4.0,19.0,512.0,2.0,18.0,596.0,9.0,20.0,317.0,6.0,14.0,296.0,14.0,15.0,264.0,5.0,16.0,41.0,5.0,7.0,43.0,5.0,1.0,50.0,5.0,1.0,63.0,5.0,2.0,60.0,5.0,2.0,63.0,6.0,1.0,67.0,6.0,3.0,66.0,6.0,2.0
DOM-GLO,235.0,3.0,6.0,341.0,4.0,6.0,283.0,2.0,5.0,177.0,3.0,4.0,151.0,2.0,4.0,2.0,1.0,6.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0
DOM-GUR,884.0,6.0,171.0,923.0,87.0,66.0,735.0,206.0,107.0,724.0,133.0,94.0,985.0,69.0,213.0,944.0,188.0,92.0,934.0,81.0,33.0,1051.0,19.0,229.0,412.0,73.0,61.0,510.0,79.0,62.0,426.0,27.0,54.0,617.0,44.0,74.0,619.0,34.0,87.0,1070.0,67.0,139.0,1225.0,73.0,138.0,1003.0,447.0,167.0
DOM-HAI,1130.0,68.0,38.0,816.0,177.0,67.0,772.0,28.0,66.0,1033.0,23.0,66.0,1057.0,21.0,28.0,357.0,47.0,20.0,229.0,28.0,39.0,423.0,27.0,29.0,432.0,7.0,24.0,420.0,8.0,22.0,522.0,5.0,21.0,127.0,10.0,9.0,150.0,3.0,13.0,129.0,7.0,16.0,164.0,21.0,23.0,189.0,23.0,26.0
DOM-HAN,0.0,0.0,0.0,137.0,16.0,5.0,194.0,14.0,5.0,192.0,17.0,7.0,216.0,18.0,12.0,204.0,27.0,15.0,116.0,25.0,6.0,28.0,2.0,11.0,35.0,3.0,12.0,33.0,3.0,8.0,57.0,7.0,12.0,19.0,37.0,17.0,12.0,10.0,16.0,46.0,9.0,25.0,49.0,5.0,31.0,36.0,8.0,33.0
DOM-HAT,309.0,8.0,6.0,454.0,1.0,3.0,237.0,3.0,3.0,247.0,3.0,4.0,267.0,6.0,5.0,330.0,5.0,6.0,590.0,4.0,8.0,519.0,15.0,7.0,280.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,2.0,159.0,6.0,5.0,120.0,12.0,7.0,119.0,11.0,7.0,144.0,22.0,9.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,11.0,0.0,227.0,12.0,0.0,184.0,11.0
DOM-HIG,1022.0,99.0,8.0,924.0,101.0,9.0,341.0,8.0,4.0,345.0,4.0,4.0,350.0,10.0,3.0,322.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,10.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0,1.0,6.0,3.0,1.0,3.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0
DOM-IHA,490.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,4.0,14.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,11.0
DOM-ISI,3185.0,1171.0,201.0,3615.0,893.0,289.0,3276.0,1187.0,267.0,3371.0,1353.0,258.0,3607.0,973.0,257.0,4116.0,364.0,283.0,4145.0,401.0,329.0,4050.0,581.0,361.0,4676.0,628.0,299.0,4147.0,663.0,291.0,4882.0,744.0,358.0,5307.0,491.0,313.0,5449.0,569.0,307.0,5253.0,1385.0,335.0,5416.0,1170.0,376.0,4076.0,1233.0,378.0
DOM-JAI,57.0,2.0,3.0,18.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,30.0,5.0,6.0,156.0,1.0,18.0,109.0,9.0,6.0,184.0,74.0,117.0,390.0,62.0,113.0,256.0,86.0,65.0,468.0,20.0,22.0,374.0,18.0,16.0,78.0,1.0,3.0,118.0,2.0,6.0,51.0,0.0,14.0,115.0,0.0,15.0,123.0,0.0,17.0,1.0,3.0,19.0,20.0,15.0,14.0,73.0,14.0,18.0
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.0,6.0,0.0,5.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,3.0,364.0,0.0,4.0,286.0,0.0,3.0
DOM-LAG,30.0,1.0,3.0,47.0,1.0,4.0,40.0,3.0,5.0,36.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,5721.0,206.0,481.0,5035.0,364.0,280.0,5500.0,185.0,340.0,5335.0,373.0,332.0,5860.0,320.0,332.0,5611.0,298.0,313.0,5816.0,421.0,366.0,5330.0,443.0,421.0,6757.0,574.0,437.0,6296.0,645.0,352.0,5701.0,623.0,330.0,6449.0,458.0,361.0,6893.0,540.0,370.0,7449.0,402.0,484.0,7918.0,611.0,517.0,7475.0,783.0,429.0
DOM-LIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,6.0,8.0,109.0,3.0,9.0,59.0,2.0,10.0,61.0,2.0,9.0,62.0,3.0,7.0,80.0,6.0,6.0,134.0,6.0,6.0,67.0,9.0,7.0,165.0,5.0,24.0,155.0,5.0,26.0,131.0,7.0,25.0
DOM-LUN,0.0,0.0,0.0,60.0,7.0,5.0,121.0,4.0,4.0,204.0,2.0,4.0,228.0,12.0,7.0,158.0,23.0,2.0,127.0,12.0,2.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,9442.0,676.0,325.0,9122.0,729.0,294.0,9370.0,635.0,284.0,9325.0,551.0,299.0,9995.0,852.0,410.0,7075.0,469.0,299.0,6420.0,431.0,231.0,6543.0,474.0,266.0,4580.0,454.0,276.0,5213.0,386.0,250.0,5772.0,443.0,261.0,4966.0,352.0,257.0,4933.0,439.0,275.0,5478.0,303.0,288.0,6346.0,340.0,327.0,6275.0,337.0,339.0
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,1.0
DOM-MEL,3089.0,400.0,107.0,2552.0,256.0,35.0,1551.0,65.0,140.0,1521.0,126.0,25.0,2303.0,150.0,49.0,1665.0,38.0,107.0,1312.0,42.0,99.0,3.0,0.0,3.0,112.0,2.0,5.0,201.0,14.0,22.0,143.0,6.0,10.0,107.0,5.0,6.0,99.0,14.0,8.0,109.0,10.0,7.0,121.0,10.0,11.0,105.0,11.0,7.0
DOM-MIN,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,3093.0,89.0,129.0,2495.0,117.0,52.0,2609.0,146.0,51.0,2278.0,199.0,52.0,2416.0,205.0,60.0,1546.0,122.0,39.0,1475.0,98.0,52.0,583.0,27.0,21.0,542.0,16.0,23.0,446.0,15.0,43.0,788.0,14.0,25.0,683.0,8.0,78.0,771.0,44.0,34.0,563.0,24.0,36.0,654.0,19.0,37.0,1018.0,26.0,35.0
DOM-MOI,0.0,0.0,0.0,9.0,0.0,1.0,13.0,1.0,2.0,71.0,9.0,6.0,75.0,5.0,5.0,54.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,1.0,11.0,6.0,2.0,35.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,5.0,2.0,48.0,5.0,2.0,48.0,5.0,2.0,47.0,5.0,2.0,43.0,5.0,2.0,49.0,5.0,2.0,57.0,42.0,13.0,54.0,6.0,6.0,40.0
DOM-NAV,756.0,24.0,12.0,389.0,5.0,2.0,485.0,6.0,4.0,659.0,4.0,1.0,1004.0,27.0,3.0,770.0,82.0,38.0,668.0,80.0,35.0,398.0,15.0,9.0,391.0,3.0,7.0,376.0,8.0,6.0,331.0,6.0,6.0,476.0,15.0,10.0,484.0,17.0,7.0,452.0,32.0,24.0,523.0,46.0,33.0,746.0,74.0,46.0
DOM-NIG,1065.0,9.0,51.0,1043.0,17.0,126.0,942.0,23.0,99.0,686.0,25.0,54.0,651.0,39.0,48.0,586.0,30.0,41.0,620.0,24.0,54.0,630.0,30.0,47.0,438.0,17.0,55.0,438.0,16.0,56.0,337.0,19.0,54.0,486.0,39.0,57.0,555.0,58.0,75.0,753.0,78.0,55.0,810.0,80.0,60.0,893.0,114.0,68.0
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
DOM-PAB,843.0,23.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,2.0,55.0,2.0,4.0,69.0,2.0,3.0,256.0,0.0,5.0,237.0,0.0,5.0,245.0,2.0,3.0,229.0,1.0,6.0,22.0,0.0,6.0,343.0,3.0,6.0,384.0,1.0,14.0,471.0,1.0,13.0,500.0,13.0,14.0
