code,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_m_16,tec_m_16,adm_m_16,total_m_16
DOM-6NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,46.0,2.0,10.0,58.0
DOM-ALC,1068.0,157.0,81.0,1306.0,1108.0,110.0,77.0,1295.0,841.0,89.0,83.0,1013.0,927,137.0,62.0,1126.0,1360.0,130.0,63.0,1553.0,917.0,97.0,84.0,1098.0,811.0,131.0,122.0,1064.0,510.0,122.0,54.0,686.0,412.0,142.0,44.0,598.0,395.0,93.0,48.0,536.0,407.0,60.0,55.0,522.0,480.0,57.0,63.0,600.0,432.0,82.0,55.0,569.0,375.0,51.0,36.0,462.0,429.0,71,48.0,548.0,370.0,72.0,43.0,485.0
DOM-ALT,362.0,41.0,106.0,509.0,735.0,32.0,11.0,778.0,650.0,31.0,12.0,693.0,540,19.0,8.0,567.0,242.0,15.0,7.0,264.0,285.0,41.0,22.0,348.0,170.0,15.0,17.0,202.0,81.0,27.0,18.0,126.0,87.0,22.0,10.0,119.0,63.0,27.0,6.0,96.0,120.0,19.0,16.0,155.0,84.0,8.0,12.0,104.0,100.0,17.0,6.0,123.0,137.0,21.0,9.0,167.0,119.0,14,5.0,138.0,134.0,14.0,10.0,158.0
DOM-AND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,13.0,0.0,70.0,11.0,81.0,0.0,50.0,8.0,58.0,41.0,6.0,7.0,54.0,40.0,6.0,9.0,55.0,46.0,11,12.0,69.0,3.0,49.0,19.0,71.0
DOM-ARM,808.0,80.0,34.0,922.0,571.0,53.0,21.0,645.0,476.0,69.0,21.0,566.0,407,78.0,23.0,508.0,858.0,79.0,27.0,964.0,265.0,61.0,19.0,345.0,378.0,50.0,22.0,450.0,278.0,49.0,21.0,348.0,172.0,51.0,17.0,240.0,156.0,33.0,11.0,200.0,85.0,26.0,7.0,118.0,112.0,21.0,8.0,141.0,98.0,43.0,12.0,153.0,127.0,28.0,14.0,169.0,197.0,30,28.0,255.0,218.0,27.0,38.0,283.0
DOM-AZU,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,5,0.0,2.0,7.0,8.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BAN,1066.0,96.0,90.0,1252.0,1038.0,98.0,101.0,1237.0,797.0,135.0,50.0,982.0,850,154.0,46.0,1050.0,985.0,101.0,23.0,1109.0,936.0,95.0,30.0,1061.0,654.0,59.0,24.0,737.0,441.0,55.0,16.0,512.0,498.0,70.0,12.0,580.0,309.0,54.0,13.0,376.0,346.0,49.0,22.0,417.0,393.0,51.0,19.0,463.0,191.0,49.0,12.0,252.0,201.0,77.0,31.0,309.0,131.0,40,33.0,204.0,132.0,54.0,18.0,204.0
DOM-BAR,473.0,80.0,32.0,585.0,787.0,164.0,26.0,977.0,650.0,61.0,3.0,714.0,623,48.0,21.0,692.0,750.0,155.0,25.0,930.0,485.0,27.0,8.0,520.0,670.0,20.0,10.0,700.0,610.0,30.0,10.0,650.0,460.0,20.0,20.0,500.0,210.0,20.0,20.0,250.0,195.0,3.0,2.0,200.0,85.0,15.0,5.0,105.0,91.0,16.0,5.0,112.0,420.0,53.0,52.0,525.0,559.0,52,42.0,653.0,559.0,52.0,43.0,654.0
DOM-BAY,100.0,3.0,3.0,106.0,15.0,2.0,6.0,24.0,64.0,2.0,4.0,70.0,18,2.0,2.0,22.0,11.0,4.0,2.0,17.0,5.0,2.0,1.0,8.0,7.0,2.0,1.0,10.0,6.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-BON,1667.0,74.0,27.0,1768.0,1137.0,75.0,20.0,1232.0,966.0,29.0,18.0,1013.0,1334,73.0,11.0,1418.0,1335.0,55.0,16.0,1406.0,1142.0,51.0,12.0,1205.0,811.0,34.0,12.0,857.0,502.0,20.0,4.0,526.0,160.0,39.0,3.0,202.0,114.0,11.0,5.0,130.0,109.0,26.0,4.0,139.0,153.0,16.0,3.0,172.0,64.0,14.0,3.0,81.0,97.0,19.0,4.0,120.0,85.0,20,5.0,110.0,94.0,13.0,4.0,111.0
DOM-CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,9.0,1.0,39.0,13.0,15.0,2.0,30.0,19.0,6.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,1.0,80.0,95.0,5,1.0,101.0,31.0,5.0,2.0,38.0
DOM-CHE,1389.0,197.0,87.0,1673.0,1304.0,90.0,34.0,1428.0,411.0,23.0,51.0,485.0,239,25.0,38.0,302.0,429.0,75.0,49.0,553.0,338.0,46.0,41.0,425.0,318.0,59.0,47.0,424.0,247.0,59.0,61.0,367.0,218.0,38.0,20.0,276.0,161.0,37.0,22.0,220.0,217.0,31.0,25.0,273.0,215.0,44.0,44.0,303.0,238.0,36.0,25.0,299.0,175.0,24.0,24.0,223.0,207.0,37,23.0,267.0,136.0,36.0,27.0,199.0
