,code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_01,tec_m_01,adm_m_01,total_m_01,ob_f_01,tec_f_01,adm_f_01,total_f_01,total_mf_01,ob_m_02,tec_m_02,adm_m_02,total_m_02,ob_f_02,tec_f_02,adm_f_02,total_f_02,total_mf_02,ob_m_03,tec_m_03,adm_m_03,total_m_03,ob_f_03,tec_f_03,adm_f_03,total_f_03,total_mf_03,ob_m_04,tec_m_04,adm_m_04,total_m_04,ob_f_04,tec_f_04,adm_f_04,total_f_04,total_mf_04,ob_m_05,tec_m_05,adm_m_05,total_m_05,ob_f_05,tec_f_05,adm_f_05,total_f_05,total_mf_05,ob_m_06,tec_m_06,adm_m_06,total_m_06,ob_f_06,tec_f_06,adm_f_06,total_f_06,total_mf_06,ob_m_07,tec_m_07,adm_m_07,total_m_07,ob_f_07,tec_f_07,adm_f_07,total_f_07,total_mf_07,ob_m_08,tec_m_08,adm_m_08,total_m_08,ob_f_08,tec_f_08,adm_f_08,total_f_08,total_mf_08,ob_m_09,tec_m_09,adm_m_09,total_m_09,ob_f_09,tec_f_09,adm_f_09,total_f_09,total_mf_09,ob_m_10,tec_m_10,adm_m_10,total_m_10,ob_f_10,tec_f_10,adm_f_10,total_f_10,total_mf_10,ob_m_11,tec_m_11,adm_m_11,total_m_11,ob_f_11,tec_f_11,adm_f_11,total_f_11,total_mf_11,ob_m_12,tec_m_12,adm_m_12,total_m_12,ob_f_12,tec_f_12,adm_f_12,total_f_12,total_mf_12,ob_m_14,tec_m_14,adm_m_14,total_m_14,ob_f_14,tec_f_14,adm_f_14,total_f_14,total_mf_14,ob_m_15,tec_m_15,adm_m_15,total_m_15,ob_f_15,tec_f_15,adm_f_15,total_f_15,total_mf_15,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
10,DOM-CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,9.0,1.0,39.0,0.0,0.0,0.0,0.0,39.0,13.0,15.0,2.0,30.0,0.0,2.0,1.0,3.0,33.0,19.0,6.0,1.0,26.0,1.0,2.0,1.0,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DOM-CDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,6.0,1.0,80.0,393.0,1.0,9.0,403.0,483.0,95.0,5.0,1.0,101.0,416.0,3.0,10.0,429.0,,31.0,5.0,2.0,38.0,347.0,4.0,10.0,361.0,399.0
12,DOM-CHE,Nueva Z.F. (Chem Tec),1389.0,197.0,87.0,1673.0,1173.0,51.0,65.0,1289.0,2962.0,1304.0,90.0,34.0,1428.0,703.0,30.0,40.0,773.0,2201.0,411.0,23.0,51.0,485.0,263.0,17.0,33.0,313.0,798.0,239.0,25.0,38.0,302.0,158.0,2.0,24.0,184.0,486.0,429.0,75.0,49.0,553.0,460.0,12.0,37.0,509.0,1062.0,338.0,46.0,41.0,425.0,326.0,6.0,35.0,367.0,792.0,318.0,59.0,47.0,424.0,337.0,8.0,38.0,383.0,807.0,247.0,59.0,61.0,367.0,545.0,40.0,66.0,651.0,1018.0,218.0,38.0,20.0,276.0,234.0,8.0,17.0,259.0,535.0,161.0,37.0,22.0,220.0,292.0,6.0,19.0,317.0,537.0,217.0,31.0,25.0,273.0,282.0,9.0,18.0,309.0,582.0,215.0,44.0,44.0,303.0,289.0,9.0,33.0,331.0,634.0,238.0,36.0,25.0,299.0,326.0,12.0,29.0,367.0,666.0,175.0,24.0,24.0,223.0,202.0,5.0,25.0,232.0,455.0,207.0,37.0,23.0,267.0,302.0,4.0,23.0,329.0,,136.0,36.0,27.0,199.0,248.0,3.0,26.0,277.0,476.0
13,DOM-CIB,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,22.0,0.0,3.0,25.0,32.0,2.0,6.0,0.0,8.0,0.0,0.0,2.0,2.0,10.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,5.0,0.0,34.0,7.0,41.0,0.0,2.0,4.0,6.0,47.0,5.0,12.0,9.0,26.0,8.0,0.0,5.0,13.0,39.0,28.0,508.0,24.0,560.0,20.0,191.0,20.0,231.0,791.0,69.0,493.0,23.0,585.0,37.0,205.0,25.0,267.0,852.0,75.0,523.0,43.0,641.0,27.0,262.0,36.0,325.0,966.0,24.0,451.0,31.0,506.0,16.0,252.0,30.0,298.0,804.0,202.0,94.0,55.0,351.0,102.0,28.0,75.0,205.0,556.0,243.0,105.0,77.0,425.0,249.0,53.0,101.0,403.0,828.0,42.0,350.0,20.0,412.0,1.0,418.0,42.0,461.0,873.0,20.0,453.0,27.0,500.0,13.0,209.0,52.0,274.0,,141.0,159.0,105.0,405.0,221.0,101.0,62.0,384.0,789.0
14,DOM-CIP,Caribbean Ind. Park,2522.0,678.0,197.0,3397.0,1679.0,549.0,126.0,2354.0,5751.0,2085.0,342.0,150.0,2577.0,1603.0,137.0,120.0,1860.0,4437.0,2572.0,393.0,329.0,3294.0,1842.0,122.0,280.0,2244.0,5538.0,2043.0,484.0,354.0,2881.0,2087.0,141.0,496.0,2724.0,5605.0,2747.0,365.0,128.0,3240.0,2425.0,175.0,158.0,2758.0,5998.0,2000.0,497.0,175.0,2672.0,1328.0,284.0,149.0,1761.0,4433.0,1466.0,544.0,112.0,2122.0,1098.0,226.0,111.0,1435.0,3557.0,2313.0,1372.0,87.0,3772.0,2024.0,558.0,156.0,2738.0,6510.0,2168.0,1095.0,89.0,3352.0,1604.0,471.0,122.0,2197.0,5549.0,1614.0,598.0,65.0,2277.0,884.0,345.0,86.0,1315.0,3592.0,1213.0,565.0,82.0,1860.0,810.0,331.0,91.0,1232.0,3092.0,1155.0,542.0,85.0,1782.0,962.0,286.0,113.0,1361.0,3143.0,1472.0,803.0,91.0,2366.0,1245.0,441.0,116.0,1802.0,4168.0,1798.0,1061.0,149.0,3008.0,1422.0,443.0,181.0,2046.0,5054.0,1660.0,937.0,393.0,2990.0,1715.0,381.0,377.0,2473.0,,1871.0,898.0,203.0,2972.0,1629.0,451.0,305.0,2385.0,5357.0
15,DOM-CON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,25.0,8.0,159.0,4.0,4.0,5.0,13.0,172.0,61.0,22.0,67.0,150.0,3.0,8.0,50.0,61.0,,134.0,43.0,55.0,232.0,12.0,18.0,79.0,109.0,341.0
16,DOM-COT,Cotuí,173.0,15.0,8.0,196.0,167.0,7.0,8.0,182.0,378.0,154.0,22.0,5.0,181.0,176.0,6.0,6.0,188.0,369.0,184.0,26.0,10.0,220.0,171.0,16.0,6.0,193.0,413.0,188.0,27.0,4.0,219.0,175.0,17.0,4.0,196.0,415.0,204.0,32.0,5.0,241.0,203.0,13.0,4.0,220.0,461.0,191.0,25.0,5.0,221.0,166.0,12.0,5.0,183.0,404.0,155.0,16.0,2.0,173.0,164.0,8.0,2.0,174.0,347.0,134.0,16.0,2.0,152.0,144.0,8.0,2.0,154.0,306.0,91.0,14.0,2.0,107.0,130.0,6.0,3.0,139.0,246.0,85.0,18.0,2.0,105.0,116.0,8.0,3.0,127.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,DOM-CRI,Itabo,2975.0,486.0,336.0,3797.0,5575.0,376.0,297.0,6248.0,10045.0,3194.0,481.0,430.0,4105.0,5745.0,228.0,313.0,6286.0,10391.0,3402.0,506.0,402.0,4310.0,5472.0,305.0,310.0,6087.0,10397.0,3388.0,658.0,539.0,4585.0,5363.0,373.0,430.0,6166.0,10751.0,3552.0,569.0,630.0,4751.0,6166.0,241.0,438.0,6845.0,11596.0,3909.0,676.0,577.0,5162.0,6201.0,435.0,430.0,7066.0,12228.0,4118.0,515.0,580.0,5213.0,7005.0,297.0,449.0,7751.0,12964.0,3330.0,1025.0,767.0,5122.0,5882.0,314.0,615.0,6811.0,11933.0,3585.0,968.0,821.0,5374.0,6545.0,298.0,552.0,7395.0,12769.0,2778.0,691.0,565.0,4034.0,5147.0,184.0,453.0,5784.0,9818.0,3410.0,680.0,508.0,4598.0,5857.0,285.0,485.0,6627.0,11225.0,3433.0,754.0,551.0,4738.0,6309.0,277.0,506.0,7092.0,11830.0,3674.0,886.0,632.0,5192.0,6229.0,312.0,529.0,7070.0,12262.0,4066.0,1228.0,738.0,6032.0,6102.0,561.0,628.0,7729.0,13323.0,4179.0,1135.0,838.0,6152.0,6248.0,584.0,736.0,7568.0,,4327.0,1234.0,722.0,6283.0,6474.0,594.0,595.0,7663.0,13946.0
18,DOM-CTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,14.0,7.0,262.0,295.0,0.0,6.0,301.0,,45.0,4.0,6.0,55.0,227.0,0.0,5.0,232.0,287.0
19,DOM-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,27.0,51.0,748.0,131.0,18.0,12.0,161.0,909.0,1158.0,31.0,81.0,1270.0,94.0,3.0,36.0,133.0,1403.0,1154.0,240.0,89.0,1483.0,206.0,11.0,44.0,261.0,1744.0,1397.0,56.0,43.0,1496.0,298.0,25.0,24.0,347.0,1843.0,1342.0,63.0,16.0,1421.0,296.0,42.0,1.0,339.0,1760.0,1320.0,63.0,16.0,1399.0,297.0,45.0,29.0,371.0,1770.0,991.0,383.0,61.0,1435.0,205.0,71.0,50.0,326.0,1761.0,1446.0,445.0,73.0,1964.0,204.0,40.0,72.0,316.0,2280.0,1482.0,449.0,74.0,2005.0,248.0,45.0,60.0,353.0,,1454.0,438.0,72.0,1964.0,243.0,42.0,59.0,344.0,2308.0
20,DOM-DPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,1.0,37.0,5.0,0.0,1.0,6.0,43.0,30.0,5.0,3.0,38.0,2.0,0.0,0.0,2.0,40.0,21.0,11.0,4.0,36.0,6.0,1.0,1.0,8.0,44.0,15.0,3.0,2.0,20.0,16.0,1.0,6.0,23.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,DOM-EMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,22.0,21.0,180.0,268.0,10.0,12.0,290.0,470.0,413.0,54.0,24.0,491.0,908.0,19.0,36.0,963.0,,532.0,82.0,17.0,631.0,1149.0,38.0,38.0,1225.0,1856.0
22,DOM-ESP,Esperanza,4412.0,173.0,328.0,4913.0,2277.0,103.0,169.0,2549.0,7462.0,3672.0,121.0,309.0,4102.0,2357.0,67.0,171.0,2595.0,6697.0,3105.0,266.0,274.0,3645.0,2299.0,96.0,136.0,2531.0,6176.0,3775.0,285.0,357.0,4417.0,2456.0,122.0,176.0,2754.0,7171.0,3510.0,455.0,159.0,4124.0,2483.0,174.0,100.0,2757.0,6881.0,2639.0,225.0,156.0,3020.0,2081.0,134.0,95.0,2310.0,5330.0,2673.0,175.0,244.0,3092.0,1977.0,91.0,105.0,2173.0,5265.0,2398.0,296.0,68.0,2762.0,1260.0,194.0,47.0,1501.0,4263.0,1561.0,226.0,63.0,1850.0,1134.0,78.0,52.0,1264.0,3114.0,1780.0,217.0,118.0,2115.0,1177.0,66.0,83.0,1326.0,3441.0,1766.0,140.0,109.0,2015.0,1457.0,102.0,87.0,1646.0,3661.0,1087.0,92.0,83.0,1262.0,824.0,61.0,46.0,931.0,2193.0,1008.0,125.0,160.0,1293.0,579.0,64.0,54.0,697.0,1990.0,1662.0,188.0,138.0,1988.0,727.0,90.0,49.0,866.0,2854.0,1770.0,192.0,140.0,2102.0,993.0,88.0,54.0,1135.0,,1757.0,222.0,112.0,2091.0,1055.0,92.0,52.0,1199.0,3290.0
23,DOM-EXC,Excel Boca Chica,10.0,10.0,5.0,25.0,176.0,15.0,4.0,195.0,220.0,33.0,12.0,6.0,51.0,140.0,16.0,6.0,162.0,213.0,16.0,5.0,10.0,31.0,78.0,12.0,7.0,97.0,128.0,17.0,6.0,12.0,35.0,75.0,12.0,10.0,97.0,132.0,19.0,8.0,12.0,39.0,78.0,10.0,12.0,100.0,139.0,27.0,8.0,13.0,48.0,57.0,8.0,13.0,78.0,126.0,29.0,7.0,18.0,54.0,58.0,0.0,18.0,76.0,130.0,33.0,7.0,13.0,53.0,58.0,0.0,23.0,81.0,134.0,30.0,5.0,6.0,41.0,13.0,5.0,3.0,21.0,62.0,39.0,7.0,4.0,50.0,2.0,2.0,16.0,20.0,70.0,44.0,7.0,6.0,57.0,1.0,2.0,15.0,18.0,75.0,45.0,8.0,6.0,59.0,2.0,2.0,10.0,14.0,73.0,40.0,8.0,6.0,54.0,2.0,2.0,7.0,11.0,65.0,33.0,35.0,9.0,77.0,2.0,0.0,16.0,18.0,95.0,53.0,15.0,9.0,77.0,2.0,0.0,17.0,19.0,,61.0,14.0,11.0,86.0,2.0,3.0,17.0,22.0,108.0
24,DOM-FRA,San Fco. Macorís,398.0,27.0,10.0,435.0,514.0,24.0,11.0,549.0,984.0,357.0,35.0,13.0,405.0,395.0,22.0,20.0,436.0,841.0,519.0,67.0,6.0,592.0,641.0,4.0,19.0,664.0,1256.0,480.0,32.0,6.0,518.0,512.0,2.0,18.0,532.0,1050.0,408.0,41.0,5.0,454.0,596.0,9.0,20.0,625.0,1079.0,301.0,47.0,5.0,353.0,317.0,6.0,14.0,337.0,690.0,284.0,37.0,5.0,326.0,296.0,14.0,15.0,325.0,651.0,222.0,31.0,1.0,254.0,264.0,5.0,16.0,285.0,539.0,29.0,19.0,1.0,49.0,41.0,5.0,7.0,53.0,102.0,18.0,17.0,1.0,36.0,43.0,5.0,1.0,49.0,85.0,19.0,18.0,1.0,38.0,50.0,5.0,1.0,56.0,94.0,23.0,21.0,2.0,46.0,63.0,5.0,2.0,70.0,116.0,27.0,23.0,4.0,54.0,60.0,5.0,2.0,67.0,121.0,23.0,21.0,2.0,46.0,63.0,6.0,1.0,70.0,116.0,27.0,21.0,3.0,51.0,67.0,6.0,3.0,76.0,,27.0,21.0,1.0,49.0,66.0,6.0,2.0,74.0,123.0
25,DOM-GLO,Global,94.0,10.0,10.0,114.0,235.0,3.0,6.0,244.0,358.0,97.0,11.0,14.0,122.0,341.0,4.0,6.0,351.0,473.0,102.0,12.0,16.0,130.0,283.0,2.0,5.0,290.0,420.0,88.0,14.0,17.0,119.0,177.0,3.0,4.0,184.0,303.0,80.0,16.0,11.0,107.0,151.0,2.0,4.0,157.0,264.0,63.0,10.0,2.0,75.0,2.0,1.0,6.0,9.0,84.0,63.0,10.0,7.0,80.0,1.0,3.0,6.0,10.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,8.0,0.0,0.0,3.0,3.0,11.0,10.0,0.0,1.0,11.0,0.0,0.0,4.0,4.0,,9.0,0.0,1.0,10.0,0.0,0.0,4.0,4.0,14.0
