code,total_mf_00,total_mf_01,total_mf_02,total_mf_03,total_mf_04,total_mf_05,total_mf_06,total_mf_07,total_mf_08,total_mf_09,total_mf_10,total_mf_11,total_mf_12,total_mf_14,total_mf_15,total_mf_16
DOM-PAL,0.0,0.0,0.0,0.0,146.0,151.0,184.0,405.0,478.0,398.0,425.0,436.0,657.0,744.0,0.0,935.0
DOM-PAM,797.0,725.0,759.0,794.0,1104.0,1261.0,1360.0,1608.0,1125.0,844.0,931.0,762.0,911.0,1193.0,0.0,951.0
DOM-PED,8.0,69.0,53.0,79.0,129.0,125.0,240.0,375.0,394.0,667.0,568.0,598.0,383.0,369.0,0.0,653.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,540.0,407.0,460.0,0.0,424.0
DOM-PEV,0.0,0.0,0.0,0.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,2508.0,2576.0,3363.0,3306.0,4000.0,3767.0,3986.0,3762.0,3506.0,3324.0,3847.0,4605.0,4973.0,6047.0,0.0,5934.0
DOM-PON,78.0,130.0,217.0,116.0,99.0,148.0,157.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
DOM-PUE,3585.0,3451.0,3298.0,3474.0,3218.0,2024.0,1186.0,1607.0,1353.0,1001.0,870.0,965.0,1050.0,903.0,0.0,1009.0
DOM-QUI,0.0,40.0,91.0,139.0,75.0,0.0,75.0,67.0,297.0,0.0,0.0,0.0,0.0,324.0,0.0,211.0
DOM-RAF,0.0,0.0,145.0,138.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,0.0,1035.0
DOM-RII,2256.0,3105.0,2630.0,2621.0,2738.0,1902.0,1520.0,1467.0,1466.0,1641.0,1833.0,1773.0,2005.0,2473.0,0.0,2585.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
DOM-ROM,14252.0,12097.0,9387.0,8876.0,8307.0,4338.0,4837.0,4431.0,4452.0,4029.0,5020.0,5177.0,5098.0,4875.0,0.0,4913.0
