code,park,ob_m_00,tec_m_00,adm_m_00,total_m_00,ob_f_00,tec_f_00,adm_f_00,total_f_00,total_mf_00,ob_m_16,tec_m_16,adm_m_16,total_m_16,ob_f_16,tec_f_16,adm_f_16,total_f_16,total_mf_16
DOM-MIN,Los Minas,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,Moca,2502.0,246.0,44.0,2792.0,3093.0,89.0,129.0,3311.0,6103.0,495.0,93.0,33.0,621.0,1018.0,26.0,35.0,1079.0,1700.0
DOM-MUL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,9.0,49.0,1.0,0.0,3.0,4.0,53.0
DOM-MUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,70.0,49.0,265.0,6.0,6.0,40.0,52.0,317.0
DOM-NAV,Navarrete,897.0,43.0,12.0,952.0,756.0,24.0,12.0,792.0,1744.0,697.0,89.0,41.0,827.0,746.0,74.0,46.0,866.0,1693.0
DOM-NIG,Nigua,479.0,45.0,65.0,589.0,1065.0,9.0,51.0,1125.0,1714.0,643.0,325.0,116.0,1084.0,893.0,114.0,68.0,1075.0,2159.0
DOM-NOR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,4.0
DOM-PAB,Palmar Abajo,620.0,91.0,5.0,716.0,843.0,23.0,17.0,883.0,1599.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DOM-PAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,7.0,11.0,408.0,500.0,13.0,14.0,527.0,935.0
DOM-PAM,Palmarejo,328.0,61.0,17.0,406.0,354.0,26.0,11.0,391.0,797.0,305.0,86.0,24.0,415.0,464.0,45.0,27.0,536.0,951.0
DOM-PED,Pedernales,1.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,8.0,284.0,5.0,5.0,294.0,349.0,0.0,10.0,359.0,653.0
DOM-PER,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,53.0,30.0,180.0,141.0,64.0,39.0,244.0,424.0
DOM-PIS,Pisano,1206.0,192.0,111.0,1509.0,888.0,43.0,68.0,999.0,2508.0,2960.0,561.0,259.0,3780.0,1875.0,95.0,184.0,2154.0,5934.0
DOM-PON,Pontezuela,33.0,6.0,2.0,41.0,23.0,13.0,1.0,37.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,Puerto Plata,1251.0,144.0,39.0,1434.0,1927.0,176.0,48.0,2151.0,3585.0,292.0,54.0,28.0,374.0,560.0,18.0,57.0,635.0,1009.0
DOM-QUI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,32.0,5.0,95.0,111.0,0.0,5.0,116.0,211.0
DOM-RIE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,25.0,3.0,444.0,569.0,20.0,2.0,591.0,1035.0
DOM-RII,La Romana II,403.0,102.0,40.0,545.0,1597.0,83.0,31.0,1711.0,2256.0,508.0,211.0,102.0,821.0,1508.0,176.0,80.0,1764.0,2585.0
DOM-ROM,La Romana I,4604.0,794.0,237.0,5635.0,7915.0,518.0,184.0,8617.0,14252.0,1288.0,173.0,239.0,1700.0,2922.0,136.0,155.0,3213.0,4913.0
DOM-S12,Santiago I II,19463.0,2296.0,673.0,22432.0,20499.0,1279.0,569.0,22347.0,44779.0,7085.0,1631.0,556.0,9272.0,7403.0,391.0,560.0,8354.0,17626.0
DOM-SAG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,9.0,4.0,115.0,91.0,2.0,8.0,101.0,216.0
DOM-SAL,Salcedo,175.0,16.0,4.0,195.0,140.0,0.0,2.0,142.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,El Seibo,53.0,6.0,3.0,62.0,84.0,2.0,2.0,88.0,150.0,13.0,2.0,1.0,16.0,117.0,1.0,0.0,118.0,134.0
DOM-SLI,Santiago-Licey,606.0,36.0,11.0,653.0,440.0,9.0,18.0,467.0,1120.0,179.0,7.0,14.0,200.0,73.0,1.0,13.0,87.0,287.0
DOM-SUN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,36.0,3.0,1.0,4.0,8.0,44.0
DOM-SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,32.0,0.0,0.0,1.0,1.0,33.0
DOM-TAL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,5.0,39.0,0.0,0.0,1.0,1.0,40.0
DOM-TAM,Tamboril,5.0,0.0,5.0,10.0,14.0,0.0,1.0,15.0,25.0,2433.0,368.0,114.0,2915.0,2452.0,144.0,93.0,2689.0,5604.0
DOM-VEG,La Vega,6720.0,526.0,204.0,7450.0,5597.0,277.0,156.0,6030.0,13480.0,2508.0,442.0,90.0,3040.0,2654.0,116.0,58.0,2828.0,5868.0
DOM-VIS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,151.0,84.0,1311.0,336.0,19.0,94.0,449.0,1760.0
DOM-YAQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,37.0,30.0,224.0,2.0,1.0,24.0,27.0,251.0
DOM-ZFE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6854.0,8229.0,1963.0,17046.0,3513.0,5007.0,1411.0,9931.0,26977.0
DOM-ZOF,Zofinma (Mao),108.0,8.0,2.0,118.0,82.0,2.0,3.0,87.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Z.F. Especiales,2323.0,240.0,213.0,2776.0,2646.0,79.0,175.0,2900.0,5676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
