code,ob_m_00,tec_m_00,adm_m_00,ob_m_01,tec_m_01,adm_m_01,ob_m_02,tec_m_02,adm_m_02,ob_m_03,tec_m_03,adm_m_03,ob_m_04,tec_m_04,adm_m_04,ob_m_05,tec_m_05,adm_m_05,ob_m_06,tec_m_06,adm_m_06,ob_m_07,tec_m_07,adm_m_07,ob_m_08,tec_m_08,adm_m_08,ob_m_09,tec_m_09,adm_m_09,ob_m_10,tec_m_10,adm_m_10,ob_m_11,tec_m_11,adm_m_11,ob_m_12,tec_m_12,adm_m_12,ob_m_14,tec_m_14,adm_m_14,ob_m_15,tec_m_15,adm_m_15,ob_m_16,tec_m_16,adm_m_16
DOM-S12,19463.0,2296.0,673.0,15975.0,2471.0,720.0,18429.0,2493.0,871.0,17499.0,2430.0,928.0,19342.0,2192.0,955.0,15273.0,1982.0,753.0,12316.0,2065.0,686.0,6623.0,974.0,510.0,5592.0,1155.0,499.0,5577.0,1036.0,490.0,5308.0,1072.0,470.0,5363.0,1014.0,495.0,6267.0,1371.0,505.0,6952.0,1449.0,512.0,7051.0,1333.0,547.0,7085.0,1631.0,556.0
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,3.0,14.0,132.0,8.0,5.0,83.0,8.0,3.0,102.0,9.0,4.0
DOM-SAL,175.0,16.0,4.0,154.0,14.0,4.0,25.0,7.0,2.0,156.0,8.0,6.0,269.0,40.0,30.0,192.0,32.0,18.0,62.0,22.0,10.0,87.0,18.0,16.0,355.0,21.0,20.0,110.0,4.0,7.0,98.0,0.0,5.0,69.0,3.0,1.0,115.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,53.0,6.0,3.0,7.0,9.0,4.0,3.0,11.0,7.0,24.0,0.0,2.0,81.0,2.0,2.0,104.0,8.0,3.0,58.0,8.0,4.0,15.0,6.0,1.0,9.0,5.0,3.0,2.0,1.0,3.0,5.0,2.0,0.0,8.0,2.0,2.0,11.0,4.0,0.0,7.0,2.0,6.0,17.0,3.0,1.0,13.0,2.0,1.0
DOM-SLI,606.0,36.0,11.0,536.0,85.0,17.0,409.0,52.0,15.0,378.0,45.0,18.0,529.0,51.0,19.0,349.0,59.0,69.0,141.0,13.0,7.0,61.0,32.0,6.0,211.0,6.0,17.0,178.0,9.0,11.0,184.0,6.0,8.0,117.0,6.0,11.0,117.0,10.0,7.0,210.0,4.0,11.0,165.0,4.0,14.0,179.0,7.0,14.0
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,31.0,0.0,2.0,30.0,0.0,2.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,33.0,1.0,5.0
DOM-TAM,5.0,0.0,5.0,87.0,16.0,7.0,160.0,34.0,9.0,250.0,53.0,14.0,332.0,26.0,14.0,268.0,72.0,26.0,159.0,32.0,24.0,204.0,11.0,23.0,530.0,26.0,67.0,294.0,25.0,41.0,190.0,72.0,32.0,997.0,67.0,44.0,1286.0,161.0,64.0,2113.0,398.0,92.0,1932.0,413.0,113.0,2433.0,368.0,114.0
DOM-VEG,6720.0,526.0,204.0,4970.0,451.0,243.0,5415.0,542.0,140.0,5182.0,587.0,136.0,4700.0,607.0,154.0,3224.0,349.0,139.0,3032.0,383.0,140.0,2100.0,242.0,72.0,2027.0,266.0,111.0,1616.0,239.0,62.0,2528.0,332.0,58.0,2245.0,390.0,64.0,2200.0,449.0,59.0,2982.0,468.0,131.0,2901.0,453.0,77.0,2508.0,442.0,90.0
DOM-VIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,3.0,395.0,57.0,52.0,720.0,218.0,165.0,486.0,389.0,166.0,847.0,102.0,112.0,757.0,125.0,103.0,805.0,119.0,109.0,487.0,442.0,61.0,500.0,347.0,164.0,518.0,425.0,123.0,659.0,113.0,72.0,1076.0,151.0,84.0
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,25.0,35.0,221.0,29.0,39.0,162.0,25.0,44.0,180.0,24.0,51.0,169.0,22.0,48.0,157.0,37.0,30.0
DOM-ZOF,108.0,8.0,2.0,323.0,22.0,1.0,285.0,20.0,1.0,280.0,16.0,4.0,258.0,19.0,2.0,122.0,4.0,5.0,107.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
