id,year,shapeName,year,inv,ob_f_,tec_f_,adm_f_,ob_m_,tec_m_,adm_m_,ent,ele,com,inf,wat,tss,buiilt,ocu,sal_op,sal_tec,pop,temp,agr,urb,ntl,egdp,medical_checks_,emergencies_,deaths_,births_,suicides_,homicides_,car_theft_,drop_m,scho_count,class,stu
28.0,2000,Santo DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto DomingoSanto Domingo,38054.0,249029657.62,15641.0,1922.0,899.0,8074.0,1520.0,760.0,82.0,95695387.06,0.0,11738982.69,3035709.81,59313927.59,3631338.0,3501743.0,254.10052631578947,635.6831578947368,1266873.872,303.2317906,0.0,0.0,2.558781465035988,13675.501040378154,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
29.0,2000,Monte Plata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197451.12,301.3273203,0.0,0.0,0.0131033859483841,864.112444178059,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
30.0,2000,San CristÃ³balSan CristÃ³balSan CristÃ³balSan CristÃ³balSan CristÃ³balSan CristÃ³bal,11976.0,211035798.14,10835.0,437.0,509.0,4624.0,652.0,541.0,44.0,81060795.74,0.0,7015759.16,2979474.0,40037030.73,2171454.26,1993120.93,508.9,1114.32,483334.2303,300.4863647,0.0,0.0,0.5178644284872541,3584.2978726736037,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
31.0,2000,San Pedro de MacorÃ­sSan Pedro de MacorÃ­s,3961.0,97722280.75,10615.0,727.0,390.0,7411.0,1155.0,405.0,63.0,50360948.63,0.0,6340525.83,1041112.85,53658478.84,2896032.0,2863242.0,686.9449999999999,1576.11,241982.7996,304.5672111,0.0,0.0,0.2855848014781038,2610.5842419663486,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,2001,SantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiagoSantiago,54172.0,345294347.77,22353.0,1963.0,932.0,22580.0,3468.0,1216.0,139.0,142073180.75,0.0,18171183.049999997,15858439.21,93024729.72,6390368.3100000005,6040309.3100000005,295.77814814814815,582.2244444444444,825427.3099,300.5064784,214.81009345802607,6180.80623626709,0.6583556744052561,8760.549064200708,0.0,0.0,0.0,"22,442",0.0,0.0,0,0.0,0.0,0.0,0.0
1.0,2001,DuarteDuarte,4003.0,5737738.0,395.0,22.0,20.0,357.0,35.0,13.0,6.0,1262821.0,0.0,169572.0,144790.0,2471334.0,180935.0,180935.0,382.46,2130.0,346439.4799,300.9302434,121.14555476459802,951.9024529457092,0.1722644831887067,1741.5409018312018,0.0,0.0,0.0,"5,971",0.0,0.0,0,0.0,0.0,0.0,0.0
2.0,2001,ElÃ­as PiÃ±a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81433.0199,302.0494164,12.857415795326231,11.79581868648529,0.0041593142938459,306.9185758689747,0.0,0.0,0.0,"1,310",0.0,0.0,0,0.0,0.0,0.0,0.0
3.0,2001,Hato Mayor,1990.0,2081975.0,454.0,1.0,3.0,228.0,12.0,6.0,2.0,191325.4,0.0,66213.43,53991.0,1464406.36,68033.0,54436.0,700.0,3250.0,81673.09,300.3436044,27.331300994929144,83.90387577169082,0.0257818979922898,796.7527713012462,0.0,0.0,0.0,"1,387",0.0,0.0,0,0.0,0.0,0.0,0.0
4.0,2001,La Vega,1987.0,35333650.95,4217.0,248.0,195.0,4970.0,451.0,243.0,28.0,18458617.35,0.0,10642320.08,813431.79,87093851.53,1116683.0,1116683.0,720.88,1740.93,380943.3199,299.0813082,48.89566287854139,633.345099568367,0.126538186931719,3305.732057321335,0.0,0.0,0.0,"7,334",0.0,0.0,0,0.0,0.0,0.0,0.0
5.0,2001,SÃ¡nchez RamÃ­rez,1990.0,647057.0,176.0,6.0,6.0,154.0,22.0,5.0,3.0,251000.0,0.0,25668.49,14353.0,561580.54,56564.14,43940.0,601.33,1565.33,189186.4401,301.3529851,10.809240460395811,161.00086271762848,0.0366877571928294,869.121042419473,0.0,0.0,0.0,"3,216",0.0,0.0,0,0.0,0.0,0.0,0.0
6.0,2001,SamanÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84195.35029,298.9503904,9.006796244546479,23.631321741085426,0.0136122158318325,306.67101512142244,0.0,0.0,0.0,"1,818",0.0,0.0,0,0.0,0.0,0.0,0.0
7.0,2001,ValverdeValverde,3981.0,18942631.0,2508.0,73.0,173.0,3995.0,143.0,310.0,10.0,23656495.09,0.0,1777138.77,268157.0,14639855.7,717713.0,717713.0,799.5,2185.5,190502.0499,304.3998083,5.195448011510512,136.60291516780853,0.0424697684678291,961.030032254025,0.0,0.0,0.0,"3,165",0.0,0.0,0,0.0,0.0,0.0,0.0
