id,shapeName,pop_density_2000,pop_density_2001,pop_density_2002,pop_density_2003,pop_density_2004,pop_density_2005,pop_density_2006,pop_density_2007,pop_density_2008,pop_density_2009,pop_density_2010,pop_density_2011,pop_density_2012,pop_density_2013,pop_density_2014,pop_density_2015,pop_density_2016,pop_density_2017,pop_density_2018,pop_density_2019,pop_density_2020,pop_density_2021,pop_density_2022
16,San Juan,66.27266844,66.2757502,66.25193661,66.27406924,66.256139,66.24437229,66.06703106,65.88492712,65.72355501,65.52548195,65.31368105,65.01390994,64.70993643,64.42417332,64.10675213,63.77560311,63.45173825,63.12507179,62.81325381,62.47313967,62.12153897,61.70914358,61.29282595
17,Santiago Rodríguez,52.64413125,52.64773116,52.63153158,52.65223104,52.64143132,52.63153158,52.49293518,52.35343881,52.22474216,52.07084616,51.90435049,51.87195133,51.84135212,51.81435283,51.77115395,51.71265547,51.68385622,51.64965711,51.63345753,51.5884587,51.53806001,51.48676134,51.42736289
18,Distrito Nacional,8575.181923,8657.027959,8740.185753,8824.435082,8903.590578,8978.8108,9038.960169,9098.400996,9160.771735,9218.192264,9273.573344,9350.325546,9426.369207,9505.266182,9579.318269,9651.445806,9719.934891,9787.782459,9858.358866,9924.301034,9988.376101,10049.47338,10109.91
19,El Seibo,49.0189165,49.11461831,49.19073203,49.300985,49.381576,49.46664428,49.42690844,49.38269532,49.35359302,49.300985,49.23606447,49.54443698,49.85057085,50.1695769,50.46395791,50.7477054,51.07230804,51.39131408,51.72263264,52.03324379,52.33266174,52.63543765,52.93653459
20,Espaillat,263.2658415,265.0807279,266.7918724,268.6830746,270.413298,272.1661778,273.2775274,274.3626434,275.5455391,276.5698409,277.5357134,278.455081,279.3601393,280.3450907,281.1821802,281.9715723,282.8086618,283.6266724,284.5245761,285.2925044,285.9996184,286.6948081,287.3780735
21,Hermanas Mirabal,214.5970983,214.4540563,214.2406285,214.1611607,213.9477329,213.7774448,213.0622346,212.3379425,211.65679,210.8893581,210.0606226,210.0288355,209.9879663,210.0106714,209.910769,209.78135,209.6882592,209.5928978,209.5429467,209.4067162,209.222805,208.9889426,208.7482687
22,Independencia,24.85446861,25.03389087,25.20832918,25.39273539,25.56667531,25.7426088,25.85823648,25.97087379,26.09397739,26.20163075,26.30180818,26.59087737,26.87845139,27.17300293,27.45310101,27.72971033,28.0113036,28.2904049,28.57748051,28.84860748,29.11823927,29.38089352,29.64055741
23,Baoruco,69.98900353,70.70182417,71.39046817,72.12200619,72.81454965,73.51021268,74.04677788,74.58334308,75.13784578,75.65647349,76.1563838,76.41452781,76.66721259,76.94173432,77.17960116,77.39953051,77.68263104,77.96105223,78.26053048,78.52491363,78.77291906,79.00766633,79.23461469
24,Azua,80.93073225,81.45250161,81.94227754,82.48458588,82.98028652,83.48270183,83.78604692,84.08109741,84.40379655,84.68186289,84.94057517,85.28223338,85.61401707,85.97542431,86.2910138,86.58922414,86.83885187,87.08136995,87.34995675,87.57746557,87.78680528,87.92662841,88.05973686
25,Dajabón,59.6230149,60.03644451,60.42440214,60.85252711,61.24734259,61.64607683,61.89785742,62.14865831,62.41709365,62.6512398,62.87264997,63.09308044,63.31351092,63.55059614,63.74947342,63.94541162,64.18837499,64.42448052,64.67626111,64.90354942,65.11712206,65.32089779,65.52467352
26,La Altagracia,59.31157278,62.25642286,65.30890198,68.27401556,71.20059528,73.99695715,77.42215165,80.84169894,84.2881535,87.68909824,91.06977949,93.79040241,96.50371719,99.24593235,101.939648,104.6114392,107.1815808,109.7440821,112.3371446,114.8780536,117.3973704,119.8781533,122.3529568
27,María Trinidad Sánchez,104.7078343,105.507545,106.2679384,107.0983164,107.8705051,108.6450527,109.1703297,109.6877433,110.2405423,110.7327929,111.1998805,111.2085302,111.2053849,111.239984,111.2140346,111.1668541,111.134614,111.0976559,111.0905788,111.0316031,110.9506098,110.8381628,110.719425
28,Santo Domingo,1369.21972,1414.367357,1460.172525,1505.748018,1550.460886,1593.980827,1641.473607,1688.86115,1736.793308,1783.78449,1830.379309,1871.754593,1912.989307,1954.808579,1995.674584,2036.080471,2075.545382,2114.867418,2154.817796,2193.735021,2232.227463,2270.124593,2307.894211
29,Monte Plata,67.22856687,67.69282789,68.13277409,68.61527122,69.05901662,69.50884072,69.7964394,70.07567987,70.37923515,70.64365877,70.89364547,71.06005,71.22037582,71.40273694,71.54938567,71.67969789,71.86775779,72.05125867,72.25261574,72.42319937,72.57706657,72.73435304,72.8855608
30,San Cristóbal,412.9036081,417.3593939,421.6745538,426.2448944,430.5726949,434.9052355,438.3537294,441.7682517,445.3218199,448.632848,451.8522322,457.1580935,462.4276132,467.8377588,473.0132647,478.0908064,483.2449813,488.3707151,493.6283843,498.657734,503.5899097,508.4612528,513.3033648
31,San Pedro de Macorís,235.7024517,235.6984691,235.6036831,235.6666083,235.5893457,235.5383684,234.8979657,234.2376499,233.6514106,232.9401176,232.1786437,233.3455467,234.4941296,235.7112134,236.8167843,237.8673952,238.9028723,239.9240119,241.0088732,241.9838147,242.9117614,243.736957,244.5533908
