asdf_id,surface_pm25_annual_v5gl03.2015.mean,surface_pm25_annual_v5gl03.2016.mean,surface_pm25_annual_v5gl03.2019.mean,surface_pm25_annual_v5gl03.2018.mean,surface_pm25_annual_v5gl03.2014.mean,surface_pm25_annual_v5gl03.2008.mean,surface_pm25_annual_v5gl03.2002.mean,surface_pm25_annual_v5gl03.2009.mean,surface_pm25_annual_v5gl03.2007.mean,surface_pm25_annual_v5gl03.2000.mean,surface_pm25_annual_v5gl03.2006.mean,surface_pm25_annual_v5gl03.2013.mean,surface_pm25_annual_v5gl03.1998.mean,surface_pm25_annual_v5gl03.2012.mean,surface_pm25_annual_v5gl03.2004.mean,surface_pm25_annual_v5gl03.2005.mean,surface_pm25_annual_v5gl03.2011.mean,surface_pm25_annual_v5gl03.1999.mean,surface_pm25_annual_v5gl03.2010.mean,surface_pm25_annual_v5gl03.2003.mean,surface_pm25_annual_v5gl03.2017.mean,surface_pm25_annual_v5gl03.2021.mean,surface_pm25_annual_v5gl03.2001.mean,surface_pm25_annual_v5gl03.2020.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
55,14.32641436900448,13.514608934381933,12.80486110965996,13.44103501082348,13.285036293499822,12.225295424375638,13.694735177340249,11.486928450600313,12.756479660266113,13.120738719737824,13.174934727377215,13.261069347970983,10.652741885335693,12.455763053018789,11.740579095556356,12.75009990274881,12.725467108399926,10.818045665705146,13.573289718876858,13.932182475735432,14.381037918286019,14.40585573049903,12.739332039523331,13.557522507779158,ADM2,55,55,DOM,DOM-ADM2-62336421B53971586,Las Salinas,ADM2
56,14.064908098818174,14.274228251487731,14.010839428505694,14.653374224199299,13.647363899461135,12.281598827922638,13.925444785899284,11.99692122440015,13.61088392729891,11.585638365551285,13.360671758155766,13.132517097465161,11.593722648498062,12.65412993670888,11.843889878734792,12.966152936007468,12.302776300017982,12.044593904954676,13.757535940356357,13.972327048092474,15.253534827879196,14.23643757287046,12.708021090250002,13.245685031442155,ADM2,56,56,DOM,DOM-ADM2-62336421B48097933,Bajos de Haina,ADM2
57,10.470657101353208,10.63795048205574,10.76652262824381,11.122364548984388,10.087731863933875,9.130627517761159,11.926456360360765,8.934807229877624,11.660268201946785,12.417928034377658,10.948232975418374,9.445024381025297,10.075482846361375,9.185553460958106,9.445675083607908,11.33901989247783,8.772731997010066,9.457766216984876,10.798754598717048,12.199676454956801,11.375496223052384,10.699829100577857,12.814157462971798,9.697908705253663,ADM2,57,57,DOM,DOM-ADM2-62336421B43959533,Castillo,ADM2
58,11.420756150274983,11.801309400516654,11.440754990086052,11.97202579208633,11.056881539055869,9.977293497471193,12.590942309885804,9.727550510354467,12.268015514158085,11.587515953396371,11.460083303429878,10.294600452178056,9.355114779932247,9.881918320475227,9.83182309063861,11.866609337920433,9.430257206708944,8.966588104499264,11.475574001150042,12.574046800029302,12.431708682047699,11.691868257486005,13.39792200486767,10.733255801747678,ADM2,58,58,DOM,DOM-ADM2-62336421B92876991,Cevicos,ADM2
59,15.805451765955903,15.018567844303885,14.31872400500225,15.07858784205524,14.893384795610192,13.738019518273031,15.511682917719831,13.214168975257696,14.250196358135707,14.396222953387152,14.464723614373511,14.840510499424274,10.645910603492425,14.131981433435437,13.393888156181784,14.290808082456701,14.74943369223434,10.797228146148685,15.41028284533702,15.38590097639169,16.213790328323373,16.2695522285911,14.348465622556718,15.512219120895672,ADM2,59,59,DOM,DOM-ADM2-62336421B74273481,Cristóbal,ADM2
60,13.739535160145406,13.192658452431457,11.808107983060351,13.0426650717444,13.1932987913779,12.318710652009779,12.282282332599804,11.780768508280326,12.682722574734465,10.447899984102433,12.605827815253564,13.3036832859764,8.99300818393077,13.266137380041938,11.260985908592259,13.541917024526427,13.384637794603726,8.622288290888061,14.496314627878784,13.599022344505574,13.63013980893417,13.198465582719413,11.39479979494528,13.646203118409629,ADM2,60,60,DOM,DOM-ADM2-62336421B49862125,Hondo Valle,ADM2
61,9.417615411519895,9.244281240480845,9.163270174899907,9.619165223128196,9.19309417828335,8.233829975985055,10.277835512244028,8.111203869553412,10.512083438651581,10.844938513503877,9.68836673019989,8.391749727887278,11.735193436248402,8.781317446316148,8.5151280977048,11.111731602304115,8.32791849477923,11.27656053176698,9.931207700648901,11.149315721870101,9.712003148480894,8.900103728776573,10.727765115962544,7.844631202360746,ADM2,61,61,DOM,DOM-ADM2-62336421B73173831,Imbert,ADM2
62,15.293978174528718,14.563813896284179,14.257894957877182,14.721650169393829,14.437491166634556,12.764493215866391,13.427596197177001,12.042111585826094,13.116501899542763,12.097339189535917,13.81296817986439,14.111530979898147,11.175404152823814,13.44124736111279,12.04151469496783,13.151072307038444,13.373789501603092,12.070736624349047,13.881761675165649,13.811275037516536,15.444322298934212,15.61772351509392,12.495279318732486,14.238183140852625,ADM2,62,62,DOM,DOM-ADM2-62336421B38325088,La Ciénaga,ADM2
63,15.054065302516761,14.319748504314449,13.294671386226849,14.26488541423187,13.93900959575505,12.833236143920296,14.273741051183087,12.427688604079535,13.313320944391261,12.275305241956124,13.581110529392696,14.122794040627136,9.528998094059462,13.801557231054668,12.549001651388885,14.27060372702802,13.939773872229122,9.176253877719171,14.705252287704191,14.890737577341921,14.956124512385871,14.97666241883622,13.371793202077622,15.154625706746634,ADM2,63,63,DOM,DOM-ADM2-62336421B14853515,Los Ríos,ADM2
64,15.743018160812607,16.808567664265347,14.738910126360917,16.228087287545435,15.955786801550298,14.425191567603482,14.191709688556598,13.67053091119414,14.750329166108227,11.454637098150027,14.205907032314585,15.280243159432924,10.514821087368032,14.790849554515173,13.572108117787034,16.33690245639325,15.789379475834746,10.526090846799962,16.042240236726645,15.953682034187949,17.506726781478395,16.451758748867324,14.179126837777893,16.628434293548203,ADM2,64,64,DOM,DOM-ADM2-62336421B78011927,Padre Las Casas,ADM2
65,14.602493314969987,13.9369622029319,13.303849750038639,13.830194103572444,13.716718041570982,12.196913561294272,12.824312462798517,11.447722254492133,12.481836532365202,11.916558232957488,13.14474114426073,13.364718396151016,11.015238150319925,12.675885504510937,11.406155541942619,12.387932693285693,12.733322456965938,11.80818197395901,13.340908474619741,13.258122741728272,14.65395156365071,14.606793760710675,11.998716753598858,13.269216250431864,ADM2,65,65,DOM,DOM-ADM2-62336421B74605063,Paraíso,ADM2
66,14.76161332059789,14.968254749834578,14.289419033276756,14.982596962972426,14.261821921443133,12.578765300177492,15.617027759794258,12.413096190665948,14.26986004484856,12.617383828496987,13.768719279415983,13.609956939609889,11.287313843701593,12.861043826458808,12.717952943607772,13.926026333801712,12.706118103409324,11.400663753615138,14.082113997193344,15.253925699259995,15.714798676045694,15.073329543781798,15.04976551550461,13.97051204965048,ADM2,66,66,DOM,DOM-ADM2-62336421B97197265,Pedro Brand,ADM2
67,15.19809776736281,15.730877776668295,14.118556010824278,15.512341172761493,15.286396145244163,14.02102897246666,13.582814894115492,13.496962969848166,14.26094970069112,11.369919890377371,13.656059526733227,14.595794242313929,10.030052419556442,14.259100007896105,12.781413972101488,14.625716606577207,15.188347124932784,9.95626974802175,15.4321678407901,14.798431277305895,16.237697019329328,15.772316019465432,13.311816823856203,15.465763138536206,ADM2,67,67,DOM,DOM-ADM2-62336421B39354676,Peralta,ADM2
68,15.201625441958951,14.409291060626408,13.291388517746677,14.256282089561104,14.218339478232977,13.097878219051914,13.553994167773336,12.566846417102381,13.448595094909745,11.551028736672666,13.460870013264246,14.487180379261572,9.360621562727518,14.243306430670188,12.166291775332125,14.050337838514052,14.246558454686173,8.999774611471736,15.146251409830018,14.505709319362625,15.11158608016567,14.926713839674566,12.598190321608966,15.314566974692744,ADM2,68,68,DOM,DOM-ADM2-62336421B95502648,Postrer Río,ADM2
69,13.97527011303869,13.913780048887066,13.059238377089097,14.212975301771843,13.601279637436688,12.540100456943986,13.903561881246048,11.924704259136396,12.918386923688564,12.85183240918088,12.896728231418356,13.104739021532149,12.402241574592718,12.973126198274294,12.116426030575335,13.118071764410939,13.102232095630297,12.724432666750173,13.876688125987595,14.392963028156325,14.755689532604471,14.714442572759296,13.085793016011472,13.613069509472446,ADM2,69,69,DOM,DOM-ADM2-62336421B60282341,Pueblo Viejo,ADM2
70,12.783699025588644,12.977836958455129,12.600092792294562,13.397540375547193,12.57592286301762,11.126942755382567,12.584233567888923,10.762405056250829,12.116818737901346,11.609909289259303,12.315967637920561,12.064418513062728,11.86325728476821,11.823536708346749,10.802230908205651,11.881358417655456,11.15974171750294,12.513313402820462,12.42321272918304,12.630451174945218,13.603605722989627,13.353767255955084,11.627579197485554,12.082094576238259,ADM2,70,70,DOM,DOM-ADM2-62336421B13638224,Sabana Grande de Palenque,ADM2
71,15.089895934898454,15.747262329261268,13.849711558727035,15.345130130664048,15.098047338710499,13.720506083818497,14.032036488889128,13.076888161433562,14.1005733541811,11.61953241341222,13.892121438366727,14.576914397028752,10.34105383758736,14.36283451726308,13.133616634026888,16.707355919453697,15.056127617956811,10.221954770265517,15.53712716887669,15.726931504129437,16.502146230232768,15.680790397369037,13.600581090773005,16.24156451529124,ADM2,71,71,DOM,DOM-ADM2-62336421B57896719,San Juan,ADM2
72,10.623788821093498,10.51924032839666,10.644215054698961,11.066772315281879,10.336051144265593,9.53850949377289,12.129864657822274,9.401605879352903,11.242277700264536,10.847986812185923,11.136036081626573,9.95138776071998,10.263786106690901,9.96881052289816,9.818039106397864,10.913593433674942,9.54912351177482,11.249788067069794,11.102267679873414,11.876152041573997,11.246853911729914,10.722119016532519,11.739234466763694,9.974262544466411,ADM2,72,72,DOM,DOM-ADM2-62336421B73103501,San Pedro De Macorís,ADM2
73,7.842815670235547,7.789046482323382,8.27487176319566,8.6468273087728,7.577166952909776,6.789783644993921,8.821505707570717,6.987737443605965,8.354041196664104,8.723924248429386,8.189232835093184,7.2093933940418315,8.31416412263891,7.576210659866355,7.1270155302189835,8.259910723971075,6.840394413102789,9.659135449125873,8.624651794611282,8.913121459804765,8.577053383016077,8.25076571112165,8.85352061881284,7.482128156798925,ADM2,73,73,DOM,DOM-ADM2-62336421B26395262,San Rafael Del Yuma,ADM2
