code,wat00,wat01,wat02,wat03,wat04,wat05,wat06,wat07,wat08,wat09,wat10,wat11,wat12,wat13,wat14,wat15,wat16,wat17,wat18,wat19
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338277.16,343.04,262207.07,0.0,256795.22
DOM-COT,5800.0,14353.0,34844.0,52604.0,36132.0,35859.0,43800.0,55920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,2697286.0,3032356.37,3489666.31,3566382.49,4237565.02,5527065.05,5755459.54,6883000.37,3792657.25,4828679.5,8116708.35,11165165.4,11169012.73,5777537.31,6099045.76,8981283.89,9791.8,13727797.41,0.0,13308600.36
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210924.0,156.82,192134.0,0.0,183770.4
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944179.0,600257.0,673403.0,487800.0,505504.23,810266.35,1648006.5,3098246.58,2619207.74,2335.96,2353392.59,0.0,2518346.29
DOM-DPE,0.0,0.0,0.0,0.0,15000.0,24490.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-ELV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,415.71
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203568.0,297605.0,100.21,459488.32,0.0,425004.52
DOM-ESP,235384.0,259157.0,600361.59,1646453.79,1502703.85,1204814.09,43152.0,1555832.35,1321031.1,1527619.28,1296558.94,1346949.2,1070635.68,259071.2,316144.6,1690076.12,2006.3,1714384.37,0.0,2434146.67
DOM-EXC,4680.0,19925.0,10800.0,11183.0,9504.0,22500.0,1473944.15,68000.0,48260.0,51749.0,86549.83,14000.0,9000.0,23000.0,39600.0,96000.0,432.6,660000.0,0.0,840000.0
DOM-FLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245301.63
DOM-FRA,155744.0,144790.0,183425.0,183970.0,199660.0,189315.4,406065.77,131864.66,26718.0,26718.0,26718.0,26718.0,29936.0,26718.0,27803.33,96540.0,96.0,96000.0,0.0,99690.0
DOM-GLO,0.0,0.0,0.0,35000.0,480000.0,619500.0,16500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-GUR,673920.0,395066.0,347268.5,303199.19,391412.56,1393096.82,948000.0,954563.18,325826.52,674806.25,311000.0,95000.0,64000.0,825478.44,1455259.92,1397507.76,1029.33,1530044.05,0.0,2014551.69
DOM-HAI,1045561.0,216586.0,195260.0,283300.0,229300.0,638501.88,816580.7,313017.28,169362.75,384904.0,393809.82,404017.04,652060.69,359600.0,865000.0,960588.95,1454.6,1673646.0,0.0,991581.08
DOM-HAN,0.0,0.0,0.0,0.0,0.0,0.0,20824.8,23301.6,0.0,0.0,0.0,0.0,12604.8,27114.64,1181744.0,155120.0,2.0,2000.0,0.0,3154.0
DOM-HAT,0.0,53991.0,84186.0,41257.5,37290.0,372130.0,382275.84,167537.0,26746.2,0.0,0.0,30000.0,44076.0,45932.4,45932.4,45932.4,34.2,43200.0,0.0,29585.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5512.74,0.0,0.0,574.88,2918.72,0.0,15522.6
DOM-HIG,80780.0,106610.0,58960.0,75000.0,77000.0,147000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,70.0,88150.0,0.0,123000.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64912.0,64912.0,12444.0,0.0,55000.0,0.0,55000.0,50000.0,24.21,0.0,0.0,89254.0
DOM-HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DOM-IHA,32400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.17,1968103.04,0.0,1949885.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22350.0,2.24,0.0,0.0,57600.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134412.0,134563.2,130000.0,144000.0,131632.4,14856.23,16.39,192000.0,0.0,202815.0
DOM-ISI,757785.81,1092184.99,1209174.76,1651186.39,2365592.24,2224881.78,2222645.17,2717371.32,5353475.48,2437470.02,2484410.69,2376390.64,3962188.82,3436959.51,3881109.81,2787900.23,2739.7,3980714.37,0.0,3652351.87
DOM-JAI,0.0,18000.0,0.0,0.0,2700.0,3125.0,20892.0,12000.0,0.0,0.0,0.0,16000.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-JAN,0.0,552421.93,580000.0,513944.02,956347.0,2322318.6,2393837.98,1471836.0,251632.16,161609.4,615072.58,783814.74,1146753.41,1063050.05,1144444.56,1161581.0,1222.73,1102800.0,0.0,1867890.05
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,50.53,53860.56,0.0,0.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,62947.26,22836.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71029.07,73420.06,6.0,6000.0,0.0,0.0
DOM-LAG,15500.0,18500.0,24000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-LAS,659109.0,1056567.94,1136512.06,2031771.94,3096066.94,4128403.43,4335997.8,5390349.74,4833209.31,3545105.17,3022288.53,3809589.07,3990137.71,3851365.74,3707055.18,4337957.99,3484.4,3076007.04,0.0,4834443.49
DOM-LEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123142.46
DOM-LIM,0.0,0.0,0.0,0.0,0.0,31314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470751.84,569976.4,57.24,99406.76,0.0,267756.61
DOM-LUN,0.0,0.0,12780.0,19000.0,12420.0,13657.8,18723.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MAC,696067.85,941548.7,832889.6,1274951.86,1792134.44,1766853.12,1951867.2,2290715.0,1421141.21,1938210.99,1615155.36,2729766.76,2244070.84,2410798.68,2317914.65,2166360.47,2873.28,3288044.48,0.0,3379269.45
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0,28.96,40106.33,0.0,131052.65
DOM-MEL,104220.0,99000.0,3000.0,37800.0,135455.0,513814.21,317617.0,39862.0,53080.0,45917.88,34409.88,73454.88,103937.4,146519.42,162905.42,299398.0,198.99,144064.17,0.0,162441.0
DOM-MIN,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,9500.0,11000.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,4928.0,28169.0,28440.0,384307.0,820971.78,261170.02,676019.1,620213.0,276314.0,344422.0,488552.0,450474.0,494624.01,715872.19,1221553.99,713009.0,1374.31,677115.59,0.0,667084.2
DOM-MOI,0.0,0.0,0.0,30326.0,48000.0,99423.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,0.0,0.0,3521.56,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48886.73,0.0,82045.1
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53568.0,49392.0,41178.0,24729.0,88046.0,127578.0,106557.0,106462.0,149646.0,160.58,65626.86,0.0,2288391.85
DOM-NAV,200956.34,216175.25,0.0,96000.0,0.0,64961.28,64941.6,59141.6,57922.5,73084.56,69292.8,115765.0,54135.0,67866.0,75088.3,138421.0,197.03,221528.0,0.0,1036286.66
DOM-NIG,123438.0,261827.5,150629.5,306456.64,456582.8,397423.0,534588.0,790876.5,453807.6,409775.5,412444.5,418829.5,434776.54,410076.0,736707.4,815303.16,1225.92,898967.06,0.0,1541203.0
DOM-NII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,298950.21
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,36969.0,0.0,21780.0
DOM-PAB,138798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1565.0,0.0,0.0
DOM-PAL,0.0,0.0,0.0,0.0,1600.0,21600.0,21600.0,4800.0,28320.0,24307.0,69600.0,27776.61,27000.0,172000.0,0.0,0.0,138.0,138290.0,0.0,176170.0
DOM-PAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555796.56,3200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128266.62
DOM-PED,0.0,0.0,0.0,0.0,23192.0,18654.0,143000.0,249547.0,249547.0,1982.0,126140.0,292755.0,176254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315186.76,344911.24,399991.67,491767.54,641062.57,2215.29,1812773.76,0.0,2737282.97
DOM-PEV,0.0,0.0,0.0,0.0,24256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,706118.36,1636405.67,1945149.15,1931589.45,3813733.08,4095008.15,3772148.12,4813419.12,2956223.34,3216327.58,46026.0,5198000.97,5444976.04,5585034.96,8105770.28,9331990.98,9089.68,10652481.68,0.0,9544499.15
DOM-PON,30000.0,65800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PUE,145265.0,129193.0,1234113.0,648764.22,756115.0,805447.47,453290.4,401389.02,214065.0,180449.0,6263721.21,118063.12,82041.0,118915.0,120081.5,231799.5,450.31,615689.0,0.0,673916.39
DOM-QUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654603.78,0.0,114368.0,0.0,0.0,64800.0,5225.4,20901.6,0.0,25000.0,0.0,267622.0
DOM-RAF,0.0,0.0,0.0,11715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28526.0,46700.0,0.0,65.8,71985.0,0.0,820000.0
DOM-RII,243825.0,412804.0,589821.0,757346.5,455013.0,92423.0,393916.0,601015.8,425722.0,565579.0,1032350.0,512386.0,567804.0,836635.0,1093525.0,1453006.0,1578.83,1784852.0,0.0,1741199.68
DOM-RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194674.76,188823.98,203803.2,0.0,0.0,0.0,0.0
DOM-ROM,1510160.0,1597092.15,1616332.75,2260398.7,1184616.42,584209.64,992612.24,788032.45,730458.8,1383983.0,863915.65,1117443.0,971957.19,1070666.0,848204.35,946506.25,1521.43,1600186.33,0.0,2517462.0
DOM-S12,13636879.0,12194254.78,17540323.43,34218860.57,23892849.44,32493454.17,35329977.0,17583117.16,13718573.17,16174542.36,15411805.21,17049702.13,18209285.45,21814489.68,26372764.74,32558019.14,32161.21,29919563.44,0.0,42208374.64
DOM-SAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67184.0,109114.0,178068.0,178492.17,178.49,180197.24,0.0,146828.0
DOM-SAL,0.0,0.0,0.0,0.0,22164.0,14150.0,3000.0,2000.0,125238.0,68099.0,0.0,125000.0,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-SEI,0.0,60000.0,36000.0,36000.0,38450.0,58471.4,0.0,20245.0,56493.0,22356.0,22344.0,32002.0,34344.0,21724.0,39802.0,22344.0,32.84,40844.0,0.0,21600.0
DOM-SLI,112392.83,93684.86,114952.3,59152.5,167367.5,188442.23,117567.74,110292.36,143693.7,145396.5,122343.0,190269.0,169468.0,204585.0,199839.0,274253.0,314.55,353303.0,0.0,508044.58
DOM-SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,77040.0,0.0,0.0
DOM-SUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33150.0
DOM-TAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
DOM-TAM,0.0,6000.0,29500.0,525165.16,292089.01,230730.0,281895.0,125577.0,221300.0,187893.2,150799.2,362295.2,288050.0,1592860.73,1519316.27,2060706.32,4596.8,4470367.79,0.0,4557060.67
DOM-VEG,1031627.0,813431.79,528176.65,1383746.7,1579188.62,633163.5,1276016.28,882786.0,770575.63,413403.0,740548.49,1073158.17,895640.7,1050411.41,1886356.32,1793569.0,2539.47,1886256.88,0.0,1441708.4
DOM-VER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1225.0
DOM-VIS,0.0,0.0,0.0,0.0,90000.0,49071.0,8000000.0,7642081.0,12451533.0,12696529.0,9700000.0,17191000.0,16354196.0,19591000.0,19924000.0,21329496.0,16800.0,18119240.0,0.0,20475243.27
DOM-YAQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298237.0,3714850.0,3156085.3,3742830.0,3807223.2,5308903.2,4489.82,3431458.91,0.0,4300010.4
DOM-ZFE,0.0,0.0,0.0,0.0,7121176.42,25478099.87,30228872.37,30175966.65,30935183.93,15121043.69,10943696.08,10802240.43,12388355.11,0.0,33078533.13,31905877.56,27844.11,0.0,0.0,76655.2
DOM-ZOF,7500.0,9000.0,9000.0,36716.4,36672.0,53510.0,55044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
