code,com0,com1,com2,com03,com04,com05,com06,com07,com08,com09,com10,com11,com12,com13,com14,com15,com16,com17,com18,com19
DOM-CIB,0.0,0.0,0.0,70000.0,0.0,580091.0,517666.0,680065.78,1515131.49,25676403.54,1973833.61,5776410.34,39866322.46,28866396.63,5382600.94,4173375.14,8808.83,34239771.71,0.0,31026043.65
DOM-CIP,0.0,0.0,0.0,8733568.27,13649317.18,8538792.75,11853413.16,14166523.46,15574103.65,14522582.9,7501807.64,8915092.61,16689509.16,6310606.25,10001543.65,9700286.51,10326.43,12241920.83,0.0,21298167.98
DOM-CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2773958.28,1309617.26,2115564.1,2420.58,3842628.36,0.0,3986362.95
DOM-COT,0.0,0.0,0.0,118884.87,375912.0,175973.0,203065.0,203065.0,187501.0,143447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-CRI,0.0,0.0,0.0,25779624.82,40445759.79,52509586.56,51836050.67,51177281.17,42540010.22,36200210.67,77546134.08,45403493.51,66791361.28,89778610.56,95277131.05,125589817.5,118943.46,121501795.6,0.0,116218692.2
DOM-CTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388228.23,681.41,325595.68,0.0,373365.06
DOM-DOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3151994.17,2656806.0,2664237.0,3787776.0,5023155.79,2989781.58,1901730.0,2312752.42,3370867.01,2818.88,3634252.26,0.0,3680059.26
DOM-DPE,0.0,0.0,0.0,0.0,60000.0,204167.5,81740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-ELV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4869.86
DOM-EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621684.7,496408.48,495.41,1337073.17,0.0,1459378.79
DOM-ESP,0.0,0.0,0.0,2264735.88,2235950.78,3163163.26,271998.48,2138450.21,2089375.6,1518836.68,1609078.23,2061739.49,2096991.52,597288.45,1150624.84,4242648.8,5126.37,12846726.33,0.0,15227156.75
DOM-EXC,0.0,0.0,0.0,708896.0,1205420.0,1626148.0,1681533.46,3239228.8,2388511.0,1804556.55,1903336.36,900000.0,750000.0,960000.0,1864173.34,3179094.72,2650.0,3377855,0.0,4937000.0
DOM-FLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,976892.62
DOM-FRA,0.0,0.0,0.0,504653.03,802987.27,1069807.25,790240.25,394075.88,101375.12,100809.59,100414.48,119289.24,149412.62,116761.0,147885.77,329018.32,350.56,288412.31,0.0,218756.14
DOM-GLO,0.0,0.0,0.0,266000.0,372000.0,540000.0,2655577.24,0.0,0.0,0.0,0.0,0.0,5000.0,200000.0,210000.0,256384.0,270.3,187316,0.0,270377.0
DOM-GUR,0.0,0.0,0.0,1401856.91,5330115.02,7297096.92,800000.0,7168606.93,8840869.52,11686139.94,16495693.88,41410801.39,36422680.56,2604272.44,5033726.12,6854202.92,6769.59,9034570.68,0.0,37636946.72
DOM-HAI,0.0,0.0,0.0,2386604.58,2510288.69,2521981.89,6526264.71,3298443.24,2732556.05,2182791.27,2326703.73,2043424.84,2602977.64,2891678.3,2464800.0,3046946.65,3975.91,3901142.93,0.0,4341050.6
DOM-HAN,0.0,0.0,0.0,501782.0,951456.0,1320500.0,396921.83,508099.03,545186.8,1009185.24,1441265.05,1176226.24,1735756.37,1530037.86,3068764.0,5631280.68,2728.03,4782223.61,0.0,2904392.31
DOM-HAT,0.0,0.0,0.0,185789.93,168289.0,432544.17,3439481.18,951364.95,287485.56,0.0,0.0,40500.0,92270.16,100173.0,242151.71,242151.71,392.56,300000,0.0,130511.0
DOM-HER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292656.78,18041328.0,0.0,23008.99,852093.45,0.0,442483.83
DOM-HIG,0.0,0.0,0.0,350000.0,406000.0,728328.0,1320500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-HIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000.0,46.5,48525,0.0,59800.0
DOM-HIS,0.0,0.0,0.0,0.0,0.0,216787.0,324599.0,245254.36,143092.91,143092.91,144198.16,168705.0,422057.97,225300.0,2716639.0,514220.67,217.94,276625.96,0.0,435562.46
DOM-HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0
DOM-IHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-INE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,325595.68,0.0,2350000.0
DOM-INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,520311.87,460.24,400167.45,0.0,0.0
DOM-INT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076580.0,600000.0,600000.0,2552689.0,2342975.73,2184808.93,2082.57,2454285.52,0.0,2562063.53
DOM-ISI,0.0,0.0,0.0,25973656.16,40913432.72,52040178.21,42519465.27,66325717.37,86535330.7,74765997.22,71732684.29,108673423.5,39959027.02,39386233.22,31533448.28,57163142.31,43754.95,34938052.24,0.0,55346662.95
DOM-JAI,0.0,0.0,0.0,0.0,256701.6,345814.0,96000.0,47000.0,0.0,0.0,0.0,72000.0,88000.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-JAN,0.0,0.0,0.0,1562350.12,1659158.07,3194773.2,3439315.11,3663069.4,111470.0,237844.93,697056.73,801517.7,1373811.47,1641925.27,1913365.94,1642602.0,1773.81,1539845.33,0.0,2057191.38
DOM-JOB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15300.0,122.23,168619.35,0.0,0.0
DOM-KEP,0.0,0.0,0.0,0.0,0.0,580698.4,262071.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-KGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225504.08,306934.45,283.01,305067,0.0,333300.55
DOM-LAG,0.0,0.0,0.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DOM-LAS,0.0,0.0,0.0,13600259.12,18415056.64,22157331.78,24776671.92,26473088.44,24558280.98,20264154.81,16907982.24,23002757.29,20807743.47,26736742.44,28663996.9,36698243.86,40217.23,53017998.04,0.0,47515035.65
DOM-LEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,194099.53
DOM-LIM,0.0,0.0,0.0,0.0,0.0,478261.38,1722712.0,368812.75,321598.37,333102.0,418396.0,361723.0,407652.0,777916.19,1055349.74,1112253.18,1658.17,1606787.48,0.0,2840547.29
DOM-LUN,0.0,0.0,0.0,144000.0,257639.2,237424.41,325826.0,260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
