code,park_2000,ele00,tss00,inf00,wat00,com00,ele01,tss01,inf01,wat01,com01,ele02,tss02,inf02,wat02,com02,ele03,tss03,inf03,wat03,com03,ele04,tss04,inf04,wat04,com04,ele05,tss05,inf05,wat05,com05,ele06,tss06,inf06,wat06,com06,ele07,tss07,inf07,wat07,com07,ele08,tss08,inf08,wat08,com08,ele09,tss09,inf09,wat09,com09,ele10,tss10,inf10,wat10,com10,ele11,tss11,inf11,wat11,com11,ele12,tss12,inf12,wat12,com12,ele13,tss13,inf13,wat13,com13,ele14,tss14,inf14,wat14,com14,ele15,tss15,inf15,wat15,com15,ele16,tss16,inf16,wat16,com16,ele17,tss17,inf17,wat17,com17,ele18,tss18,inf18,wat18,com18,ele19,tss19,inf19,wat19,com19
DOM-CAD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,1708665.46,40391.27,15992.06,33230.16,0.0,0.0,0.0,0.0,0.0,124281.86,50540958.96,9986.0,0.0,3004.81
DOM-CAN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.1,0.0,0.0,0.0,188000.0,9518.51,0.0,0.0,0.0,0.0,12548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CDF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131384.14,7572279.52,380853.66,549903.74,0.0,1577590.58,10973754.88,617335.66,434475.0,640155.83,1529.18,10248.76,495.2,682.71,617.36,1685129.89,11073333.87,502825.66,526211.66,683225.52,0.0,0.0,0.0,0.0,0.0,2049236.0,18708294.91,826115.0,764052.3,977820.0
DOM-CHE,Chem-Tec,4580529.0,7149064.81,0.0,345045.0,0.0,9328406.08,8646283.47,1005477.13,425735.6,0.0,3176860.29,2100186.63,283727.1,196905.0,0.0,4602130.67,1503421.5,233244.74,177396.8,825149.72,11929849.17,1408059.15,365370.54,246924.0,1394311.58,10402782.44,1170073.15,262804.83,209040.6,1387635.99,13242019.36,2596859.38,717258.02,233961.6,2354743.79,14349462.98,5514547.5,579777.27,244401.23,2545750.57,12808605.5,6623097.87,488682.1,171369.0,1090189.81,13993965.2,5781557.28,366915.01,166670.99,946739.86,13255139.0,10656593.09,405706.8,142915.55,1371393.55,19051156.69,10608410.61,362138.0,217974.5,1171243.72,19316760.03,10548295.96,530063.0,230259.6,1570888.64,13461109.43,9135965.85,492111.0,218541.0,1385090.31,14773378.86,11493555.04,585454.82,205647.2,2435841.72,19753863.39,14392580.28,700228.34,222407.2,2633786.51,16396.4,16817.56,707.33,167.81,1890.4,19429924.73,20076595.84,908695.36,274561.57,2978614.24,0.0,0.0,0.0,0.0,0.0,30384647.93,41255261.47,3315292.36,710374.37,2677432.98
DOM-CIB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,50000.0,0.0,0.0,0.0,22000.0,0.0,3000.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,526342.0,10362.5,10447.0,0.0,580091.0,4831007.0,48100.0,81843.0,10105.0,517666.0,12222517.82,1060673.08,33644.72,0.0,680065.78,19063172.61,4099596.64,1354680.02,79095.8,1515131.49,17546188.22,6451824.03,1927642.62,20395.91,25676403.54,5720230.69,5099155.57,131431.5,14230.0,1973833.61,19172437.66,10485390.01,545719.5,0.0,5776410.34,18956992.95,96374430.87,4805747.0,25000.0,39866322.46,23874464.87,52890291.12,776990.5,24000.0,28866396.63,27786000.0,24121725.52,5631264.31,105000.0,5382600.94,41757937.42,113420336.6,5761777.0,109832.0,4173375.14,30250.05,42716.16,1730.13,67.92,8808.83,58707357.22,90126680.23,1798310.09,698927.77,34239771.71,0.0,0.0,0.0,0.0,0.0,54779341.56,127805618.6,4814063.03,115871.81,31026043.65
DOM-CIP,CaribbeanInd.Park,8864202.0,4009688.0,0.0,457832.0,0.0,23042736.06,5865570.56,5248053.79,764430.72,0.0,11147686.73,7135079.04,2201656.58,704833.4,0.0,36867922.31,8784222.09,3333914.28,1085400.28,8733568.27,87363210.07,7421156.14,4221563.57,3830485.58,13649317.18,65407518.8,5980210.85,3197934.44,8757942.18,8538792.75,70584347.77,5078569.88,3236198.75,13653532.46,11853413.16,106637497.1,43130318.51,7510872.95,9876949.39,14166523.46,90381177.52,191251263.2,5487855.36,11571109.6,15574103.65,80355505.87,54453450.85,3987825.93,11946023.29,14522582.9,45913185.07,73652784.85,48703113.25,5640274.43,7501807.64,86861655.83,121479731.0,4350456.33,13561726.1,8915092.61,180360924.8,85154028.71,5342132.32,13780807.91,16689509.16,112918397.2,59421102.41,6398596.44,18248566.19,6310606.25,128755649.2,181936505.1,7146610.52,25030231.76,10001543.65,146043047.4,161131111.9,8480759.54,22133148.27,9700286.51,127272.03,170362.39,9289.85,21575.69,10326.43,119332989.8,208362073.9,7647444.98,15743215.26,12241920.83,0.0,0.0,0.0,0.0,0.0,89315767.95,213933432.6,8608710.32,9763126.96,21298167.98
DOM-CON,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6321459.58,9351421.58,416580.0,0.0,2773958.28,4556012.57,10325863.9,502808.0,0.0,1309617.26,7560914.81,33159271.05,550347.87,338277.16,2115564.1,7425.37,9261.6,411.16,343.04,2420.58,6292969.56,10470457.57,537039.11,262207.07,3842628.36,0.0,0.0,0.0,0.0,0.0,10160661.23,76051.45,514197.08,256795.22,3986362.95
DOM-COT,Cotu’,129982.91,393397.8,15626.01,5800.0,0.0,251000.0,561580.54,25668.49,14353.0,0.0,347500.0,709817.98,102016.41,34844.0,0.0,566000.0,385548.0,19675.96,52604.0,118884.87,1468666.0,1235538.0,23802.0,36132.0,375912.0,739950.0,636303.0,42693.36,35859.0,175973.0,934400.0,568595.95,55857.0,43800.0,203065.0,1344448.8,1858074.08,59092.16,55920.0,203065.0,1048400.0,2618099.29,91114.84,0.0,187501.0,872600.0,1585289.23,95049.0,0.0,143447.0,0.0,809798.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-CRI,Itabo,68236074.0,24682875.0,5098848.0,2697286.0,0.0,73122148.68,20020772.09,4739782.21,3032356.37,0.0,97960798.42,32466281.31,6135712.96,3489666.31,0.0,191366523.7,25616961.28,7654849.11,3566382.49,25779624.82,276169513.3,19644115.67,10553964.55,4237565.02,40445759.79,325668370.3,24913736.7,12106799.7,5527065.05,52509586.56,302698151.6,24977990.92,13300294.87,5755459.54,51836050.67,348712686.5,125415337.4,64069530.79,6883000.37,51177281.17,287747989.2,311271274.8,14403102.46,3792657.25,42540010.22,232284174.5,283308121.9,14048012.02,4828679.5,36200210.67,244652532.6,328690788.2,14886567.91,8116708.35,77546134.08,276332873.9,384701922.1,16396187.01,11165165.4,45403493.51,365093433.6,456084144.1,25535904.0,11169012.73,66791361.28,492748791.1,478051549.7,24263505.8,5777537.31,89778610.56,584125924.9,539729090.9,26197638.97,6099045.76,95277131.05,625331734.0,580494898.8,27439624.32,8981283.89,125589817.5,651718.62,651908.11,33549.17,9791.8,118943.46,691608513.3,713218540.4,35032561.49,13727797.41,121501795.6,0.0,0.0,0.0,0.0,0.0,825721586.6,898391894.0,45318236.63,13308600.36,116218692.2
DOM-CTQ,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1175619.75,17210207.04,408855.6,210924.0,388228.23,1388.02,6913.24,337.61,156.82,681.41,1649052.87,7358067.22,349145.0,192134.0,325595.68,0.0,0.0,0.0,0.0,0.0,1246035.68,10824963.06,533769.8,183770.4,373365.06
