asdf_id,viirs_ntl_annual_v20_cf_cvg.2018.sum,viirs_ntl_annual_v20_cf_cvg.2020.sum,viirs_ntl_annual_v20_cf_cvg.2017.sum,viirs_ntl_annual_v20_cf_cvg.2013.sum,viirs_ntl_annual_v20_cf_cvg.2019.sum,viirs_ntl_annual_v20_cf_cvg.2016.sum,viirs_ntl_annual_v20_cf_cvg.2012.sum,viirs_ntl_annual_v20_cf_cvg.2015.sum,viirs_ntl_annual_v20_cf_cvg.2014.sum,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
15,4209.20996094,4209.20996094,4209.20996094,4209.20996094,4209.20996094,4209.20996094,4209.20996094,4209.20996094,4209.20996094,ADM1,15,15,DOM,DOM-ADM1-4615305B99755788,DO-31,San José de Ocoa,ADM1
16,16601.390625,16601.390625,16601.390625,16601.390625,16601.390625,16601.390625,16601.390625,16601.390625,16601.390625,ADM1,16,16,DOM,DOM-ADM1-4615305B25601215,DO-22,San Juan,ADM1
17,5680.4296875,5680.4296875,5680.4296875,5680.4296875,5680.4296875,5680.4296875,5680.4296875,5680.4296875,5680.4296875,ADM1,17,17,DOM,DOM-ADM1-4615305B72382162,DO-26,Santiago Rodríguez,ADM1
18,445.91998291,445.91998291,445.91998291,445.91998291,445.91998291,445.91998291,445.91998291,445.91998291,445.91998291,ADM1,18,18,DOM,DOM-ADM1-4615305B44377477,DO-01,Distrito Nacional,ADM1
19,8831.58105469,8831.58105469,8831.58105469,8831.58105469,8831.58105469,8831.58105469,8831.58105469,8831.58105469,8831.58105469,ADM1,19,19,DOM,DOM-ADM1-4615305B34403945,DO-08,El Seibo,ADM1
20,4174.16015625,4174.16015625,4174.16015625,4174.16015625,4174.16015625,4174.16015625,4174.16015625,4174.16015625,4174.16015625,ADM1,20,20,DOM,DOM-ADM1-4615305B8300711,DO-09,Espaillat,ADM1
21,2118.02001953,2118.02001953,2118.02001953,2118.02001953,2118.02001953,2118.02001953,2118.02001953,2118.02001953,2118.02001953,ADM1,21,21,DOM,DOM-ADM1-4615305B61878568,DO-19,Hermanas Mirabal,ADM1
22,8713.50976562,8713.50976562,8713.50976562,8713.50976562,8713.50976562,8713.50976562,8713.50976562,8713.50976562,8713.50976562,ADM1,22,22,DOM,DOM-ADM1-4615305B73620585,DO-10,Independencia,ADM1
23,6328.33007812,6328.33007812,6328.33007812,6328.33007812,6328.33007812,6328.33007812,6328.33007812,6328.33007812,6328.33007812,ADM1,23,23,DOM,DOM-ADM1-4615305B81528587,DO-03,Baoruco,ADM1
24,13201.0107422,13201.0107422,13201.0107422,13201.0107422,13201.0107422,13201.0107422,13201.0107422,13201.0107422,13201.0107422,ADM1,24,24,DOM,DOM-ADM1-4615305B49477683,DO-02,Azua,ADM1
25,5054.72998047,5054.72998047,5054.72998047,5054.72998047,5054.72998047,5054.72998047,5054.72998047,5054.72998047,5054.72998047,ADM1,25,25,DOM,DOM-ADM1-4615305B84168094,DO-05,Dajabón,ADM1
26,14769.7402344,14769.7402344,14769.7402344,14769.7402344,14769.7402344,14769.7402344,14769.7402344,14769.7402344,14769.7402344,ADM1,26,26,DOM,DOM-ADM1-4615305B56848486,DO-11,La Altagracia,ADM1
27,5966.31005859,5966.31005859,5966.31005859,5966.31005859,5966.31005859,5966.31005859,5966.31005859,5966.31005859,5966.31005859,ADM1,27,27,DOM,DOM-ADM1-4615305B17254461,DO-14,María Trinidad Sánchez,ADM1
28,6415.28955078,6415.28955078,6415.28955078,6415.28955078,6415.28955078,6415.28955078,6415.28955078,6415.28955078,6415.28955078,ADM1,28,28,DOM,DOM-ADM1-4615305B93961881,DO-32,Santo Domingo,ADM1
29,12852.8701172,12852.8701172,12852.8701172,12852.8701172,12852.8701172,12852.8701172,12852.8701172,12852.8701172,12852.8701172,ADM1,29,29,DOM,DOM-ADM1-4615305B66260249,DO-29,Monte Plata,ADM1
30,6109.47998047,6109.47998047,6109.47998047,6109.47998047,6109.47998047,6109.47998047,6109.47998047,6109.47998047,6109.47998047,ADM1,30,30,DOM,DOM-ADM1-4615305B97012001,DO-21,San Cristóbal,ADM1
31,6178.66015625,6178.66015625,6178.66015625,6178.66015625,6178.66015625,6178.66015625,6178.66015625,6178.66015625,6178.66015625,ADM1,31,31,DOM,DOM-ADM1-4615305B87914131,DO-23,San Pedro de Macorís,ADM1
