id,shapeName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Monseñor Nouel,0.127446181196268,0.108644704863499,0.1571286273001493,0.1378905482022404,0.1151267975510825,0.0970184180590349,0.1209145111645777,0.0894205675483761,0.0623331362160837,0.1002635333520446,0.0331344837461069,0.2687622256005451,0.3737309878985929,0.4933881996064984,0.4044468003758768,0.4340170461984366,0.5595809714973039,0.7318049242955762,0.7353079025612163,0.834583597938709,0.8843716527507666,1.0733442394736252,1.3505593594166745
11,Monte Cristi,0.0143068291505514,0.0163016360513373,0.0215583964938765,0.0215372929256027,0.0205279287240994,0.0125032018329597,0.0165709787962277,0.0117114213216563,0.0123608227630691,0.0137944961798244,0.0081140796455356,0.0429063807703033,0.054525924293429,0.1373502089960072,0.1353523919281444,0.1474738753031351,0.1663892528697046,0.2850311200857943,0.2854294890223319,0.3146471313449164,0.3204368266182497,0.4479516422802212,0.5027436740001524
12,Pedernales,0.0024082796814684,0.0053634499366978,0.0061164061535583,0.0035448167900696,0.0065133904356772,0.0025537752472315,0.0035749010894889,0.0040700595208353,0.0054579699351864,0.0176952438118438,0.0031936363809857,0.0095090115596872,0.0070735577845494,0.039357380550843,0.0416055844013779,0.0380233864944255,0.0350272535836637,0.0431078356639763,0.0471743939700844,0.0442884023659505,0.048177041995741,0.0582690079000194,0.0659118279917434
13,Peravia,0.184523602108489,0.1621963321891756,0.2299032602986617,0.2041065687649323,0.1027253747794064,0.1022823826985533,0.1134498925606542,0.0892819898893855,0.0896454269323478,0.1195011451429258,0.0648983909972536,0.1682613430181543,0.372728873668967,0.6060984955029376,0.7084728568226041,0.8994988707378708,0.7946602257528858,0.960065346226328,0.991512244658415,0.9857986854251072,1.7986455280382256,2.1284065425843797,2.269162892873532
14,Puerto Plata,0.1538862212601301,0.199912133120228,0.2418633602272141,0.1764307566112891,0.1268213217821435,0.1152787563959062,0.202934202008947,0.1608203676434725,0.1286756660842344,0.106587713441306,0.0839288028578288,0.2360382843383743,0.3082770606374052,0.4899434443565517,0.5259332683376656,0.5976008408535296,0.6611861959910127,0.7108048478173528,0.8042328434954813,0.904752553543062,0.8486468053958659,1.0925711018131954,1.1630060049168809
15,San José de Ocoa,0.0045713062453378,0.0111623783563414,0.0320451001807754,0.0123455945379138,0.0234664700502042,0.0151215092753265,0.0122010344330337,0.0205871587091479,0.0215384550101605,0.0240001712480459,0.0088567798248882,0.053388386598001,0.0409521016231616,0.0543063403253467,0.068549547190514,0.0624670114566407,0.0565788450482716,0.0712463683645967,0.0706909037952815,0.0845201128263964,0.0952935311491895,0.119848765014639,0.1503266450300182
16,San Juan,0.0227521447287005,0.0214271620371835,0.032530124786922,0.0310516576414469,0.0236690309369946,0.0167764050031151,0.0225702328741088,0.0190314432244898,0.0111275890254248,0.0210189292264156,0.0395772535812621,0.0795213525980087,0.0742517828483091,0.2249583854014633,0.2485860057253592,0.2426178782810764,0.2719326653758034,0.2894379422330777,0.287303617660534,0.269891389067309,0.2886286388749422,0.3264569515870617,0.3294098174681943
17,Santiago Rodríguez,0.0066602982506846,0.0061055782627403,0.0138035564434896,0.0206660828654989,0.0157495826036006,0.0131178369705338,0.0122898029281251,0.0137970508138316,0.0104508560995411,0.0229554655122555,0.0083975076351937,0.0352827419595743,0.0323169371922921,0.0793334485334529,0.0829215499649363,0.0931740595428948,0.1005539426865681,0.1337172761729912,0.1539178989859942,0.1818485161146992,0.2441270239464906,0.2869481074761833,0.3614906487032814
18,Distrito Nacional,24.684198770474925,25.195435039348467,24.670988204316973,22.241922688488575,18.049736079685673,20.965069076752258,23.79694198151548,22.598065939065936,21.536059045737044,20.411767621386986,16.57287014437662,28.536829670327116,31.299643423464712,37.60984653015033,38.33787601152632,38.07832356898781,38.3661993181106,41.31895029410757,45.26047440774088,52.93705892676685,49.68774832434064,50.606023715603754,56.22420461405881
19,El Seibo,0.006848212219239,0.0232112318813068,0.0352909774763826,0.0183448585716793,0.0339781528725188,0.0112946992971778,0.0172651359898104,0.0143446017360125,0.0120112820583261,0.016256985284972,0.0086548942057028,0.0221416313905412,0.0223559736876079,0.0751410049025718,0.0807829386255579,0.0922684429322372,0.0867449961452579,0.0842438965137704,0.0909164599990757,0.0999960848584782,0.112678952694528,0.1437236305765607,0.1557664551079043
