code,park,inv00,inv01,inv02,inv03,inv04,inv05,inv06,inv07,inv08,inv09,inv10,inv11,inv12,inv13,inv14,inv15,inv16,inv17,inv18,inv19
DOM-INT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45300000.0,46400000,46400000.0,15267843.0,5700000,5700000,7300000.0,7566384.8,0.0,16224923.92
DOM-ISI,San Isidro,66947689.9,80277740.85,80359019.37,88929794.99,119380624.7,146063919.8,144863643.0,149106646.7,133164130.9,127627579.5,138930602.0,160469275.9,173580748.7,193516526.9,267320687,209311735.1,185910845.6,202185055.7,0.0,261679250.1
DOM-JAI,Jaib—n,50000000.0,2907462.0,1000000.0,538782.0,538782.0,538782.0,2050000.0,1125000.0,0.0,0,0.0,350000,350000.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-JAN,Santiago - J‡nico,10200000.0,18605411.0,18042060.0,16141588.76,16141588.76,29218513.96,31297739.0,28167965.1,285600.0,4657734.25,11426448.0,5473432.9,15473775.0,17103479.83,17778662.4,19810494,22017101.0,20801502.0,0.0,21896171.02
DOM-JOB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,235000,6534700.0,7240708.9,0.0,7435708.89
DOM-KEP,0,0.0,0.0,0.0,0.0,0.0,5616428.0,5256428.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-KGC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2658123.3,2691026.9,1378419.0,1378419.0,0.0,1378419.0
DOM-LAG,Laguna Prieta,1375000.0,1500000.0,1290526.0,1290526.0,1000000.0,1000000.0,1000000.0,250000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-LAS,Las AmŽricas,106989708.0,129646562.0,135824379.2,139389061.7,185309783.6,181067451.1,197337263.0,184298723.9,368203479.7,410015315.9,393617488.6,357020442.4,342177049.4,405978614.9,356027384.7,333853320.5,383936907.5,460575569.7,0.0,741390516.2
DOM-LEO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,6312378.13
DOM-LIM,0,0.0,0.0,0.0,0.0,0.0,3816492.03,4198206.6,4049887.1,2848669.88,3777074.21,5526995.41,5087227.7,5087227.7,5396532.18,7409162,3586845.4,5604124.68,4532656.9,0.0,12057849.96
DOM-LUN,0,0.0,365114.0,1000000.0,1064600.0,1361523.24,398333.33,375874.0,300000.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-MAC,San Pedro de Macor’s,83818075.57,77047150.49,69008769.12,83843844.0,100904818.5,106283114.0,104410800.5,117742843.3,98933247.8,110444428.2,105633982.4,117392030.2,133914998.3,125926492.5,148635877.4,288228578.3,306711790.8,191457870.4,0.0,181789419.4
DOM-MAI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,390000,2149200.0,1854005.5,0.0,2763779.29
DOM-MEL,Villa Mella,33528000.0,32130784.0,9791777.0,13650000.0,14102621.34,8624705.4,12626748.12,3515124.09,8685092.14,11636577.68,9026248.52,10109835.7,7569908.06,15267810.99,15926641.2,16124936.1,16910749.48,13914713.4,0.0,20371964.3
DOM-MIN,Los Minas,2223428.0,2463428.0,2694942.2,2694942.0,549949.0,1300000.0,1310000.0,290000.0,310000.0,310000,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-MOC,Moca,20417613.51,22788310.31,23064181.66,19375638.58,21035018.44,15318517.88,18295503.41,11104546.94,12960052.24,12862324.05,21420726.14,19610193.8,9765436.56,9242927.02,12577321.8,11770957.9,17494945.85,15685783.0,0.0,41711918.98
DOM-MOI,0,0.0,1400000.0,727777.0,200000.0,1000000.0,600000.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
DOM-MUL,0,0.0,0.0,1103830.66,1211975.0,98458000.0,8818000.0,10050000.0,10050000.0,15925000.0,15815800,16115800.0,20499000,20435709.36,20842858.13,20844020.9,10264020.9,10459806.19,11406052.5,0.0,25461108.92
DOM-MUT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17400000.0,17400000.0,17900000,17900000.0,18250000,18250000.0,18405634.0,18681840.1,18681840.1,18776756.54,19482572.0,0.0,44037319.06
DOM-NAV,Navarrete,2364156.0,5700000.0,5604925.0,6707000.0,5890000.0,3000000.0,3050000.0,3000000.0,3300000.0,4050000,3665907.2,3179000,1000000.0,2969340.0,2974785,2963405,9649330.0,11101805.8,0.0,48914163.35
DOM-NIG,Nigua,40102872.35,42304221.0,48719440.0,45382984.0,49377353.6,61298975.2,64785080.84,95595446.6,64419418.85,65395527.47,60612832.47,65181742.5,64887479.8,68094863.96,68666906.5,78101109.8,84454679.9,85117028.6,0.0,44602073.48
