asdf_id,cru_ts_407_pre_yearly_mean.2000.mean,cru_ts_407_pre_yearly_mean.2001.mean,cru_ts_407_pre_yearly_mean.2002.mean,cru_ts_407_pre_yearly_mean.2003.mean,cru_ts_407_pre_yearly_mean.2004.mean,cru_ts_407_pre_yearly_mean.2005.mean,cru_ts_407_pre_yearly_mean.2006.mean,cru_ts_407_pre_yearly_mean.2007.mean,cru_ts_407_pre_yearly_mean.2008.mean,cru_ts_407_pre_yearly_mean.2009.mean,cru_ts_407_pre_yearly_mean.2010.mean,cru_ts_407_pre_yearly_mean.2011.mean,cru_ts_407_pre_yearly_mean.2012.mean,cru_ts_407_pre_yearly_mean.2013.mean,cru_ts_407_pre_yearly_mean.2014.mean,cru_ts_407_pre_yearly_mean.2015.mean,cru_ts_407_pre_yearly_mean.2016.mean,cru_ts_407_pre_yearly_mean.2017.mean,cru_ts_407_pre_yearly_mean.2018.mean,cru_ts_407_pre_yearly_mean.2019.mean,cru_ts_407_pre_yearly_mean.2020.mean,cru_ts_407_pre_yearly_mean.2021.mean,cru_ts_407_pre_yearly_mean.2022.mean
89,124.9051871,124.188401,120.8335663,131.4787869,119.9483154,127.3960644,123.3666744,129.4040307,123.538126,123.0055827,111.3591582,117.9417702,147.5167698,105.2343057,104.5937108,121.5261515,151.1673208,124.6535391,104.5591157,100.5183677,105.5020781,119.8635303,130.2142529
90,100.9494948,101.4967513,97.61921581,125.0380614,120.29775,123.757326,120.4139021,110.2944848,112.756545,123.7744674,132.9338132,132.1248885,113.2358715,126.6885136,99.90026755,99.41678894,138.978437,120.3706574,98.437892,88.8906869,103.7954163,104.8204149,116.9836993
91,175.0020895,167.034166,154.4300944,199.3159917,144.9360658,155.1351101,154.3864434,156.6759607,153.5116812,154.4326991,144.6217865,149.0312842,169.2096007,128.6022043,122.7100954,159.1500614,191.9767927,155.7808501,137.0636048,124.3827148,137.9718803,145.201566,177.1322502
92,147.0416667,146.0416686,126.9666681,175.8083378,117.7666683,136.7083368,132.4583343,145.4333363,128.4583359,133.4083363,127.9750017,126.9000015,140.391669,96.09166622,112.7333368,132.3166682,164.5083377,133.516669,115.4250018,113.5249995,122.1333357,120.4333369,145.1000007
93,134.5818653,150.1980414,127.9274513,153.7465692,124.8897076,157.8970608,132.8377477,167.8421602,132.7186307,130.791178,134.0799036,138.7946092,153.5264736,96.26862926,133.3725527,128.4495124,169.6877472,142.2470614,116.7779432,125.5289228,122.5308844,130.2946119,133.1294149
94,152.6871249,147.2166706,143.225759,166.5643968,144.4113676,148.3893948,148.110609,147.9886377,147.8606083,148.300003,134.7878809,141.2613662,169.7500032,135.6325784,119.4575766,146.7106084,177.3719731,147.761366,125.1378803,113.6053044,126.2015153,143.0416687,160.4431853
95,116.4075318,122.301165,105.8421698,137.3651632,101.3160285,122.8388217,111.6773878,130.2082915,109.1218008,111.2699698,109.1325798,109.6879734,122.129877,80.32467458,102.8321486,108.9336283,139.7573209,114.4688291,96.45259275,98.9089627,102.4271443,103.9062338,116.3241255
96,103.8406237,111.2525015,104.1793918,112.3620006,102.9734007,117.1526525,105.9314015,120.8687553,106.5838952,104.8210149,101.1483269,107.1709856,128.2339414,86.58386457,99.2776574,103.9780753,130.5476759,110.9045046,90.40488962,92.32202242,94.22428181,105.0128636,107.571766
97,179.2166688,175.266668,167.1750031,204.516668,165.1750024,171.1083355,170.8333359,169.5916678,169.6083368,171.3333359,160.3583377,165.8416704,188.6666705,154.3166682,135.3583358,171.6250019,208.9583359,170.5583344,146.9583352,130.8500013,147.4083349,161.4750023,190.9416688
98,125.9946091,128.0681392,110.0019628,152.249514,103.001963,123.2818658,116.4406873,131.3039244,112.4112768,116.8701006,113.2279428,111.9088251,122.8887277,82.45637297,102.5245131,114.6843154,144.4612783,117.325492,100.4514721,100.8191176,107.6892181,105.4333363,124.5941188
99,97.80833438,95.68333553,96.9583346,110.0483358,107.1000019,108.3116685,105.3250013,101.5400009,102.860002,107.6683355,104.9700006,107.5550032,113.8016681,107.4066692,89.83000216,97.0733352,125.8450031,105.5883354,86.58000151,81.09166822,91.59833434,97.91833394,109.6316689
100,100.3583335,104.0833335,101.1833354,105.9250011,100.1333354,110.9833363,103.2583357,112.2666712,103.5333354,102.0083359,95.61666886,102.141669,124.7833351,85.70000215,94.8666683,101.4416691,123.6083353,105.8083351,85.84166861,85.50833527,89.6916674,101.0333346,104.9333344
101,148.6708755,144.9191998,138.8641539,162.055999,136.9985475,144.0689741,141.9005749,145.4690888,141.8575524,141.7408189,129.6796094,135.8052905,163.3166645,124.0507914,116.3727357,141.6642461,173.4161483,142.8605905,121.6065064,112.8180525,122.2627165,136.8885134,154.0574852
102,88.61666838,101.1333348,78.19166787,105.808334,75.18333403,111.7750007,89.34166908,119.266669,83.90000057,86.36666743,90.40000248,92.63333432,91.33333429,53.81666756,94.58333492,80.33333413,108.8500013,90.38333416,73.95000124,85.40833521,85.7416687,80.79166857,79.19166629
103,136.4978698,135.3176383,124.8428319,152.8077554,120.2808154,131.3682196,127.1682204,134.9042666,126.7250023,127.0060095,119.4550413,123.3500029,142.9507771,104.2773262,106.3831421,127.8329489,158.6434136,129.4455456,111.152521,105.3643434,112.091088,121.3794603,139.2920558
104,142.881704,139.9903798,136.0182934,152.5852949,135.344741,141.9701742,139.2538625,143.4031359,139.3650144,139.0271261,125.9538757,132.7894205,163.4956907,121.8373566,115.6565242,137.9131709,169.563133,140.1489422,118.2746668,111.1565262,119.1794573,135.0158579,148.9690848
105,151.818753,147.1541703,142.9270856,163.7375031,142.4937535,148.1500009,146.6375028,148.9520854,146.6958351,146.5104194,132.7375024,139.5750028,170.1520868,130.6687531,119.8895843,145.7458365,177.5500042,147.1020861,124.6458354,115.1500016,125.3895838,141.987502,158.2541705
106,103.9666691,114.6500042,104.266667,114.7333352,103.0000014,119.9666691,105.733335,125.5916675,106.7000012,104.6916676,103.6083363,109.1750023,128.3583331,85.2166688,101.2500021,103.6583363,133.0416694,112.7083338,91.95000092,95.94166756,95.92500162,106.0083353,106.9500016
107,123.7026312,136.5465877,116.8678448,143.5385532,113.7159393,142.5238723,122.3856082,151.6589409,121.3236063,120.9280191,122.4859633,125.1011843,139.2690473,87.89520881,120.4667246,118.307701,155.334218,129.2312774,106.6178961,113.4615912,112.8907893,117.7982956,123.4476002
108,144.994385,144.2404321,126.046552,172.1826527,117.3599973,135.7334407,131.2364648,144.0796235,127.6180683,132.0574088,126.536798,125.9520313,140.0843445,95.96817946,111.9134955,131.0715868,163.1926921,132.5473438,114.4361786,112.5306058,120.5670029,119.9338188,143.5095276
109,103.9666691,114.6500042,104.266667,114.7333352,103.0000014,119.9666691,105.733335,125.5916675,106.7000012,104.6916676,103.6083363,109.1750023,128.3583331,85.2166688,101.2500021,103.6583363,133.0416694,112.7083338,91.95000092,95.94166756,95.92500162,106.0083353,106.9500016
110,87.40833616,95.11666807,78.90000248,109.0583363,75.93333626,98.66666857,87.07500076,105.4000022,82.99166807,86.55000114,86.19166787,84.42500114,90.80000162,57.45833492,83.80833594,82.35833486,107.7083356,87.64166705,73.00000064,77.52500057,81.20833532,77.93333467,87.00000127
111,148.4750029,143.6416701,134.2250032,167.400005,129.7083352,136.5833346,135.8500029,137.3833357,135.6083349,135.7583351,126.1666686,130.9333369,151.0833356,118.4916673,107.9250024,138.0666701,167.7333349,136.5250034,118.1916682,106.5333351,118.2333349,129.6833344,152.2416668
112,110.3083348,106.6500026,106.0833368,115.2833354,108.1083353,109.8500026,109.8500026,109.8500026,109.8500026,109.8500026,96.65833616,102.7750031,130.8500032,99.46666797,89.22500253,107.8166691,130.0083338,108.4416688,90.31666851,83.40000153,92.13333511,106.5916684,117.033336
113,147.0416667,146.0416686,126.9666681,175.8083378,117.7666683,136.7083368,132.4583343,145.4333363,128.4583359,133.4083363,127.9750017,126.9000015,140.391669,96.09166622,112.7333368,132.3166682,164.5083377,133.516669,115.4250018,113.5249995,122.1333357,120.4333369,145.1000007
114,119.8487777,119.3250018,117.1024525,140.8031894,133.0828445,136.0759829,133.2316203,126.7210808,128.2921577,136.360541,137.8911792,139.402454,136.0549041,135.2605416,110.5534326,118.2132386,156.7227973,133.3438742,110.040443,100.9992671,114.3382378,121.6034356,135.8102957
115,128.666667,129.8750019,118.7083349,143.2666686,114.1166676,127.9583365,121.49167,133.2833366,120.9166692,121.2833347,115.0666695,118.391669,137.6333348,94.98333351,105.3750025,121.1416693,152.7000033,124.8166691,106.5500015,104.6000026,108.0750033,115.9500039,130.825002
116,154.6131379,149.0599205,138.6473863,174.9163939,132.7724154,140.6000555,139.8351358,141.6810276,139.4355253,139.7700689,130.2033403,134.8353414,154.8490122,120.1924564,111.0805225,142.6835714,173.003619,140.7246049,122.3929324,110.6248705,122.6690182,132.9552331,157.7513582
117,133.2583343,157.9333334,124.1333357,151.5333379,122.3750017,173.0000021,130.5583356,183.5333385,130.6083371,126.225001,138.1166687,148.5666682,149.7250032,89.53333457,146.4166711,122.3833348,168.5333357,144.8500012,116.1750011,133.9333342,122.450003,132.9416707,122.475001
118,110.3083348,106.6500026,106.0833368,115.2833354,108.1083353,109.8500026,109.8500026,109.8500026,109.8500026,109.8500026,96.65833616,102.7750031,130.8500032,99.46666797,89.22500253,107.8166691,130.0083338,108.4416688,90.31666851,83.40000153,92.13333511,106.5916684,117.033336
119,143.5229189,140.200003,130.3458362,161.3666709,125.8104183,134.4270851,132.2604197,136.358336,131.9354184,132.139585,123.3916688,127.7979199,147.7208354,112.6145838,107.2875024,133.8354199,163.975002,133.5979199,115.2812515,106.0500019,115.693752,126.2500017,146.8875006
120,102.0739607,109.1073861,102.6493431,110.1130311,101.4963267,115.2545715,104.4351044,118.6022034,105.0389653,103.2841587,99.41640471,105.4857531,126.4831115,85.47019541,97.90170227,102.4956106,128.0935292,109.0890238,88.74594978,90.46899049,92.65538226,103.3987594,105.8921834
121,179.2416697,170.8000018,156.3916686,205.0750043,145.0666704,156.7166672,155.8250046,158.9250018,154.7916686,155.8666706,146.4000025,150.4916674,169.9583391,127.0166691,123.7416692,161.2083352,194.1500031,157.575003,139.2500019,127.0416668,140.4666664,146.0833352,179.8583355
122,147.1000009,146.9666683,141.7583388,155.9750013,139.5500018,149.7500013,144.1500018,152.733339,144.3833351,143.6916676,131.450003,138.6750037,171.1083368,121.3500042,123.2583353,142.4833374,178.6250064,146.6833363,123.633337,119.6250027,124.4083352,139.975002,152.5416702
123,95.01666697,96.90555625,94.98333478,99.51666774,94.7944462,102.8333363,97.29722426,103.7638925,97.50000159,96.40277995,88.62222428,94.77500206,117.9861129,82.39166888,86.73611267,95.36666854,116.0638907,98.6666682,80.45833508,78.86944633,83.44166734,95.05555688,99.75555701
124,87.40833616,95.11666807,78.90000248,109.0583363,75.93333626,98.66666857,87.07500076,105.4000022,82.99166807,86.55000114,86.19166787,84.42500114,90.80000162,57.45833492,83.80833594,82.35833486,107.7083356,87.64166705,73.00000064,77.52500057,81.20833532,77.93333467,87.00000127
125,149.0227602,144.0399546,135.2378895,167.280241,131.2420555,137.8125387,137.1441952,138.5317688,136.9294509,137.0608832,126.9465262,131.9295121,153.1722401,120.1943567,109.1328532,139.0433489,168.7870713,137.7189282,118.9483158,107.3271187,119.0670396,131.1288563,153.1236491
126,120.3070259,137.1614139,117.5796742,135.5666439,115.7608551,146.5389974,120.2786543,154.7428485,121.8205611,118.0085006,122.9872678,129.8601521,143.9516004,90.28164525,124.2833984,117.2016547,154.7130769,132.3217205,106.509016,115.7261727,111.4698809,122.2668048,119.5804901
127,179.1696993,175.73788,167.3477301,205.62576,167.45076,173.4840932,173.0590929,170.9840926,171.0159122,173.7803056,164.2310643,169.2250032,189.2681853,158.0303047,137.8901534,171.991669,211.1068202,172.8371225,148.614396,132.4984864,149.628032,162.6931838,191.9022751
128,125.8371978,148.4910213,116.4960897,143.9321096,114.5299583,162.8220868,123.7065638,172.8497828,122.8436416,119.5990356,130.1843506,139.2684286,140.0180952,83.5958711,137.8000065,115.3930313,158.6117039,135.7955772,109.1556061,125.8666406,116.3476868,124.2723642,115.2796706
129,168.6766693,164.4238119,155.8778606,191.7909553,153.0150026,159.2711926,158.8390506,158.5488114,157.9511936,159.1361931,148.63548,153.8730992,175.780956,142.0338111,125.9526218,160.1192885,194.8240502,158.8897641,137.0954782,122.5128588,137.405478,150.5750021,177.6730971
130,110.7955676,127.34369,101.7336922,129.7267577,99.24070501,137.7341903,109.6316645,146.5041103,107.2631359,106.8043069,112.8629034,117.669959,120.8007363,73.24869917,116.6166129,102.4700914,138.5619994,116.7281768,94.9150227,106.9455593,103.0002644,105.9430941,103.8236459
131,133.86771,154.3718761,125.8802098,152.5523465,123.5328142,166.0463563,131.6078149,176.3088587,131.5799514,128.3273449,136.2580748,144.0674495,151.4752635,92.63437643,140.4109417,125.176304,169.064846,143.6515644,116.4526057,130.0638032,122.4872421,131.7229208,127.3804707
132,125.5138911,137.572223,125.8351863,133.3916689,122.600003,147.8500015,126.9990759,152.7777796,128.9111125,124.4972237,125.431483,133.6972251,155.3981504,97.50740851,128.2740779,125.0861131,157.4675962,137.7935201,109.9379658,116.5972242,116.980556,127.6259282,126.9481509
133,84.33333389,82.55000178,82.58333357,86.70000092,84.11666791,86.53333632,85.37500127,86.75833527,85.43333403,85.19166803,74.63333511,80.04166826,104.3916687,75.77500234,70.47500141,83.21666733,100.9750013,84.38333432,69.69166803,65.59166845,70.94166724,83.10000149,89.40000232
134,178.9583365,177.8583339,168.1250019,210.6166744,177.6916698,184.1750037,183.0750001,177.2500045,177.3500023,184.7916698,181.6583347,184.450002,191.9750023,174.7416698,149.2833335,173.6416709,220.7750003,183.0916697,156.0666701,139.9166698,159.6166693,168.1750011,196.2250036
135,152.1000035,147.2166703,143.1500017,166.7638912,145.1916707,149.0333343,148.6472251,148.2361129,148.1888915,149.0083362,136.1388911,142.4166693,169.6805584,137.1805583,120.0333344,146.6083352,177.5222256,148.1944467,125.2666681,113.5611125,126.6055559,143.3611131,160.6805586
136,110.3083348,106.6500026,106.0833368,115.2833354,108.1083353,109.8500026,109.8500026,109.8500026,109.8500026,109.8500026,96.65833616,102.7750031,130.8500032,99.46666797,89.22500253,107.8166691,130.0083338,108.4416688,90.31666851,83.40000153,92.13333511,106.5916684,117.033336
137,100.3583335,104.0833335,101.1833354,105.9250011,100.1333354,110.9833363,103.2583357,112.2666712,103.5333354,102.0083359,95.61666886,102.141669,124.7833351,85.70000215,94.8666683,101.4416691,123.6083353,105.8083351,85.84166861,85.50833527,89.6916674,101.0333346,104.9333344
138,119.081798,117.9605287,117.0702321,136.7337659,129.253708,131.666219,128.9518654,124.283035,125.4934229,131.7280133,129.6650856,132.2111283,136.5487351,129.7278918,107.6223263,117.8848201,152.7549822,129.0931386,106.682235,98.56323857,110.928382,119.7201018,133.9918443
139,128.0458266,151.4007062,122.2229164,145.1581214,120.6291515,165.6051803,126.5693533,175.3371422,128.0539564,122.7511893,133.8665247,143.6976062,149.2026792,89.73725536,140.6317517,120.9344224,164.4799574,142.3027772,113.202047,128.7315588,118.9261033,130.7522018,121.1083724
140,151.0599373,145.5212242,139.0049393,166.8348238,136.9461513,142.3841013,141.957457,142.8029337,141.8428451,141.9052212,129.8469136,135.6344111,160.9411351,126.5268698,113.6249999,142.6757384,172.7060477,142.1592827,121.762382,110.2792984,122.1676911,136.5049317,156.4038505
141,142.547013,139.9265515,135.9047263,159.1304544,141.4093059,144.4353044,143.5693782,141.957428,142.2946192,144.6313684,134.7992925,140.0656013,161.4287734,136.7091456,116.8712641,138.9244105,169.6128918,142.7871024,119.5273831,108.128415,122.2976048,137.596534,153.5357693
142,123.8864324,119.43495,117.8177532,131.3695724,119.2544564,121.7525039,121.7052308,121.7761409,121.7052304,121.6999782,108.1642629,114.4673989,143.1359486,110.2792457,98.53532173,120.1131198,144.8785832,120.6698351,101.2421777,92.93618511,102.7174216,117.9584003,130.6245649
143,134.0083352,153.5500013,126.2833346,152.7875023,123.8000017,164.4416687,131.8500024,174.6416709,131.8041701,128.8125013,135.8291685,143.0291681,151.8791698,93.35000153,139.0250041,125.8208354,169.1875022,143.375002,116.5166683,129.1708345,122.4958358,131.4416707,128.5125022
144,123.7448649,119.3016521,117.6954083,131.2018547,119.1382451,121.6284065,121.5816263,121.651797,121.5816259,121.5764285,108.0443002,114.3454921,143.0078533,110.166512,98.43825083,119.984915,144.7235435,120.5423423,101.1282665,92.83675931,102.6070702,117.8398889,130.4828605
145,112.8104208,126.2750629,112.6783054,123.9376717,110.9934152,134.8265225,114.1562681,140.8408384,115.9302936,112.231058,114.2416182,121.3649095,139.1477662,89.0748269,114.989542,112.0821741,144.5028336,124.5208757,99.93423579,106.5139655,104.8065418,116.0493868,114.2746589
146,110.5389669,109.3383213,109.4954378,126.8381394,121.881849,123.8554261,120.8172387,116.0552553,117.4055223,123.6712172,122.3048664,124.5629456,127.5671657,122.9618258,101.7403777,109.8736872,143.4889305,121.0840756,99.70411202,92.63599823,104.3467889,111.7437115,125.1788198
147,100.3583335,104.0833335,101.1833354,105.9250011,100.1333354,110.9833363,103.2583357,112.2666712,103.5333354,102.0083359,95.61666886,102.141669,124.7833351,85.70000215,94.8666683,101.4416691,123.6083353,105.8083351,85.84166861,85.50833527,89.6916674,101.0333346,104.9333344
148,181.3727506,171.9894407,162.5854676,204.6291175,154.5320279,162.8667454,162.5534298,163.0351302,161.7615621,162.6731904,151.6053162,156.7125739,179.1077757,139.368609,129.6942971,167.722648,202.1906477,163.4903672,143.6756917,128.9017392,144.2639616,152.8694156,186.3171505
