gqid,shapeGroup,shapeID,shapeName,shapeType,worldpop_pop_count_1km_mosaic.2000.count,worldpop_pop_count_1km_mosaic.2000.sum,worldpop_pop_count_1km_mosaic.2001.count,worldpop_pop_count_1km_mosaic.2001.sum,worldpop_pop_count_1km_mosaic.2002.count,worldpop_pop_count_1km_mosaic.2002.sum,worldpop_pop_count_1km_mosaic.2003.count,worldpop_pop_count_1km_mosaic.2003.sum,worldpop_pop_count_1km_mosaic.2004.count,worldpop_pop_count_1km_mosaic.2004.sum,worldpop_pop_count_1km_mosaic.2005.count,worldpop_pop_count_1km_mosaic.2005.sum,worldpop_pop_count_1km_mosaic.2006.count,worldpop_pop_count_1km_mosaic.2006.sum,worldpop_pop_count_1km_mosaic.2007.count,worldpop_pop_count_1km_mosaic.2007.sum,worldpop_pop_count_1km_mosaic.2008.count,worldpop_pop_count_1km_mosaic.2008.sum,worldpop_pop_count_1km_mosaic.2009.count,worldpop_pop_count_1km_mosaic.2009.sum,worldpop_pop_count_1km_mosaic.2010.count,worldpop_pop_count_1km_mosaic.2010.sum,worldpop_pop_count_1km_mosaic.2011.count,worldpop_pop_count_1km_mosaic.2011.sum,worldpop_pop_count_1km_mosaic.2012.count,worldpop_pop_count_1km_mosaic.2012.sum,worldpop_pop_count_1km_mosaic.2013.count,worldpop_pop_count_1km_mosaic.2013.sum,worldpop_pop_count_1km_mosaic.2014.count,worldpop_pop_count_1km_mosaic.2014.sum,worldpop_pop_count_1km_mosaic.2015.count,worldpop_pop_count_1km_mosaic.2015.sum,worldpop_pop_count_1km_mosaic.2016.count,worldpop_pop_count_1km_mosaic.2016.sum,worldpop_pop_count_1km_mosaic.2017.count,worldpop_pop_count_1km_mosaic.2017.sum,worldpop_pop_count_1km_mosaic.2018.count,worldpop_pop_count_1km_mosaic.2018.sum,worldpop_pop_count_1km_mosaic.2019.count,worldpop_pop_count_1km_mosaic.2019.sum,worldpop_pop_count_1km_mosaic.2020.count,worldpop_pop_count_1km_mosaic.2020.sum
20,DOM,DOM-ADM2-62336421B7031628,Juan Santiago,ADM2,129.8699951,4254.399414,129.8699951,4238.004883,129.8699951,4224.81543,129.8699951,4225.6875,129.8699951,4198.020508,129.8699951,4175.237305,129.8699951,4167.914063,129.8699951,4149.023438,129.8699951,4192.960449,129.8699951,4134.166504,129.8699951,4161.752441,129.8699951,4151.330078,129.8699951,4106.883789,129.8699951,4070.822266,129.8699951,4118.075684,129.8699951,4132.325195,129.8699951,4060.341309,129.8699951,4041.56543,129.8699951,4052.351563,129.8699951,4041.672852,129.8699951,4029.538818
21,DOM,DOM-ADM2-62336421B66400184,La Descubierta,ADM2,241.9499969,7141.263672,241.9499969,7288.012695,241.9499969,7491.171875,241.9499969,7637.643555,241.9499969,7790.442871,241.9499969,8004.090332,241.9499969,8142.817383,241.9499969,8328.503906,241.9499969,8529.151367,241.9499969,8660.147461,241.9499969,9011.494141,241.9499969,9189.290039,241.9499969,9406.9375,241.9499969,9577.541016,241.9499969,9738.013672,241.9499969,10021.2002,241.9499969,10268.36719,241.9499969,10443.13477,241.9499969,10679.74707,241.9499969,10950.6875,241.9499969,11264.31543
22,DOM,DOM-ADM2-62336421B75913994,Boca Chica,ADM2,176.6499939,87795.375,176.6499939,91982.19531,176.6499939,95824.5,176.6499939,100169,176.6499939,104758.2969,176.6499939,109819.3906,176.6499939,114784.0781,176.6499939,120401.4063,176.6499939,125363.6875,176.6499939,130136.25,176.6499939,135269.6563,176.6499939,142553.125,176.6499939,148601.7344,176.6499939,155426.1406,176.6499939,162098.0313,176.6499939,170204.9063,176.6499939,178278.375,176.6499939,186489.2813,176.6499939,194421.6563,176.6499939,203716.0625,176.6499939,212535.125
23,DOM,DOM-ADM2-62336421B90226291,Tenares,ADM2,203.25,25391.66016,203.25,25603.25977,203.25,25765.76367,203.25,26023.40039,203.25,26165.82422,203.25,26369.45313,203.25,26594.66797,203.25,26872.30859,203.25,27024.5625,203.25,27264.77734,203.25,27546.02539,203.25,27746.73242,203.25,28031.49414,203.25,28356.61914,203.25,28613.38477,203.25,28788.53125,203.25,28991.55078,203.25,29306.51563,203.25,29535.21094,203.25,29774.21875,203.25,30070.61328
24,DOM,DOM-ADM2-62336421B83253583,Villa Montellano,ADM2,92.99000549,18897.81445,92.99000549,18993.0957,92.99000549,18929.25781,92.99000549,19191.67188,92.99000549,19414.24219,92.99000549,19740.97461,92.99000549,19647.95703,92.99000549,19628.09961,92.99000549,19767.7207,92.99000549,20294.93945,92.99000549,20273.61328,92.99000549,20626.88086,92.99000549,20305.80273,92.99000549,20409.5625,92.99000549,20751.07617,92.99000549,20837.14844,92.99000549,20930.63281,92.99000549,21166.09961,92.99000549,21344.70898,92.99000549,21597.48047,92.99000549,21802.70508
25,DOM,DOM-ADM2-62336421B36707931,Sosúa,ADM2,340.2999878,41094.08203,340.2999878,41328.35547,340.2999878,41721.60156,340.2999878,42187.55078,340.2999878,42662.26172,340.2999878,43243.33594,340.2999878,43657.03516,340.2999878,44175.54297,340.2999878,44658.65625,340.2999878,45442.46875,340.2999878,46105.35938,340.2999878,46679.19531,340.2999878,47121.89453,340.2999878,47644.76953,340.2999878,48331.30078,340.2999878,48901.22266,340.2999878,49311.37109,340.2999878,49906.96094,340.2999878,50628.92969,340.2999878,51234.14063,340.2999878,51876.82031
26,DOM,DOM-ADM2-62336421B93961828,Las Charcas,ADM2,308.4799805,6958.457031,308.4799805,7165.723145,308.4799805,7316.723145,308.4799805,7468.670898,308.4799805,7859.208008,308.4799805,8117.588379,308.4799805,8393.064453,308.4799805,8751.713867,308.4799805,9251.363281,308.4799805,9509.544922,308.4799805,9982.511719,308.4799805,10441.57422,308.4799805,11081.33496,308.4799805,11473.19238,308.4799805,12043.09766,308.4799805,12570.27539,308.4799805,13192.51563,308.4799805,13897.39063,308.4799805,14562.63086,308.4799805,15324.44141,308.4799805,16173.69238
27,DOM,DOM-ADM2-62336421B38836089,Castañuelas,ADM2,112.2799988,13923.75391,112.2799988,14251.60352,112.2799988,13488.29688,112.2799988,14368.01953,112.2799988,14476.95313,112.2799988,14799.92969,112.2799988,14782.30957,112.2799988,14868.99414,112.2799988,14758.48438,112.2799988,14447.40234,112.2799988,14837.16797,112.2799988,14832.56641,112.2799988,15293.74707,112.2799988,15532.92188,112.2799988,15258.0957,112.2799988,15152.24414,112.2799988,15354.58496,112.2799988,15488.63672,112.2799988,15588.875,112.2799988,15728.54102,112.2799988,15821.28906
28,DOM,DOM-ADM2-62336421B5029861,Jarabacoa,ADM2,844.9299927,56985.625,844.9299927,57034.36719,844.9299927,56938.13281,844.9299927,56942.16797,844.9299927,57009.40625,844.9299927,56900.02344,844.9299927,56904.89063,844.9299927,56837.07031,844.9299927,56813.15625,844.9299927,56887.29297,844.9299927,56899.92969,844.9299927,56811.17188,844.9299927,56961.18359,844.9299927,56872.07031,844.9299927,57016.78906,844.9299927,57143.70703,844.9299927,56920.72266,844.9299927,56887.86719,844.9299927,56891.85938,844.9299927,56884.95313,844.9299927,56874.47656
29,DOM,DOM-ADM2-62336421B55956095,Jima Abajo,ADM2,161.1499939,19908.48047,161.1499939,20766.43555,161.1499939,21715.40039,161.1499939,22643.58398,161.1499939,23643.25781,161.1499939,24682.79883,161.1499939,25945.55273,161.1499939,27333.33984,161.1499939,28673.00586,161.1499939,30076.12109,161.1499939,31789.75391,161.1499939,33414.78906,161.1499939,35528.33203,161.1499939,37675.48438,161.1499939,39639.87891,161.1499939,41994.53516,161.1499939,44690.78906,161.1499939,47539.91406,161.1499939,50693.13281,161.1499939,54101.41406,161.1499939,57835.38281
