code,buiilt00,buiilt01,buiilt02,buiilt03,buiilt04,buiilt05,buiilt06,buiilt07,buiilt08,buiilt09,buiilt10,buiilt11,buiilt12,buiilt13,buiilt14,buiilt15,buiilt16,ocu00,ocu01,ocu02,ocu03,ocu04,ocu05,ocu06,ocu07,ocu08,ocu09,ocu10,ocu11,ocu12,ocu13,ocu14,ocu15,ocu16
DOM-MAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55143.92,55143.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55143.92,55143.92
DOM-MEL,400209.0,400289.32,367830.52,367830.0,367830.0,364714.66,362817.28,362817.28,362817.28,362817.28,362817.28,362817.28,362817.28,225242.81,225242.81,225242.81,225242.81,400209.0,338988.0,311061.0,165145.0,334566.83,364714.66,309050.66,307153.19,307153.19,307153.19,158415.92,195348.2,195348.2,225242.81,225242.81,225242.81,225242.81
DOM-MIN,37867.0,45892.0,45892.0,45892.0,45892.0,15871.0,35458.0,49106.0,49106.0,49106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22637.0,22637.0,22637.0,45892.0,15871.0,15871.0,35458.0,13648.0,13648.0,13648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MOC,493156.0,493156.0,493156.0,493156.0,569848.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,512167.0,468504.33,468504.33,476986.97,460645.75,493156.0,493156.0,493156.0,468213.0,569848.0,512167.0,512167.0,512167.0,512167.0,463021.0,479067.0,512167.0,437409.31,438706.85,427110.8,437107.2,444772.28
DOM-MOI,0.0,48563.31,48522.0,48522.0,64751.0,64751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32375.0,48522.0,48522.0,64751.0,64751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-MUL,0.0,0.0,107600.0,107600.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,0.0,0.0,107600.0,107600.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0,96302.0
DOM-MUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0,392882.0
DOM-NAV,300000.0,300000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,240002.63,289806.15,328056.65,328056.65,328056.65,186591.0,186591.0,200000.0,200000.0,111265.0,111265.0,31500.0,30000.0,30000.0,47670.0,108203.43,108203.43,136241.5,145576.7,219040.63,219040.63,249040.63
DOM-NIG,514668.0,514668.0,514668.0,514668.0,514668.0,546436.0,546041.0,546041.0,546041.0,546041.0,546041.0,546041.0,546041.0,546041.0,546041.0,339012.0,373557.0,413363.0,470363.0,397668.0,363931.0,436041.0,393046.0,418041.0,413041.0,184300.0,193000.0,395041.0,212590.0,384341.0,384341.0,225712.0,242012.0,262557.0
DOM-NOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6797.0
DOM-PAB,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,62335.96,62335.96,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,121886.0,30472.0,30472.0,30472.0,30472.0,30472.0,30472.0,62335.96,62335.96
DOM-PAL,0.0,0.0,0.0,0.0,31000.0,63400.0,63400.0,70000.0,83400.0,107245.0,107245.0,107245.0,107245.0,107245.0,107245.0,107245.0,110760.0,0.0,0.0,0.0,0.0,18000.0,23350.0,42750.0,46393.0,42750.0,107245.0,107245.0,101572.0,102443.0,102443.0,102443.0,102443.0,110760.0
DOM-PAM,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,339822.0,386996.2,450038.0,450038.0,450038.0,450038.0,450038.0,367614.0,367614.0,367614.0,367614.0,134278.0,134278.0,134278.0,134278.0,134278.0,134278.0,339822.0,354794.2,417834.0,281168.72,242891.24,367614.0,243206.44,367614.0,367614.0,367614.0,367614.0
DOM-PED,30401.06,30401.0,30401.0,30401.0,30401.0,30401.0,60000.0,60000.0,80000.0,80000.0,80000.0,100457.0,100457.0,100457.0,100457.0,100457.0,100457.0,30401.0,30401.0,30401.0,30401.0,30401.0,30401.0,60000.0,60000.0,80000.0,80000.0,80000.0,100457.0,100457.0,100457.0,100457.0,100457.0,100457.0
DOM-PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258240.0,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258240.0,232534.36,232534.36,232534.36,232534.36,232534.36,232534.36
DOM-PEV,0.0,0.0,0.0,0.0,87473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-PIS,673135.0,735664.0,758000.0,841000.0,938897.0,940057.72,1014211.0,1014211.0,1014211.0,942262.91,942262.91,942262.91,942262.91,938550.0,959296.17,1000108.85,1044762.02,600006.0,733317.0,726000.0,816730.0,921000.0,882580.82,945082.0,864078.43,989598.89,891517.59,895930.22,931538.02,900742.74,936350.0,957096.17,997908.85,1044762.02
DOM-PON,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,32202.0,0.0,0.0,0.0,0.0,22955.0,22955.0,0.0,0.0,0.0,0.0,21000.0,21000.0,21000.0,21000.0,21000.0,21000.0,32202.0,0.0,0.0,0.0,0.0,22955.0,22955.0,0.0,0.0,0.0,0.0
DOM-PUE,418591.0,407889.0,431740.51,431740.0,444629.0,444629.0,444629.0,444629.0,444629.0,383353.57,412793.17,412793.17,412793.17,447903.0,447903.0,447903.0,451935.0,381467.0,393169.0,418358.0,418358.0,339683.0,171600.68,171150.59,153961.0,150579.34,368633.57,390573.17,289169.57,192134.17,310461.0,390491.0,412368.0,369515.0
DOM-QUI,0.0,52125.31,52125.31,52125.0,50929.0,0.0,50929.0,50929.0,50929.0,0.0,0.0,0.0,0.0,53084.0,53084.0,53084.0,60659.18,0.0,52125.31,52125.31,52125.0,50929.0,0.0,50929.0,50929.0,50929.0,0.0,0.0,0.0,0.0,50929.0,53084.0,53084.0,60659.18
DOM-RAF,0.0,0.0,83928.0,83928.0,83928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83928.0,83928.0,83928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM-RIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72630.0,72630.0,72630.0,9325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72630.0,72630.0,72630.0,9325.0
DOM-RII,377131.0,327131.0,473949.0,473949.0,473949.0,385000.0,385000.0,478853.0,478853.0,482531.0,482531.0,482531.0,482531.0,439431.0,439431.0,439431.0,482531.0,377131.0,327131.0,324289.0,287804.0,300587.0,272804.0,355587.0,328813.0,355587.0,270091.0,298900.33,246680.0,283389.0,381056.0,422771.0,439431.0,440893.0
DOM-ROB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35196.0,35206.72,35239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35196.0,35206.72,35239.0,0.0
DOM-ROM,1063858.0,1063858.0,1128599.0,1128599.0,1128599.0,1128599.49,1128599.49,1128599.49,639252.0,787190.0,787190.0,787190.0,787190.0,658062.0,694804.0,694804.0,787190.0,1063858.0,933001.0,895409.0,823990.0,780000.0,496184.0,499924.0,459214.0,446054.0,714628.0,463390.0,643236.0,643826.0,593029.0,623433.0,638819.78,751803.0
