code,year,inv
DOM-HAN,7,1568802.8
DOM-HAN,8,16168568
DOM-HAN,9,14974245
DOM-HAN,10,16721604
DOM-HAN,11,18372662
DOM-HAN,12,18962934
DOM-HAN,14,19516688
DOM-HAN,15,31710576
DOM-HAN,16,25844202
DOM-HAT,0,0
DOM-HAT,1,0
DOM-HAT,2,0
DOM-HAT,3,1141975
DOM-HAT,4,1141975
DOM-HAT,5,1241975
DOM-HAT,6,1301975
DOM-HAT,7,600000
DOM-HAT,8,480000
DOM-HAT,9,0
DOM-HAT,10,0
DOM-HAT,11,350000
DOM-HAT,12,3501456
DOM-HAT,14,1201975
DOM-HAT,15,1401975
DOM-HAT,16,1237451
DOM-HER,0,0
DOM-HER,1,0
DOM-HER,2,0
DOM-HER,3,0
DOM-HER,4,0
DOM-HER,5,0
DOM-HER,6,0
DOM-HER,7,0
DOM-HER,8,0
DOM-HER,9,0
DOM-HER,10,0
DOM-HER,11,0
DOM-HER,12,0
DOM-HER,14,1467025
DOM-HER,15,3385283.5
DOM-HER,16,3480183.5
DOM-HIP,0,0
DOM-HIP,1,0
DOM-HIP,2,0
DOM-HIP,3,0
DOM-HIP,4,0
DOM-HIP,5,0
DOM-HIP,6,0
DOM-HIP,7,0
DOM-HIP,8,0
DOM-HIP,9,0
DOM-HIP,10,0
DOM-HIP,11,0
DOM-HIP,12,0
DOM-HIP,14,0
DOM-HIP,15,3009858
DOM-HIP,16,3009858.3
DOM-HIS,0,0
DOM-HIS,1,0
DOM-HIS,2,0
DOM-HIS,3,0
DOM-HIS,4,0
DOM-HIS,5,1599051.3
DOM-HIS,6,2000000
DOM-HIS,7,1200000
DOM-HIS,8,3679945
DOM-HIS,9,3679945
DOM-HIS,10,3500000
DOM-HIS,11,2968677
DOM-HIS,12,2828048.8
DOM-HIS,14,3605100
DOM-HIS,15,4065900
DOM-HIS,16,4930475
DOM-INE,0,0
DOM-INE,1,0
DOM-INE,2,0
DOM-INE,3,0
DOM-INE,4,0
DOM-INE,5,0
DOM-INE,6,0
DOM-INE,7,0
DOM-INE,8,0
DOM-INE,9,0
DOM-INE,10,0
DOM-INE,11,0
DOM-INE,12,0
DOM-INE,14,0
DOM-INE,15,0
DOM-INE,16,11243908
DOM-INF,0,0
DOM-INF,1,0
DOM-INF,2,0
DOM-INF,3,0
DOM-INF,4,0
DOM-INF,5,0
DOM-INF,6,0
DOM-INF,7,0
DOM-INF,8,0
DOM-INF,9,0
DOM-INF,10,0
DOM-INF,11,0
DOM-INF,12,0
DOM-INF,14,201930.5
DOM-INF,15,201930.5
DOM-INF,16,210000
DOM-INT,0,0
DOM-INT,1,0
DOM-INT,2,0
DOM-INT,3,0
DOM-INT,4,0
DOM-INT,5,0
DOM-INT,6,0
DOM-INT,7,0
DOM-INT,8,0
DOM-INT,9,0
DOM-INT,10,45300000
DOM-INT,11,46400000
DOM-INT,12,46400000
DOM-INT,14,5700000
DOM-INT,15,5700000
DOM-INT,16,7300000
DOM-ISI,0,0
DOM-ISI,1,0
DOM-ISI,2,0
DOM-ISI,3,88929792
DOM-ISI,4,119380624
DOM-ISI,5,146063920
DOM-ISI,6,144863648
DOM-ISI,7,149106640
DOM-ISI,8,133164128
DOM-ISI,9,127627576
DOM-ISI,10,138930608
DOM-ISI,11,160469280
DOM-ISI,12,173580752
DOM-ISI,14,267320688
DOM-ISI,15,209311728
DOM-ISI,16,185910848
DOM-LAS,0,0
DOM-LAS,1,0
DOM-LAS,2,0
DOM-LAS,3,139389056
DOM-LAS,4,185309776
DOM-LAS,5,181067456
DOM-LAS,6,197337264
DOM-LAS,7,184298720
DOM-LAS,8,368203488
DOM-LAS,9,410015328
DOM-LAS,10,393617504
DOM-LAS,11,357020448
DOM-LAS,12,342177056
DOM-LAS,14,356027392
DOM-LAS,15,333853312
DOM-LAS,16,383936896
DOM-LEO,0,0
DOM-LEO,1,0
DOM-LEO,2,0
DOM-LEO,3,0
DOM-LEO,4,0
DOM-LEO,5,0
DOM-LEO,6,0
DOM-LEO,7,0
DOM-LEO,8,0
DOM-LEO,9,0
DOM-LEO,10,0
DOM-LEO,11,0
DOM-LEO,12,0
DOM-LEO,14,0
DOM-LEO,15,0
DOM-LEO,16,0
DOM-LIM,0,0
DOM-LIM,1,0
DOM-LIM,2,0
DOM-LIM,3,0
DOM-LIM,4,0
DOM-LIM,5,3816492
DOM-LIM,6,4198206.5
DOM-LIM,7,4049887
DOM-LIM,8,2848670
DOM-LIM,9,3777074.3
DOM-LIM,10,5526995.5
DOM-LIM,11,5087227.5
DOM-LIM,12,5087227.5
DOM-LIM,14,7409162
DOM-LIM,15,3586845.5
DOM-LIM,16,5604124.5
DOM-MAC,0,0
DOM-MAC,1,0
DOM-MAC,2,0
DOM-MAC,3,83843840
DOM-MAC,4,100904816
DOM-MAC,5,106283112
DOM-MAC,6,104410800
DOM-MAC,7,117742840
DOM-MAC,8,98933248
DOM-MAC,9,110444432
DOM-MAC,10,105633984
DOM-MAC,11,117392032
DOM-MAC,12,133915000
DOM-MAC,14,148635872
DOM-MAC,15,288228576
DOM-MAC,16,306711776
DOM-MEL,0,0
DOM-MEL,1,0
DOM-MEL,2,0
DOM-MEL,3,13650000
DOM-MEL,4,14102621
DOM-MEL,5,8624705
DOM-MEL,6,12626748
DOM-MEL,7,3515124
DOM-MEL,8,8685092
DOM-MEL,9,11636578
DOM-MEL,10,9026249
DOM-MEL,11,10109836
DOM-MEL,12,7569908
DOM-MEL,14,15926641
DOM-MEL,15,16124936
DOM-MEL,16,16910750
DOM-MOC,0,0
DOM-MOC,1,0
DOM-MOC,2,0
DOM-MOC,3,19375638
DOM-MOC,4,21035018
DOM-MOC,5,15318518
DOM-MOC,6,18295504
DOM-MOC,7,11104547
DOM-MOC,8,12960052
DOM-MOC,9,12862324
DOM-MOC,10,21420726
DOM-MOC,11,19610194
DOM-MOC,12,9765437
DOM-MOC,14,12577322
DOM-MOC,15,11770958
DOM-MOC,16,17494946
DOM-MUL,0,0
DOM-MUL,1,0
DOM-MUL,2,1103830.6
DOM-MUL,3,1211975
DOM-MUL,4,98458000
DOM-MUL,5,8818000
DOM-MUL,6,10050000
DOM-MUL,7,10050000
DOM-MUL,8,15925000
DOM-MUL,9,15815800
DOM-MUL,10,16115800
DOM-MUL,11,20499000
DOM-MUL,12,20435710
DOM-MUL,14,20844020
DOM-MUL,15,10264021
DOM-MUL,16,10459806
DOM-NAV,0,0
DOM-NAV,1,0
DOM-NAV,2,0
DOM-NAV,3,6707000
DOM-NAV,4,5890000
DOM-NAV,5,3000000
DOM-NAV,6,3050000
DOM-NAV,7,3000000
DOM-NAV,8,3300000
DOM-NAV,9,4050000
DOM-NAV,10,3665907.3
DOM-NAV,11,3179000
DOM-NAV,12,1000000
DOM-NAV,14,2974785
DOM-NAV,15,2963405
DOM-NAV,16,9649330
DOM-NIG,0,0
DOM-NIG,1,0
DOM-NIG,2,0
DOM-NIG,3,45382984
DOM-NIG,4,49377352
DOM-NIG,5,61298976
DOM-NIG,6,64785080
DOM-NIG,7,95595448
DOM-NIG,8,64419420
DOM-NIG,9,65395528
DOM-NIG,10,60612832
DOM-NIG,11,65181744
DOM-NIG,12,64887480
DOM-NIG,14,68666904
DOM-NIG,15,78101112
DOM-NIG,16,84454680
DOM-PAL,0,0
DOM-PAL,1,0
DOM-PAL,2,0
DOM-PAL,3,0
DOM-PAL,4,1000000
DOM-PAL,5,1214000
DOM-PAL,6,4164166
DOM-PAL,7,4556000
DOM-PAL,8,5836575
DOM-PAL,9,2483896.5
DOM-PAL,10,3424002
DOM-PAL,11,5359568
DOM-PAL,12,5833873
DOM-PAL,14,5393078.5
DOM-PAL,15,6212990
DOM-PAL,16,5417114
DOM-PAM,0,0
DOM-PAM,1,0
DOM-PAM,2,0
DOM-PAM,3,5976065
DOM-PAM,4,30828690
DOM-PAM,5,90639472
DOM-PAM,6,45223432
DOM-PAM,7,57949100
DOM-PAM,8,66846200
DOM-PAM,9,75855968
DOM-PAM,10,80389240
DOM-PAM,11,79196504
DOM-PAM,12,39204032
DOM-PAM,14,38544392
DOM-PAM,15,48741388
DOM-PAM,16,49619556
DOM-PED,0,0
DOM-PED,1,0
DOM-PED,2,0
DOM-PED,3,266000
DOM-PED,4,300000
DOM-PED,5,300000
DOM-PED,6,550000
DOM-PED,7,600000
DOM-PED,8,2050000
DOM-PED,9,2050000
DOM-PED,10,28000000
DOM-PED,11,17000000
DOM-PED,12,17000000
DOM-PED,14,9000000
DOM-PED,15,11829180
DOM-PED,16,12000000
DOM-PIS,0,0
DOM-PIS,1,0
DOM-PIS,2,0
DOM-PIS,3,34727912
DOM-PIS,4,51031152
DOM-PIS,5,51906664
DOM-PIS,6,291202880
DOM-PIS,7,292936288
DOM-PIS,8,46345308
DOM-PIS,9,34759836
DOM-PIS,10,39089444
DOM-PIS,11,38503008
DOM-PIS,12,44936044
DOM-PIS,14,61922864
DOM-PIS,15,84258184
DOM-PIS,16,103649144
DOM-PUE,0,0
DOM-PUE,1,0
DOM-PUE,2,0
DOM-PUE,3,6737670
DOM-PUE,4,7243739.5
DOM-PUE,5,5577664
DOM-PUE,6,3957960.3
DOM-PUE,7,3939774
DOM-PUE,8,3893221.5
DOM-PUE,9,4699015
DOM-PUE,10,2893421.8
DOM-PUE,11,4141555.5
DOM-PUE,12,6387901
DOM-PUE,14,8553756
DOM-PUE,15,12873523
DOM-PUE,16,13735085
DOM-RII,0,0
DOM-RII,1,0
DOM-RII,2,0
DOM-RII,3,6396839.5
DOM-RII,4,6113989.5
DOM-RII,5,3964157
DOM-RII,6,4690000
DOM-RII,7,5483987.5
DOM-RII,8,5014888
DOM-RII,9,3984600
DOM-RII,10,25974000
DOM-RII,11,25939380
DOM-RII,12,22007694
DOM-RII,14,153641648
DOM-RII,15,199692128
DOM-RII,16,26320202
DOM-ROM,0,0
DOM-ROM,1,0
DOM-ROM,2,0
DOM-ROM,3,2504.8101
DOM-ROM,4,64475784
DOM-ROM,5,86871488
DOM-ROM,6,88924032
DOM-ROM,7,107540272
DOM-ROM,8,142417248
